bid,hid
9125,10,Aasu
9128,56,Aasu
9130,12,Aasu
9131,29,Aasu
9132,5,Aasu
9133,59,Aasu
9134,34,Aasu
9137,24,Aasu
9138,17,Aasu
9140,42,Aasu
9141,55,Aasu
9142,26,Aasu
9144,3,Aasu
9145,31,Aasu
9146,28,Aasu
9148,14,Aasu
9149,63,Aasu
9150,13,Aasu
9151,58,Aasu
9152,53,Aasu
9153,8,Aasu
9154,23,Aasu
9157,72,Aasu
9158,15,Aasu
9159,70,Aasu
9160,60,Aasu
9161,22,Aasu
9162,4,Aasu
9164,19,Aasu
9165,57,Aasu
9166,73,Aasu
9168,45,Aasu
9171,11,Aasu
9173,33,Aasu
9176,36,Aasu
9177,37,Aasu
9179,51,Aasu
9180,44,Aasu
9181,2,Aasu
9182,7,Aasu
9185,32,Aasu
9186,46,Aasu
9191,67,Aasu
9193,50,Aasu
9194,30,Aasu
9195,69,Aasu
9197,38,Aasu
9201,41,Aasu
9202,52,Aasu
9203,65,Aasu
9205,20,Aasu
9206,25,Aasu
9207,62,Aasu
9208,64,Aasu
9209,40,Aasu
9210,9,Aasu
9211,61,Aasu
9212,54,Aasu
9213,6,Aasu
9215,71,Aasu
9216,47,Aasu
9218,18,Aasu
9219,16,Aasu
9220,74,Aasu
9221,68,Aasu
9222,1,Aasu
9224,66,Aasu
9225,49,Aasu
9226,43,Aasu
9228,39,Aasu
9229,21,Aasu
9230,48,Aasu
9231,35,Aasu
9232,27,Aasu
4374,93,Afao
4375,97,Afao
4376,78,Afao
4379,92,Afao
4380,94,Afao
4381,75,Afao
4382,81,Afao
4383,98,Afao
4384,77,Afao
4385,83,Afao
4391,82,Afao
4392,96,Afao
4393,95,Afao
4394,89,Afao
4396,86,Afao
4399,87,Afao
4400,79,Afao
4403,100,Afao
4404,88,Afao
4411,101,Afao
4413,76,Afao
4414,99,Afao
4415,91,Afao
4417,85,Afao
4419,90,Afao
4428,84,Afao
4430,80,Afao
8816,171,Afono
8817,161,Afono
8818,105,Afono
8819,189,Afono
8821,107,Afono
8823,190,Afono
8825,120,Afono
8826,154,Afono
8827,160,Afono
8828,178,Afono
8829,152,Afono
8830,165,Afono
8831,122,Afono
8832,112,Afono
8833,148,Afono
8834,147,Afono
8835,134,Afono
8836,130,Afono
8838,170,Afono
8839,128,Afono
8840,151,Afono
8842,180,Afono
8843,158,Afono
8845,133,Afono
8846,182,Afono
8847,157,Afono
8848,169,Afono
8849,135,Afono
8855,143,Afono
8856,168,Afono
8857,113,Afono
8860,162,Afono
8861,124,Afono
8863,106,Afono
8864,103,Afono
8865,174,Afono
8868,150,Afono
8869,119,Afono
8872,146,Afono
8875,167,Afono
8876,127,Afono
8877,166,Afono
8879,176,Afono
8882,179,Afono
8883,181,Afono
8885,125,Afono
8886,131,Afono
8891,118,Afono
8892,141,Afono
8894,149,Afono
8895,121,Afono
8896,187,Afono
8899,116,Afono
8900,163,Afono
8901,132,Afono
8903,164,Afono
8904,111,Afono
8905,136,Afono
8906,109,Afono
8907,175,Afono
8908,156,Afono
8909,173,Afono
8910,145,Afono
8911,137,Afono
8912,185,Afono
8913,123,Afono
8914,183,Afono
8915,142,Afono
8916,138,Afono
8917,140,Afono
8918,110,Afono
8920,159,Afono
8921,191,Afono
8922,115,Afono
8923,129,Afono
8924,108,Afono
8925,186,Afono
8926,184,Afono
8927,172,Afono
8928,117,Afono
8930,144,Afono
8931,114,Afono
8932,104,Afono
8933,177,Afono
8934,102,Afono
8936,153,Afono
8940,188,Afono
8941,192,Afono
8942,155,Afono
8943,126,Afono
8949,139,Afono
4726,194,Agugulu
4727,200,Agugulu
4728,197,Agugulu
4731,199,Agugulu
4741,195,Agugulu
4746,193,Agugulu
4748,198,Agugulu
4749,196,Agugulu
8271,233,Alao
8272,207,Alao
8273,252,Alao
8279,242,Alao
8281,266,Alao
8282,210,Alao
8283,222,Alao
8284,271,Alao
8286,220,Alao
8287,262,Alao
8288,221,Alao
8292,217,Alao
8294,227,Alao
8295,269,Alao
8297,206,Alao
8298,213,Alao
8299,265,Alao
8300,274,Alao
8302,264,Alao
8303,229,Alao
8304,248,Alao
8305,263,Alao
8307,273,Alao
8311,219,Alao
8315,257,Alao
8316,237,Alao
8318,203,Alao
8319,218,Alao
8320,231,Alao
8322,215,Alao
8324,216,Alao
8325,258,Alao
8328,241,Alao
8331,234,Alao
8332,225,Alao
8334,251,Alao
8339,214,Alao
8341,212,Alao
8342,232,Alao
8343,259,Alao
8344,202,Alao
8345,201,Alao
8347,226,Alao
8348,205,Alao
8349,267,Alao
8350,270,Alao
8352,255,Alao
8353,236,Alao
8355,224,Alao
8356,223,Alao
8357,204,Alao
8359,272,Alao
8363,253,Alao
8364,239,Alao
8367,209,Alao
8368,240,Alao
8369,211,Alao
8370,254,Alao
8373,247,Alao
8375,208,Alao
8376,256,Alao
8377,245,Alao
8381,250,Alao
8382,228,Alao
8393,235,Alao
8396,268,Alao
8398,246,Alao
8408,244,Alao
15928,230,Alao
15929,249,Alao
15931,243,Alao
15932,261,Alao
15933,260,Alao
15934,238,Alao
2859,282,Alega
2860,280,Alega
2861,277,Alega
2862,278,Alega
2865,279,Alega
2867,281,Alega
2868,276,Alega
2872,284,Alega
2875,283,Alega
2876,275,Alega
7988,350,Alofau
7989,314,Alofau
7990,358,Alofau
7992,288,Alofau
7993,364,Alofau
7997,332,Alofau
7999,297,Alofau
8001,321,Alofau
8003,331,Alofau
8004,344,Alofau
8010,312,Alofau
8011,286,Alofau
8013,382,Alofau
8016,322,Alofau
8017,363,Alofau
8018,317,Alofau
8019,325,Alofau
8021,347,Alofau
8023,340,Alofau
8024,346,Alofau
8025,324,Alofau
8026,355,Alofau
8027,334,Alofau
8031,339,Alofau
8033,323,Alofau
8034,302,Alofau
8035,357,Alofau
8036,300,Alofau
8038,335,Alofau
8039,318,Alofau
8040,285,Alofau
8041,289,Alofau
8043,306,Alofau
8044,352,Alofau
8045,369,Alofau
8047,327,Alofau
8048,368,Alofau
8050,372,Alofau
8051,351,Alofau
8052,296,Alofau
8053,373,Alofau
8054,320,Alofau
8055,359,Alofau
8056,329,Alofau
8057,345,Alofau
8059,336,Alofau
8060,311,Alofau
8061,362,Alofau
8062,343,Alofau
8063,301,Alofau
8064,309,Alofau
8066,307,Alofau
8067,319,Alofau
8069,379,Alofau
8070,295,Alofau
8071,330,Alofau
8072,360,Alofau
8073,376,Alofau
8074,349,Alofau
8075,377,Alofau
8076,315,Alofau
8077,299,Alofau
8078,313,Alofau
8080,337,Alofau
8081,293,Alofau
8082,308,Alofau
8083,366,Alofau
8085,304,Alofau
8086,303,Alofau
8087,354,Alofau
8088,371,Alofau
8089,292,Alofau
8091,356,Alofau
8092,333,Alofau
8093,370,Alofau
8094,342,Alofau
8096,290,Alofau
8098,378,Alofau
8099,316,Alofau
8100,375,Alofau
8101,380,Alofau
8104,353,Alofau
8106,305,Alofau
8108,291,Alofau
8109,326,Alofau
8110,361,Alofau
8112,341,Alofau
8113,338,Alofau
8115,310,Alofau
8117,367,Alofau
8119,383,Alofau
8121,381,Alofau
8125,348,Alofau
8127,328,Alofau
8129,287,Alofau
8130,298,Alofau
8132,374,Alofau
8134,365,Alofau
8140,294,Alofau
4227,388,Amaluia
4229,398,Amaluia
4231,396,Amaluia
4232,394,Amaluia
4233,393,Amaluia
4236,405,Amaluia
4240,391,Amaluia
4241,401,Amaluia
4242,403,Amaluia
4243,406,Amaluia
4244,399,Amaluia
4249,411,Amaluia
4251,395,Amaluia
4254,386,Amaluia
4256,400,Amaluia
4257,407,Amaluia
4259,397,Amaluia
4261,387,Amaluia
4264,384,Amaluia
4266,390,Amaluia
4267,408,Amaluia
4268,385,Amaluia
4269,409,Amaluia
4271,410,Amaluia
4272,404,Amaluia
4275,392,Amaluia
4277,412,Amaluia
4281,389,Amaluia
4284,402,Amaluia
4575,442,Amanave
4578,425,Amanave
4582,423,Amanave
4591,429,Amanave
4593,445,Amanave
4594,427,Amanave
4595,447,Amanave
4598,422,Amanave
4601,430,Amanave
4605,437,Amanave
4606,434,Amanave
4609,419,Amanave
4611,428,Amanave
4612,431,Amanave
4613,418,Amanave
4614,443,Amanave
4615,413,Amanave
4616,421,Amanave
4618,432,Amanave
4621,448,Amanave
4626,440,Amanave
4627,420,Amanave
4632,446,Amanave
4634,435,Amanave
4647,417,Amanave
4648,439,Amanave
4649,436,Amanave
4654,438,Amanave
4658,441,Amanave
4667,424,Amanave
4675,433,Amanave
4677,444,Amanave
4678,426,Amanave
4697,416,Amanave
4699,415,Amanave
4707,414,Amanave
2488,472,Amaua
2489,453,Amaua
2490,460,Amaua
2493,471,Amaua
2495,466,Amaua
2496,457,Amaua
2498,468,Amaua
2499,452,Amaua
2500,451,Amaua
2502,465,Amaua
2503,458,Amaua
2505,454,Amaua
2506,450,Amaua
2510,469,Amaua
2512,463,Amaua
2513,459,Amaua
2515,461,Amaua
2516,456,Amaua
2518,470,Amaua
2520,455,Amaua
2521,449,Amaua
2522,473,Amaua
2523,464,Amaua
2527,467,Amaua
2528,462,Amaua
8143,485,Amouli
8144,540,Amouli
8145,611,Amouli
8147,572,Amouli
8148,571,Amouli
8149,516,Amouli
8152,582,Amouli
8153,553,Amouli
8154,570,Amouli
8155,562,Amouli
8156,507,Amouli
8157,522,Amouli
8158,563,Amouli
8159,523,Amouli
8161,601,Amouli
8162,567,Amouli
8163,597,Amouli
8164,580,Amouli
8165,504,Amouli
8166,613,Amouli
8168,514,Amouli
8170,619,Amouli
8171,530,Amouli
8172,527,Amouli
8173,489,Amouli
8174,543,Amouli
8175,537,Amouli
8176,493,Amouli
8177,546,Amouli
8178,550,Amouli
8180,603,Amouli
8181,486,Amouli
8182,503,Amouli
8183,592,Amouli
8184,488,Amouli
8185,609,Amouli
8186,612,Amouli
8187,577,Amouli
8188,599,Amouli
8190,478,Amouli
8191,501,Amouli
8192,584,Amouli
8194,496,Amouli
8195,536,Amouli
8197,482,Amouli
8198,479,Amouli
8199,575,Amouli
8200,586,Amouli
8201,539,Amouli
8202,560,Amouli
8203,526,Amouli
8204,475,Amouli
8205,552,Amouli
8207,533,Amouli
8208,595,Amouli
8209,605,Amouli
8210,606,Amouli
8211,588,Amouli
8212,518,Amouli
8213,614,Amouli
8215,559,Amouli
8217,502,Amouli
8218,490,Amouli
8219,483,Amouli
8220,494,Amouli
8221,529,Amouli
8222,596,Amouli
8223,565,Amouli
8224,498,Amouli
8225,521,Amouli
8226,589,Amouli
8228,484,Amouli
8229,587,Amouli
8230,600,Amouli
8231,495,Amouli
8232,590,Amouli
8234,497,Amouli
8235,620,Amouli
8236,520,Amouli
8237,616,Amouli
8238,598,Amouli
8239,506,Amouli
8240,541,Amouli
8242,574,Amouli
8243,528,Amouli
8245,513,Amouli
8246,557,Amouli
8247,524,Amouli
8248,556,Amouli
8251,549,Amouli
8253,558,Amouli
8254,566,Amouli
8255,591,Amouli
8256,538,Amouli
8257,509,Amouli
8258,581,Amouli
8259,554,Amouli
8260,487,Amouli
8261,500,Amouli
8262,610,Amouli
8263,474,Amouli
8264,617,Amouli
16634,535,Amouli
16635,604,Amouli
16636,548,Amouli
16637,542,Amouli
16638,593,Amouli
16639,508,Amouli
16640,555,Amouli
16641,608,Amouli
16642,512,Amouli
16643,545,Amouli
16644,544,Amouli
16645,515,Amouli
16646,534,Amouli
16647,569,Amouli
16648,551,Amouli
16649,615,Amouli
16650,476,Amouli
16651,585,Amouli
16652,510,Amouli
16653,602,Amouli
16654,573,Amouli
16655,531,Amouli
16656,480,Amouli
16657,492,Amouli
16658,576,Amouli
16659,477,Amouli
16660,621,Amouli
16661,491,Amouli
16662,505,Amouli
16663,547,Amouli
16664,607,Amouli
16665,561,Amouli
16666,578,Amouli
16667,622,Amouli
16668,618,Amouli
16669,579,Amouli
16670,532,Amouli
16671,583,Amouli
16672,525,Amouli
16673,481,Amouli
16674,594,Amouli
16675,499,Amouli
16676,517,Amouli
16677,568,Amouli
16678,564,Amouli
16679,511,Amouli
16680,519,Amouli
2717,623,Anua
2727,625,Anua
2733,624,Anua
1881,656,Aoa
1883,736,Aoa
1885,707,Aoa
1887,689,Aoa
1888,734,Aoa
1890,671,Aoa
1891,697,Aoa
1892,647,Aoa
1893,633,Aoa
1894,649,Aoa
1895,722,Aoa
1896,679,Aoa
1897,733,Aoa
1898,685,Aoa
1899,683,Aoa
1900,741,Aoa
1901,663,Aoa
1902,677,Aoa
1903,661,Aoa
1904,717,Aoa
1905,670,Aoa
1907,662,Aoa
1908,719,Aoa
1909,748,Aoa
1910,650,Aoa
1911,696,Aoa
1912,705,Aoa
1913,657,Aoa
1914,675,Aoa
1915,644,Aoa
1916,723,Aoa
1917,664,Aoa
1918,755,Aoa
1919,721,Aoa
1920,673,Aoa
1921,699,Aoa
1922,681,Aoa
1923,706,Aoa
1924,626,Aoa
1926,712,Aoa
1927,627,Aoa
1928,698,Aoa
1929,694,Aoa
1930,725,Aoa
1931,638,Aoa
1932,702,Aoa
1933,745,Aoa
1934,754,Aoa
1935,695,Aoa
1936,731,Aoa
1937,643,Aoa
1938,726,Aoa
1939,672,Aoa
1941,684,Aoa
1942,742,Aoa
1943,737,Aoa
1945,704,Aoa
1946,750,Aoa
1948,690,Aoa
1949,628,Aoa
1950,727,Aoa
1951,687,Aoa
1952,730,Aoa
1953,654,Aoa
1954,686,Aoa
1955,700,Aoa
1956,639,Aoa
1957,668,Aoa
1959,714,Aoa
1960,658,Aoa
1961,652,Aoa
1962,660,Aoa
1963,747,Aoa
1964,667,Aoa
1965,740,Aoa
1967,640,Aoa
1968,678,Aoa
1969,739,Aoa
1970,629,Aoa
1971,691,Aoa
1972,701,Aoa
1973,682,Aoa
1974,674,Aoa
1975,715,Aoa
1978,753,Aoa
1980,630,Aoa
1981,631,Aoa
1982,634,Aoa
1983,632,Aoa
1984,752,Aoa
1985,665,Aoa
1986,708,Aoa
1987,711,Aoa
1988,728,Aoa
1989,688,Aoa
1991,749,Aoa
1992,635,Aoa
1993,743,Aoa
1995,676,Aoa
1996,709,Aoa
1997,669,Aoa
1999,646,Aoa
2000,648,Aoa
2001,720,Aoa
2003,637,Aoa
2004,735,Aoa
2006,653,Aoa
2008,651,Aoa
2009,710,Aoa
2010,718,Aoa
2011,641,Aoa
2012,645,Aoa
2013,729,Aoa
2016,751,Aoa
2017,642,Aoa
2020,693,Aoa
2021,703,Aoa
2022,666,Aoa
2023,746,Aoa
2024,724,Aoa
2025,655,Aoa
2026,744,Aoa
2027,732,Aoa
16681,680,Aoa
16682,713,Aoa
16683,692,Aoa
16684,716,Aoa
16685,659,Aoa
16686,636,Aoa
16687,738,Aoa
9233,830,Aoloau
9239,800,Aoloau
9240,808,Aoloau
9242,838,Aoloau
9243,772,Aoloau
9245,802,Aoloau
9246,831,Aoloau
9247,805,Aoloau
9248,759,Aoloau
9249,826,Aoloau
9251,816,Aoloau
9253,811,Aoloau
9255,756,Aoloau
9259,782,Aoloau
9261,823,Aoloau
9262,844,Aoloau
9263,804,Aoloau
9265,778,Aoloau
9270,769,Aoloau
9271,815,Aoloau
9275,803,Aoloau
9281,801,Aoloau
9283,807,Aoloau
9284,781,Aoloau
9286,845,Aoloau
9288,818,Aoloau
9289,806,Aoloau
9290,847,Aoloau
9295,796,Aoloau
9297,791,Aoloau
9298,810,Aoloau
9300,827,Aoloau
9302,779,Aoloau
9304,798,Aoloau
9308,833,Aoloau
9312,764,Aoloau
9318,768,Aoloau
9320,836,Aoloau
9321,773,Aoloau
9322,792,Aoloau
9326,812,Aoloau
9330,843,Aoloau
9331,771,Aoloau
9332,775,Aoloau
9333,757,Aoloau
9334,785,Aoloau
9336,834,Aoloau
9337,774,Aoloau
9338,786,Aoloau
9341,814,Aoloau
9344,829,Aoloau
9346,762,Aoloau
9347,780,Aoloau
9348,817,Aoloau
9349,795,Aoloau
9350,813,Aoloau
9352,776,Aoloau
9353,761,Aoloau
9354,784,Aoloau
9355,820,Aoloau
9356,790,Aoloau
9357,788,Aoloau
9358,787,Aoloau
9360,841,Aoloau
9361,765,Aoloau
9362,840,Aoloau
9364,777,Aoloau
9366,794,Aoloau
9367,825,Aoloau
9370,819,Aoloau
9373,793,Aoloau
9374,783,Aoloau
9377,832,Aoloau
9378,821,Aoloau
9379,828,Aoloau
9382,760,Aoloau
9389,809,Aoloau
9392,824,Aoloau
9397,822,Aoloau
9402,763,Aoloau
9403,767,Aoloau
9410,770,Aoloau
9413,839,Aoloau
9415,758,Aoloau
9416,835,Aoloau
9417,766,Aoloau
9418,842,Aoloau
9422,789,Aoloau
9425,846,Aoloau
9426,799,Aoloau
9427,797,Aoloau
15937,837,Aoloau
4171,876,Asili
4172,870,Asili
4173,865,Asili
4174,881,Asili
4175,861,Asili
4176,857,Asili
4180,855,Asili
4181,848,Asili
4182,880,Asili
4183,856,Asili
4184,862,Asili
4185,873,Asili
4188,879,Asili
4190,852,Asili
4191,850,Asili
4193,851,Asili
4196,864,Asili
4197,863,Asili
4198,858,Asili
4199,868,Asili
4200,871,Asili
4201,867,Asili
4203,872,Asili
4205,859,Asili
4208,877,Asili
4209,866,Asili
4213,875,Asili
4214,878,Asili
4215,874,Asili
4217,853,Asili
4219,854,Asili
4222,849,Asili
15562,869,Asili
15564,860,Asili
2804,889,Atuu
2806,902,Atuu
2807,928,Atuu
2808,917,Atuu
2809,914,Atuu
2810,932,Atuu
2812,922,Atuu
2813,924,Atuu
2814,882,Atuu
2815,931,Atuu
2818,908,Atuu
2819,887,Atuu
2820,894,Atuu
2821,916,Atuu
2822,918,Atuu
2823,885,Atuu
2824,897,Atuu
2825,912,Atuu
2826,883,Atuu
2827,919,Atuu
2828,905,Atuu
2829,892,Atuu
2830,904,Atuu
2831,898,Atuu
2832,886,Atuu
2833,930,Atuu
2834,926,Atuu
2835,921,Atuu
2836,888,Atuu
2837,933,Atuu
2838,938,Atuu
2839,893,Atuu
2840,900,Atuu
2841,939,Atuu
2842,935,Atuu
2843,891,Atuu
2844,884,Atuu
2845,906,Atuu
2846,936,Atuu
2847,903,Atuu
2848,934,Atuu
2849,910,Atuu
2850,911,Atuu
2851,901,Atuu
2852,909,Atuu
2853,915,Atuu
2854,907,Atuu
2855,899,Atuu
2856,913,Atuu
2857,920,Atuu
2858,895,Atuu
16688,940,Atuu
16689,896,Atuu
16690,929,Atuu
16691,927,Atuu
16692,890,Atuu
16693,925,Atuu
16694,937,Atuu
16695,923,Atuu
2031,1087,Aua
2032,1006,Aua
2033,1105,Aua
2034,959,Aua
2035,964,Aua
2036,1076,Aua
2041,954,Aua
2042,1126,Aua
2044,986,Aua
2045,1207,Aua
2047,975,Aua
2048,983,Aua
2049,984,Aua
2051,1175,Aua
2052,1057,Aua
2053,1241,Aua
2055,1264,Aua
2059,985,Aua
2062,965,Aua
2066,1014,Aua
2067,1234,Aua
2068,1159,Aua
2070,1128,Aua
2071,1013,Aua
2073,1146,Aua
2075,1170,Aua
2076,1037,Aua
2078,1118,Aua
2079,941,Aua
2080,992,Aua
2083,1240,Aua
2090,1224,Aua
2091,1108,Aua
2092,1138,Aua
2096,1168,Aua
2097,1190,Aua
2099,1172,Aua
2101,1034,Aua
2102,1099,Aua
2104,980,Aua
2105,1111,Aua
2106,1142,Aua
2108,1141,Aua
2110,1078,Aua
2111,1147,Aua
2114,1048,Aua
2115,1181,Aua
2116,1210,Aua
2118,1161,Aua
2121,1052,Aua
2123,950,Aua
2124,1183,Aua
2126,1186,Aua
2129,1251,Aua
2130,972,Aua
2132,1137,Aua
2133,1176,Aua
2134,967,Aua
2135,1120,Aua
2136,1201,Aua
2137,1114,Aua
2138,1098,Aua
2139,1166,Aua
2141,1199,Aua
2143,1026,Aua
2144,1071,Aua
2145,1204,Aua
2147,1060,Aua
2150,1027,Aua
2153,1133,Aua
2154,1096,Aua
2157,1209,Aua
2158,1167,Aua
2159,1050,Aua
2160,1024,Aua
2162,1109,Aua
2163,1017,Aua
2164,1041,Aua
2165,1102,Aua
2166,1125,Aua
2167,1231,Aua
2168,1208,Aua
2169,947,Aua
2170,971,Aua
2171,1163,Aua
2172,989,Aua
2173,1019,Aua
2177,1223,Aua
2178,1130,Aua
2179,982,Aua
2181,1174,Aua
2182,1157,Aua
2184,1197,Aua
2185,1107,Aua
2186,1016,Aua
2187,946,Aua
2188,1117,Aua
2189,961,Aua
2191,1063,Aua
2193,1218,Aua
2194,988,Aua
2195,1196,Aua
2196,1081,Aua
2198,993,Aua
2199,979,Aua
2200,1044,Aua
2201,1072,Aua
2203,1149,Aua
2204,1077,Aua
2205,1054,Aua
2207,1038,Aua
2208,1039,Aua
2209,1074,Aua
2210,1144,Aua
2211,1143,Aua
2212,1018,Aua
2213,1002,Aua
2214,1246,Aua
2215,1235,Aua
2217,958,Aua
2220,968,Aua
2221,957,Aua
2222,1025,Aua
2223,1236,Aua
2224,1222,Aua
2227,966,Aua
2228,1030,Aua
2229,1162,Aua
2232,1046,Aua
2234,1237,Aua
2235,987,Aua
2236,1154,Aua
2237,978,Aua
2238,1189,Aua
2239,1004,Aua
2240,1073,Aua
2241,1059,Aua
2242,1115,Aua
2243,1129,Aua
2244,1165,Aua
2245,1243,Aua
2247,944,Aua
2248,1252,Aua
2249,1097,Aua
2250,1185,Aua
2251,1088,Aua
2252,1254,Aua
2253,1082,Aua
2254,1007,Aua
2255,1094,Aua
2257,951,Aua
2258,1058,Aua
2259,1238,Aua
2260,1164,Aua
2262,1259,Aua
2263,1227,Aua
2264,1042,Aua
2266,1035,Aua
2267,1047,Aua
2268,1202,Aua
2269,1031,Aua
2270,956,Aua
2271,1000,Aua
2272,970,Aua
2274,1056,Aua
2275,1184,Aua
2277,1253,Aua
2278,990,Aua
2281,1090,Aua
2283,1061,Aua
2284,1135,Aua
2285,1075,Aua
2286,1103,Aua
2287,1028,Aua
2288,998,Aua
2289,1093,Aua
2292,949,Aua
2293,997,Aua
2294,1005,Aua
2295,1153,Aua
2296,1180,Aua
2297,1086,Aua
2298,1040,Aua
2299,1250,Aua
2300,1152,Aua
2301,1216,Aua
2302,1182,Aua
2303,1191,Aua
2304,1033,Aua
2305,1233,Aua
2308,1158,Aua
2309,1113,Aua
2310,1140,Aua
2311,1079,Aua
2312,1194,Aua
2314,1203,Aua
2315,1020,Aua
2316,1257,Aua
2317,1124,Aua
2318,943,Aua
2319,1080,Aua
2321,1110,Aua
2322,1226,Aua
2323,1062,Aua
2324,1232,Aua
2325,1217,Aua
2326,1177,Aua
2327,1244,Aua
2328,1200,Aua
2329,1145,Aua
2332,1112,Aua
2334,1065,Aua
2335,1008,Aua
2336,994,Aua
2337,963,Aua
2340,1032,Aua
2342,1193,Aua
2343,1001,Aua
2344,1249,Aua
2345,1051,Aua
2346,1255,Aua
2347,955,Aua
2348,962,Aua
2358,1169,Aua
2360,1261,Aua
2361,1229,Aua
2362,1101,Aua
2364,973,Aua
2365,1085,Aua
2366,1134,Aua
2367,1187,Aua
2368,1214,Aua
2369,1262,Aua
2371,1148,Aua
2372,1151,Aua
2373,1021,Aua
