bldg_id,log,lat,area,meshblock
9125,8417384.96,525691.02,139.59,Aasu
9126,8417397.09,525538.21,268.89,Aasu
9128,8417416.14,525506.19,153.34,Aasu
9130,8417421.33,525448.32,172.40,Aasu
9131,8417424.31,525740.00,223.94,Aasu
9132,8417421.07,525644.10,254.26,Aasu
9133,8417437.39,525458.75,72.64,Aasu
9134,8417442.04,525320.50,132.12,Aasu
9136,8417451.60,525774.17,36.50,Aasu
9137,8417447.58,525672.08,163.50,Aasu
9138,8417450.73,525419.77,210.87,Aasu
9139,8417455.85,525282.13,289.89,Aasu
9140,8417463.69,525382.35,215.04,Aasu
9141,8417465.32,525698.10,155.29,Aasu
9142,8417469.77,525409.67,55.84,Aasu
9144,8417480.21,525273.70,77.29,Aasu
9145,8417480.55,525899.89,100.74,Aasu
9146,8417487.65,525261.94,231.31,Aasu
9147,8417492.73,525736.04,276.11,Aasu
9148,8417499.19,525183.59,101.85,Aasu
9149,8417505.61,525199.21,80.39,Aasu
9150,8417504.60,525225.51,167.97,Aasu
9151,8417505.94,525321.50,146.07,Aasu
9152,8417505.21,525861.40,185.48,Aasu
9153,8417509.21,525170.92,176.66,Aasu
9154,8417515.02,525826.41,165.71,Aasu
9155,8417524.10,524716.36,41.39,Aasu
9157,8417524.13,525143.24,178.74,Aasu
9158,8417528.14,524695.97,134.20,Aasu
9159,8417526.45,525180.48,144.22,Aasu
9160,8417530.48,524866.68,111.82,Aasu
9161,8417530.78,525859.23,75.61,Aasu
9162,8417526.99,525106.42,230.86,Aasu
9164,8417531.56,524883.53,224.70,Aasu
9165,8417536.27,525011.45,115.01,Aasu
9166,8417537.02,525880.30,63.42,Aasu
9168,8417540.65,524763.21,96.00,Aasu
9171,8417545.47,525025.63,103.18,Aasu
9173,8417543.27,525726.50,215.53,Aasu
9174,8417543.00,525046.83,286.26,Aasu
9175,8417542.39,524738.19,297.52,Aasu
9176,8417547.86,524832.78,156.45,Aasu
9177,8417550.13,525885.58,54.14,Aasu
9178,8417552.79,524706.79,46.36,Aasu
9179,8417552.18,524986.03,94.80,Aasu
9180,8417551.07,524752.92,121.83,Aasu
9181,8417552.80,524957.62,141.96,Aasu
9182,8417556.47,524880.08,92.41,Aasu
9184,8417558.56,525778.94,258.51,Aasu
9185,8417562.18,524778.94,98.17,Aasu
9186,8417561.95,525071.87,120.99,Aasu
9187,8417567.77,525730.25,40.77,Aasu
9188,8417567.86,524976.64,40.77,Aasu
9191,8417575.05,525104.14,79.51,Aasu
9193,8417583.63,524529.02,118.42,Aasu
9194,8417586.64,525049.00,132.34,Aasu
9195,8417589.81,524482.23,180.07,Aasu
9197,8417622.56,524664.64,75.12,Aasu
9198,8417625.55,524431.62,39.05,Aasu
9200,8417637.03,525863.13,269.33,Aasu
9201,8417638.70,526073.02,131.81,Aasu
9202,8417641.90,526026.64,189.24,Aasu
9203,8417649.91,525836.10,67.36,Aasu
9205,8417667.09,526042.53,50.17,Aasu
9206,8417676.58,524660.11,100.96,Aasu
9207,8417677.73,524489.68,86.12,Aasu
9208,8417687.48,526028.44,92.58,Aasu
9209,8417685.14,524477.51,156.21,Aasu
9210,8417784.45,524606.24,249.96,Aasu
9211,8417814.04,524632.16,86.82,Aasu
9212,8417853.13,524733.87,88.95,Aasu
9213,8417872.49,524718.65,213.62,Aasu
9215,8418027.73,524736.40,111.55,Aasu
9216,8418117.97,524853.81,73.13,Aasu
9218,8418272.29,524916.23,209.81,Aasu
9219,8418325.55,524904.54,165.93,Aasu
9220,8418332.39,524896.24,48.00,Aasu
9221,8418393.02,524865.22,78.71,Aasu
9222,8418476.79,524960.37,59.74,Aasu
9223,8418539.17,525007.27,35.01,Aasu
9224,8417473.26,525362.49,66.14,Aasu
9225,8417496.34,525379.45,54.01,Aasu
9226,8417450.43,525295.66,121.99,Aasu
9228,8417549.57,525322.40,156.41,Aasu
