OBJECTID,VILLAGE,AREA_1,BLDG_CATEG,NAME,x,y
63,Aunuu,522.516,NA,NA,547379.2712,8420780.979
70,Aunuu,450.745,Church,NA,547435.0092,8420856.28
93,Aunuu,373.756,NA,NA,547465.6135,8421021.584
182,Mesepa,320.729,NA,NA,527365.5113,8416295.192
190,Mesepa,362.78,NA,NA,527540.2294,8416338.942
201,Mesepa,1529.492,Church,LDS,527470.5183,8416353.064
202,Mesepa,314.205,NA,NA,527211.6243,8416373.776
232,Mesepa,371.789,NA,NA,527455.0132,8416447.754
287,Mesepa,778.118,NA,NA,527709.0633,8416548.283
291,Mesepa,778.066,NA,NA,527640.889,8416593.812
293,Mesepa,232.885,Government,ASCC,527877.128,8416673.431
297,Mesepa,389.551,Government,ASCC,527822.6942,8416700.431
298,Mesepa,1313.362,Government,ASCC Auto Shop,527920.8852,8416691.215
299,Mesepa,555.346,Government,ASCC,527892.1791,8416704.738
300,Mesepa,9668.256,Government,ASCC,527728.4456,8416599.244
303,Mesepa,264.363,Government,ASCC,527870.8108,8416728.142
304,Mesepa,63.825,Government,ASPA Booster,527996.4909,8416745.081
306,Mesepa,178.2,Government,ASCC,527804.7945,8416749.231
307,Mesepa,277.652,Government,ASCC,527859.9781,8416748.101
310,Mesepa,1608.495,Government,ASCC Gym,527922.3489,8416781.041
311,Mesepa,150.954,Government,Land Grant,527947.2666,8416843.949
312,Mesepa,904.625,Government,Land Grant,527870.8562,8416846.322
314,Mesepa,291.031,Government,Land Grant,527941.9333,8416858.006
315,Mesepa,84.829,Government,Land Grant,527875.7748,8416876.05
316,Mesepa,315.193,Government,Land Grant GreenHouse,527925.7745,8416874.924
317,Mesepa,127.621,Government,Land Grant,527928.2395,8416897.917
319,Mesepa,290.074,Government,Land Grant,527907.9152,8416910.008
320,Mesepa,397.691,NA,NA,528132.7198,8416908.686
322,Mesepa,301.602,NA,NA,528000.8598,8416965.695
325,Mesepa,766.418,NA,NA,528145.1749,8416995.745
340,Mesepa,891.124,NA,NA,527197.9956,8416473.928
341,Mesepa,495.595,NA,NA,527208.7893,8416459.778
342,Mesepa,2656.777,NA,NA,528160.7628,8417002.23
348,Mesepa,552.743,NA,NA,527301.5028,8416305.174
353,Mesepa,328.606,NA,NA,527365.7861,8416294.995
358,Malaeloa/Aitulagi,476.107,NA,NA,524704.7225,8414616.567
367,Malaeloa/Aitulagi,492.488,NA,NA,524411.5805,8414551.351
388,Malaeloa/Aitulagi,408.27,NA,NA,524097.578,8414620.301
399,Malaeloa/Aitulagi,375.614,NA,NA,524592.7299,8414662.555
401,Malaeloa/Aitulagi,580.663,NA,NA,524320.8398,8414660.265
405,Malaeloa/Aitulagi,341.983,NA,NA,524295.401,8414670.69
406,Malaeloa/Aitulagi,1030.199,NA,NA,524265.47,8414676.319
407,Malaeloa/Aitulagi,755.93,Church,NA,525140.3639,8414676.259
410,Malaeloa/Aitulagi,435.892,NA,NA,524235.8454,8414686.444
415,Malaeloa/Aitulagi,378.507,NA,NA,524638.7031,8414692.726
419,Malaeloa/Aitulagi,328.654,NA,NA,525072.7761,8414711.529
422,Malaeloa/Aitulagi,304.233,NA,NA,524403.8122,8414730.323
424,Malaeloa/Aitulagi,335.771,NA,NA,524707.6109,8414726.205
426,Malaeloa/Aitulagi,324.761,NA,NA,524147.3861,8414730.698
437,Malaeloa/Aitulagi,385.721,NA,NA,524318.5103,8414749.549
441,Malaeloa/Aitulagi,405.026,NA,NA,524350.2227,8414754.415
444,Malaeloa/Aitulagi,476.263,NA,NA,525083.431,8414754.261
445,Malaeloa/Aitulagi,357.892,NA,NA,524689.5155,8414758.37
454,Malaeloa/Aitulagi,437.161,NA,NA,524939.9764,8414778.927
457,Malaeloa/Aitulagi,404.639,NA,NA,524153.0896,8414784.715
459,Malaeloa/Aitulagi,337.006,NA,NA,524845.7733,8414796.414
468,Malaeloa/Aitulagi,782.69,NA,NA,524194.1024,8414799.19
473,Malaeloa/Aitulagi,316.35,NA,NA,525067.6917,8414810.709
478,Malaeloa/Aitulagi,409.245,NA,NA,524949.1934,8414818.82
486,Malaeloa/Aitulagi,349.697,NA,NA,524356.1323,8414833.919
498,Malaeloa/Aitulagi,567.864,NA,NA,524990.0315,8414896.527
508,Malaeloa/Aitulagi,307.525,NA,NA,525075.526,8414982.79
517,Malaeloa/Aitulagi,360.824,NA,NA,525809.4653,8415284.873
531,Malaeloa/Aitulagi,478.519,NA,NA,525586.4686,8414939.091
532,Malaeloa/Aitulagi,478.519,NA,NA,525728.2637,8415320.52
533,Malaeloa/Aitulagi,1944.584,NA,NA,525730.5951,8416331.564
534,Malaeloa/Aitulagi,1759.6,NA,NA,525659.1027,8416682.715
535,Malaeloa/Aitulagi,1759.6,NA,NA,525676.0955,8416618.992
536,Malaeloa/Aitulagi,1628.758,NA,NA,525596.577,8416818.094
537,Malaeloa/Aitulagi,1082.831,NA,NA,525583.3033,8416895.448
