age,uniform,smooth
15,0.8,0
16,0.8,0.2
17,0.8,0.8
18,0.8,1.4
19,0.8,2
20,3.8,2.744
21,3.8,3.344
22,3.8,3.944
23,3.8,4.304
24,3.8,4.664
25,5.6,4.856
26,5.6,5.216
27,5.6,5.576
28,5.6,5.976
29,5.6,6.376
30,7.6,6.968
31,7.6,7.368
32,7.6,7.768
33,7.6,7.888
34,7.6,8.008
35,8.2,7.96
36,8.2,8.08
37,8.2,8.2
38,8.2,8.32
39,8.2,8.44
40,8.8,8.68
41,8.8,8.8
42,8.8,8.92
43,8.8,8.84
44,8.8,8.76
45,8.4,8.716
46,8.4,8.636
47,8.4,8.556
48,8.4,8.216
49,8.4,7.876
50,6.7,7.356
51,6.7,7.016
52,6.7,6.676
53,6.7,6.376
54,6.7,6.076
55,5.2,5.8
56,5.2,5.5
57,5.2,5.2
58,5.2,4.9
59,5.2,4.6
60,3.7,4.3
61,3.7,4
62,3.7,3.7
63,3.7,3.4
64,3.7,3.1
