Year,Birth order,Age,Value
1988,a,Total,400
1988,Second,Total,368
1988,Third,Total,309
1988,Fourth,Total,204
1988,Fifth,Total,127
1988,Sixth,Total,105
1988,Seventh,Total,56
1988,Eighth,Total,28
1988,Ninth,Total,13
1988,10th and higher,Total,15
1988,First,15 - 19,85
1988,Second,15 - 19,22
1988,Third,15 - 19,7
1988,Fourth,15 - 19,0
1988,Fifth,15 - 19,0
1988,Sixth,15 - 19,0
1988,Seventh,15 - 19,0
1988,Eighth,15 - 19,0
1988,Ninth,15 - 19,0
1988,10th and higher,15 - 19,0
1988,First,20 - 24,200
1988,Second,20 - 24,167
1988,Third,20 - 24,87
1988,Fourth,20 - 24,31
1988,Fifth,20 - 24,5
1988,Sixth,20 - 24,3
1988,Seventh,20 - 24,2
1988,Eighth,20 - 24,0
1988,Ninth,20 - 24,0
1988,10th and higher,20 - 24,0
1988,First,25 - 29,85
1988,Second,25 - 29,132
1988,Third,25 - 29,150
1988,Fourth,25 - 29,98
1988,Fifth,25 - 29,44
1988,Sixth,25 - 29,33
1988,Seventh,25 - 29,5
1988,Eighth,25 - 29,4
1988,Ninth,25 - 29,1
1988,10th and higher,25 - 29,0
1988,First,30 - 34,25
1988,Second,30 - 34,40
1988,Third,30 - 34,49
1988,Fourth,30 - 34,55
1988,Fifth,30 - 34,52
1988,Sixth,30 - 34,41
1988,Seventh,30 - 34,26
1988,Eighth,30 - 34,10
1988,Ninth,30 - 34,5
1988,10th and higher,30 - 34,3
1988,First,35 - 39,1
1988,Second,35 - 39,7
1988,Third,35 - 39,14
1988,Fourth,35 - 39,17
1988,Fifth,35 - 39,23
1988,Sixth,35 - 39,26
1988,Seventh,35 - 39,20
1988,Eighth,35 - 39,12
1988,Ninth,35 - 39,6
1988,10th and higher,35 - 39,8
1988,First,40 +,1
1988,Second,40 +,0
1988,Third,40 +,2
1988,Fourth,40 +,3
1988,Fifth,40 +,3
1988,Sixth,40 +,2
1988,Seventh,40 +,3
1988,Eighth,40 +,2
1988,Ninth,40 +,1
1988,10th and higher,40 +,4
1993,First,Total,456
1993,Second,Total,408
1993,Third,Total,324
1993,Fourth,Total,274
1993,Fifth,Total,199
1993,Sixth,Total,139
1993,Seventh,Total,90
1993,Eighth,Total,65
1993,Ninth,Total,22
1993,10th and higher,Total,21
1993,First,15 - 19,95
1993,Second,15 - 19,38
1993,Third,15 - 19,2
1993,Fourth,15 - 19,2
1993,Fifth,15 - 19,0
1993,Sixth,15 - 19,0
1993,Seventh,15 - 19,0
1993,Eighth,15 - 19,0
1993,Ninth,15 - 19,0
1993,10th and higher,15 - 19,0
1993,First,20 - 24,229
1993,Second,20 - 24,182
1993,Third,20 - 24,97
1993,Fourth,20 - 24,46
1993,Fifth,20 - 24,14
1993,Sixth,20 - 24,5
1993,Seventh,20 - 24,1
1993,Eighth,20 - 24,0
1993,Ninth,20 - 24,0
1993,10th and higher,20 - 24,0
1993,First,25 - 29,93
1993,Second,25 - 29,132
1993,Third,25 - 29,137
1993,Fourth,25 - 29,116
1993,Fifth,25 - 29,77
1993,Sixth,25 - 29,37
1993,Seventh,25 - 29,15
1993,Eighth,25 - 29,5
1993,Ninth,25 - 29,2
1993,10th and higher,25 - 29,0
1993,First,30 - 34,31
1993,Second,30 - 34,49
1993,Third,30 - 34,64
1993,Fourth,30 - 34,83
1993,Fifth,30 - 34,68
1993,Sixth,30 - 34,57
1993,Seventh,30 - 34,40
1993,Eighth,30 - 34,30
1993,Ninth,30 - 34,7
1993,10th and higher,30 - 34,4
1993,First,35 - 39,6
1993,Second,35 - 39,7
1993,Third,35 - 39,20
1993,Fourth,35 - 39,26
1993,Fifth,35 - 39,33
1993,Sixth,35 - 39,33
1993,Seventh,35 - 39,28
1993,Eighth,35 - 39,24
1993,Ninth,35 - 39,10
1993,10th and higher,35 - 39,10
1993,First,40 +,0
1993,Second,40 +,0
1993,Third,40 +,4
1993,Fourth,40 +,1
1993,Fifth,40 +,7
