Aasu,Afao,Afono,Agugulu,Alao,Alega,Alofau,Amaluia,Amanave,Amaua,Amouli,Anua,Aoa,Aoloau,Asili,Atuu,Aua,Auasi,Aumi,Aunuu,Auto,Avaio,Fagaalu,Fagaitua,Fagalii,Fagamalo,Faganeanea,Fagasa,Fagatogo,Failolo,Faleniu,Fatumafuti,Futiga,Iliili,Laulii,Leloaloa,Leone,Malaeimi,Malaeloa/Aitulagi,Malaeloa/Ituau,Maloata,Mapusagafou,Masausi,Masefau,Matuu,Mesepa,Nua,Nuuuli,Onenoa,Pagai,Pago,Pavaiai,Poloa,Sailele,Seetaga,Tafuna,Taputimu,Tula,Utulei,Utumea East,Utumea West,Vailoatai,Vaitogi,Vatia
Aasu,0,5.903,12.311,7.612,20.944,13.225,16.977,5.331,8.312,14.776,19.087,7.029,18.869,2.197,5.432,7.991,10.86,10.86,11.929,22.15,14.301,13.809,7.986,15.79,7.668,5.512,7.36,4.506,7.395,8.195,3.772,8.653,5.664,5.341,11.331,9.425,5.103,2.913,4.519,5.089,6.166,2.935,17.151,14.431,7.943,3.257,6.214,5.09,19.703,16.644,6.543,4.248,8.391,17.924,6.578,5.058,6.863,21.27,8.198,20.632,6.947,6.554,6.353,10.333
Afao,5.903,0,17.991,2.092,26.298,18.581,22.296,1.082,3.208,20.202,24.379,12.85,24.269,3.728,0.598,13.748,16.48,16.48,17.172,27.227,19.692,19.135,13.34,21.243,3.654,3.603,12.378,10.192,13.035,2.827,6.358,13.793,4.968,6.765,16.594,15.142,2.307,6.661,3.732,4.186,3.195,4.765,22.659,20.093,13.047,5.786,0.667,9.746,25.212,22.053,12.313,5.327,3.674,23.428,1.334,7.994,4.288,26.738,13.734,25.908,1.487,3.231,6.921,16.204
Afono,12.311,17.991,0,19.867,8.988,2.527,5.37,17.183,20.62,3.123,7.364,5.378,6.896,14.323,17.444,4.339,1.566,1.566,3.002,10.766,2.932,2.953,4.913,3.886,19.929,17.648,6.255,7.827,4.957,20.484,12.365,4.976,15.211,13.164,3.018,2.891,16.465,11.595,15.176,15.297,18.396,13.493,5.017,2.12,5.599,12.678,18.409,8.729,7.504,4.791,5.781,13.708,20.696,5.772,18.841,11.379,17.013,9.107,4.312,8.858,19.195,17.354,14.065,3.037
Agugulu,7.612,2.092,19.867,0,28.288,20.559,24.289,3.156,1.205,22.167,26.38,14.637,26.246,5.545,2.688,15.578,18.378,18.378,19.169,29.266,21.664,21.121,15.302,23.203,2.283,3.616,14.391,12.041,14.915,0.743,8.444,15.795,6.957,8.839,18.586,16.995,4.344,8.7,5.807,6.218,2.812,6.829,24.605,21.979,15.051,7.861,1.509,11.777,27.16,24.025,14.132,7.417,1.821,25.375,1.034,10.085,6.002,28.7,15.652,27.913,0.673,4.923,8.934,17.939
Alao,20.944,26.298,8.988,28.288,0,7.734,4.002,25.382,29.152,6.173,1.968,14.279,2.099,22.787,25.719,13.201,10.208,10.208,9.127,2.645,6.644,7.167,12.999,5.187,28.612,26.409,13.928,16.455,13.596,28.953,20.172,12.507,22.722,20.519,9.705,11.765,24.488,19.657,23.066,23.022,27.106,21.583,3.989,7.024,13.254,20.631,26.79,16.579,1.935,4.307,14.586,21.453,29.303,3.274,27.289,18.807,24.508,1.206,12.751,0.791,27.616,25.076,21.157,11.851
Alega,13.225,18.581,2.527,20.559,7.734,0,3.752,17.682,21.418,1.661,5.862,6.808,5.688,15.053,18.006,5.725,2.857,2.857,1.508,9.031,1.119,0.601,5.265,2.711,20.889,18.71,6.251,8.758,5.948,21.221,12.544,4.822,15.215,13.05,2.02,4.403,16.825,11.963,15.433,15.441,19.391,13.893,4.174,2.763,5.565,12.967,19.064,8.905,6.684,3.475,7.006,13.854,21.571,4.917,19.558,11.288,17.021,8.167,5.06,7.408,19.887,17.508,13.807,5.37
Alofau,16.977,22.296,5.37,24.289,4.002,3.752,0,21.379,25.16,2.299,2.111,10.447,2.05,18.794,21.717,9.36,6.378,6.378,5.125,5.407,2.697,3.173,9.012,1.54,24.641,22.46,9.926,12.505,9.673,24.956,16.179,8.505,18.759,16.564,5.703,7.958,20.49,15.655,19.073,19.04,23.143,17.581,1.602,3.789,9.251,16.632,22.79,12.578,3.295,0.767,10.702,17.466,25.319,1.884,23.292,14.837,20.552,4.575,8.803,3.657,23.618,21.098,17.237,8.387
Amaluia,5.331,1.082,17.183,3.156,25.382,17.682,21.379,0,4.289,19.314,23.453,12.13,23.366,3.138,0.541,12.99,15.656,15.656,16.255,26.26,18.796,18.228,12.466,20.359,4.673,4.239,11.453,9.434,12.235,3.897,5.339,12.875,3.901,5.687,15.683,14.359,1.233,5.725,2.653,3.108,4.01,3.802,21.786,19.273,12.129,4.793,1.741,8.806,24.335,21.157,11.569,4.264,4.751,22.551,2.404,6.951,3.389,25.847,12.899,24.977,2.568,2.397,5.845,15.512
Amanave,8.312,3.208,20.62,1.205,29.152,21.418,25.16,4.289,0,23.008,27.259,15.329,27.096,6.365,3.789,16.303,19.156,19.156,20.052,30.197,22.514,21.987,16.153,24.036,1.548,3.596,15.302,12.8,15.688,0.549,9.491,16.692,8.137,9.972,19.464,17.736,5.501,9.667,6.94,7.381,2.705,7.841,25.421,22.739,15.951,8.887,2.566,12.719,27.976,24.872,14.854,8.521,0.696,26.193,1.943,11.154,7.207,29.53,16.457,28.798,1.721,6.127,10.108,18.575
Amaua,14.776,20.202,3.123,22.167,6.173,1.661,2.299,19.314,23.008,0,4.38,8.156,4.093,16.646,19.631,7.071,4.083,4.083,3.164,7.703,0.558,1.23,6.865,1.051,22.444,20.236,7.901,10.283,7.424,22.821,14.198,6.473,16.876,14.711,3.68,5.662,18.471,13.601,17.085,17.098,20.935,15.531,2.513,2.037,7.213,14.614,20.676,10.552,5.03,1.868,8.429,15.511,23.145,3.258,21.16,12.95,18.682,6.536,6.579,5.917,21.494,19.166,15.463,6.159
Amouli,19.087,24.379,7.364,26.38,1.968,5.862,2.111,23.453,27.259,4.38,0,12.536,0.943,20.894,23.798,11.451,8.461,8.461,7.211,3.447,4.805,5.279,11.116,3.48,26.75,24.571,12.002,14.616,11.782,27.05,18.226,10.587,20.76,18.556,7.796,10.037,22.547,17.729,21.119,21.067,25.253,19.652,2.621,5.564,11.333,18.693,24.879,14.647,2.137,2.574,12.804,19.501,27.423,2.148,25.386,16.848,22.544,2.806,10.914,1.546,25.709,23.118,19.19,10.331
Anua,7.029,12.85,5.378,14.637,14.279,6.808,10.447,12.13,15.329,8.156,12.536,0,12.18,9.13,12.332,1.087,4.077,4.077,5.871,15.817,7.761,7.408,2.739,9.097,14.579,12.279,3.665,2.733,1.311,15.224,7.875,3.752,10.802,9.067,5.313,2.515,11.563,6.893,10.431,10.692,13.04,8.643,10.356,7.489,3.562,8.01,13.216,4.734,12.872,9.991,0.665,9.177,15.371,11.122,13.604,7.421,12.524,14.47,2.147,14.07,13.969,12.664,10.139,3.403
Aoa,18.869,24.269,6.896,26.246,2.099,5.688,2.05,23.366,27.096,4.093,0.943,12.18,0,20.733,23.694,11.103,8.11,8.11,7.12,4.161,4.583,5.139,10.946,3.091,26.537,24.324,11.921,14.374,11.508,26.905,18.194,10.494,20.796,18.605,7.685,9.667,22.495,17.644,21.088,21.067,25.027,19.573,1.934,4.969,11.24,18.636,24.752,14.576,1.383,2.226,12.491,19.489,27.238,1.31,25.243,16.872,22.592,2.526,10.672,2.028,25.574,23.128,19.285,9.789
