VILLAGE,X_Centroid,Y_Centroid
Aasu,526106.71482400000,8418830.62833000000
Afao,521428.62237600000,8416576.93913000000
Afono,537623.13619200000,8423460.18741000000
Agugulu,519398.64003600000,8416169.91412000000
Alao,546476.92887500000,8423177.93433000000
Alega,538794.48001000000,8421768.73775000000
Alofau,543041.91978600000,8421702.61903000000
Amaluia,522748.50528000000,8416531.00968000000
Amanave,518002.30543400000,8416516.29841000000
Amaua,540331.91222200000,8422569.77448000000
Amouli,544402.73340900000,8422016.03754000000
Anua,533636.54639600000,8422567.27676000000
Aoa,544562.87177000000,8423075.24229000000
Aoloau,523786.85798800000,8418688.28374000000
Asili,522147.50538600000,8416741.01966000000
Atuu,533899.68230200000,8422528.72407000000
Aua,536444.77320900000,8422254.51835000000
Auasi,545573.26808700000,8422555.17832000000
Aumi,538021.70954800000,8421363.39657000000
Aunuu,548149.61076700000,8420835.94543000000
Auto,539807.38259200000,8422085.28507000000
Avaio,539339.21242500000,8421898.66429000000
Fagaalu,533923.77606600000,8420142.46733000000
Fagaitua,541496.44423300000,8422828.96685000000
Fagalii,518969.94904400000,8417711.46625000000
Fagamalo,521718.29086000000,8418965.90228000000
Faganeanea,532719.16557900000,8419145.53322000000
Fagasa,529666.22669300000,8420384.72684000000
Fagatogo,533062.18725600000,8420871.57959000000
Failolo,518933.58473600000,8416280.81485000000
Faleniu,527643.40104400000,8416032.75480000000
Fatumafuti,534646.80434600000,8419463.51995000000
Futiga,525854.51092300000,8413066.74885000000
Iliili,527973.20846600000,8414178.78236000000
Laulii,537022.05511100000,8420889.13668000000
Leloaloa,534732.22941000000,8422812.18645000000
Leone,523766.84074200000,8415281.56037000000
Malaeimi,528565.06350400000,8418016.96522000000
Malaeloa/Aitulagi,524997.49869900000,8415703.58812000000
Malaeloa/Ituau,524996.66010900000,8414412.66135000000
Maloata,520375.05636800000,8418141.92640000000
Mapusagafou,526839.81402700000,8417102.92285000000
Masausi,542232.51277300000,8423519.35865000000
Masefau,539760.61147000000,8423580.74798000000
Matuu,533462.07583500000,8419530.51270000000
Mesepa,527714.05351800000,8416960.80012000000
Nua,520801.28336400000,8416718.25524000000
Nuuuli,530848.14651700000,8418230.04011000000
Onenoa,545430.90820400000,8424133.51450000000
Pagai,542638.91837700000,8422583.02239000000
Pago,531923.94614900000,8421949.37708000000
Pavaiai,526667.26794200000,8415413.50472000000
Poloa,518023.76303800000,8417124.21577000000
Sailele,543308.17147700000,8423267.95132000000
Seetaga,520210.55139200000,8416732.48627000000
Tafuna,529610.74285100000,8415677.74950000000
Taputimu,524728.96030700000,8413257.46349000000
Tula,546457.55922100000,8424306.38032000000
Utulei,534125.22423400000,8420888.85926000000
Utumea East,546230.01592500000,8422540.23981000000
Utumea West,519723.09024200000,8416449.21745000000
Vailoatai,524071.31603900000,8412742.71087000000
Vaitogi,527973.91586700000,8413061.92784000000
Vatia,535040.33333200000,8424175.92917000000
