Village,0-4,5-9,10-14,15-19,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85-85
Aasu,65 ,69 ,48 ,61 ,37 ,55 ,62 ,54 ,15 ,11 ,15 ,1 ,1
Afao,25 ,21 ,32 ,18 ,11 ,32 ,17 ,15 ,5 ,1 ,4 ,1 ,0
Afono,54 ,58 ,78 ,75 ,42 ,40 ,73 ,54 ,18 ,11 ,14 ,5 ,2
Agugulu,7 ,9 ,3 ,6 ,3 ,5 ,9 ,5 ,4 ,0 ,0 ,0 ,0
Alao,57 ,44 ,59 ,79 ,36 ,49 ,70 ,57 ,14 ,10 ,14 ,5 ,1
Alega,6 ,3 ,4 ,5 ,4 ,7 ,6 ,5 ,2 ,6 ,4 ,1 ,1
Alofau,79 ,62 ,54 ,81 ,46 ,78 ,114 ,76 ,23 ,13 ,15 ,4 ,1
Amaluia,15 ,18 ,20 ,20 ,10 ,16 ,15 ,26 ,11 ,4 ,6 ,1 ,0
Amanave,29 ,27 ,28 ,33 ,21 ,26 ,31 ,36 ,6 ,7 ,5 ,1 ,0
Amaua,15 ,9 ,12 ,26 ,13 ,17 ,27 ,27 ,10 ,5 ,7 ,2 ,0
Amouli,111 ,120 ,119 ,100 ,52 ,103 ,123 ,103 ,29 ,18 ,29 ,8 ,5
Anua,2 ,2 ,4 ,0 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,1 ,0
Aoa,132 ,119 ,88 ,91 ,45 ,112 ,103 ,89 ,36 ,12 ,18 ,9 ,1
Aoloau,76 ,67 ,58 ,68 ,55 ,77 ,83 ,65 ,16 ,22 ,15 ,11 ,2
Asili,31 ,32 ,28 ,24 ,15 ,18 ,26 ,24 ,6 ,10 ,6 ,4 ,0
Atuu,25 ,43 ,45 ,50 ,24 ,38 ,53 ,44 ,12 ,14 ,5 ,5 ,1
Aua,252 ,255 ,239 ,230 ,153 ,261 ,254 ,239 ,78 ,46 ,49 ,15 ,6
Auasi,10 ,9 ,18 ,16 ,7 ,15 ,15 ,8 ,5 ,2 ,6 ,2 ,0
Aumi,32 ,22 ,23 ,20 ,13 ,15 ,19 ,21 ,5 ,4 ,10 ,1 ,1
Aunuu,57 ,58 ,49 ,49 ,30 ,57 ,41 ,52 ,16 ,10 ,10 ,6 ,1
Auto,29 ,32 ,28 ,27 ,20 ,37 ,33 ,26 ,13 ,9 ,8 ,0 ,0
Avaio,6 ,4 ,7 ,1 ,4 ,4 ,4 ,6 ,1 ,2 ,4 ,1 ,0
Fagaalu,103 ,95 ,108 ,86 ,42 ,127 ,140 ,100 ,26 ,33 ,33 ,15 ,2
Fagaitua,30 ,48 ,60 ,51 ,31 ,46 ,63 ,51 ,20 ,14 ,13 ,6 ,0
Fagalii,37 ,27 ,23 ,26 ,18 ,35 ,29 ,27 ,9 ,5 ,7 ,3 ,1
Fagamalo,4 ,4 ,7 ,6 ,4 ,4 ,3 ,5 ,3 ,2 ,4 ,1 ,0
Faganeanea,13 ,19 ,18 ,20 ,10 ,20 ,17 ,17 ,4 ,6 ,4 ,1 ,1
Fagasa,85 ,74 ,112 ,122 ,56 ,93 ,95 ,101 ,32 ,23 ,29 ,6 ,3
Fagatogo,211 ,194 ,170 ,162 ,143 ,230 ,239 ,195 ,69 ,51 ,51 ,17 ,5
Failolo,10 ,12 ,21 ,17 ,7 ,3 ,13 ,16 ,5 ,2 ,2 ,0 ,0
Faleniu,284 ,228 ,227 ,204 ,124 ,248 ,253 ,184 ,59 ,33 ,40 ,14 ,0
Fatumafuti,15 ,13 ,19 ,13 ,8 ,12 ,10 ,10 ,3 ,3 ,5 ,2 ,0
Futiga,91 ,77 ,88 ,85 ,49 ,80 ,92 ,83 ,30 ,20 ,17 ,11 ,0
Iliili,367 ,377 ,357 ,361 ,226 ,369 ,407 ,367 ,117 ,92 ,114 ,36 ,5
Laulii,99 ,104 ,107 ,102 ,67 ,99 ,111 ,107 ,30 ,29 ,28 ,9 ,0
Leloaloa,40 ,40 ,65 ,53 ,57 ,62 ,56 ,29 ,14 ,9 ,16 ,7 ,0
Leone,352 ,354 ,360 ,362 ,202 ,370 ,393 ,387 ,131 ,83 ,109 ,30 ,5
Malaeimi,156 ,147 ,139 ,138 ,74 ,171 ,162 ,100 ,41 ,22 ,26 ,5 ,1
Malaeloa/Aitulagi,85 ,99 ,67 ,83 ,53 ,89 ,75 ,74 ,28 ,20 ,21 ,4 ,0
Malaeloa/Ituau,72 ,72 ,55 ,66 ,42 ,80 ,53 ,58 ,20 ,21 ,7 ,3 ,1
Maloata,0 ,0 ,1 ,1 ,1 ,1 ,0 ,2 ,0 ,1 ,1 ,0 ,0
Mapusagafou,159 ,165 ,117 ,126 ,77 ,152 ,120 ,96 ,44 ,28 ,31 ,8 ,3
Masausi,22 ,17 ,18 ,19 ,11 ,15 ,30 ,18 ,5 ,5 ,3 ,1 ,0
Masefau,43 ,45 ,44 ,58 ,32 ,58 ,46 ,44 ,22 ,9 ,17 ,6 ,1
Matuu,57 ,47 ,35 ,45 ,24 ,62 ,48 ,42 ,16 ,9 ,8 ,5 ,1
Mesepa,56 ,48 ,50 ,49 ,43 ,56 ,53 ,55 ,12 ,13 ,8 ,1 ,0
Nua,21 ,15 ,17 ,14 ,6 ,23 ,16 ,16 ,4 ,5 ,4 ,0 ,0
Nuuuli,488 ,438 ,403 ,411 ,295 ,539 ,549 ,435 ,156 ,96 ,106 ,34 ,5
Onenoa,24 ,12 ,16 ,12 ,12 ,13 ,22 ,10 ,9 ,3 ,11 ,4 ,2
Pagai,9 ,16 ,13 ,21 ,9 ,7 ,22 ,12 ,2 ,2 ,2 ,2 ,1
Pago,478 ,489,420,430,285,543,513,436,113,91,116,31,8
Pavaiai,320 ,299 ,293 ,276 ,172 ,275 ,336 ,241 ,95 ,60 ,59 ,21 ,3
Poloa,28 ,18 ,18 ,19 ,16 ,29 ,25 ,20 ,7 ,3 ,8 ,2 ,0
Sailele,8 ,8 ,10 ,6 ,5 ,11 ,5 ,10 ,5 ,1 ,4 ,2 ,0
Seetaga,28 ,45 ,37 ,33 ,26 ,37 ,42 ,16 ,12 ,6 ,13 ,4 ,0
Tafuna,886 ,955 ,855 ,884 ,520 ,1025 ,1084 ,877 ,306 ,257 ,200 ,78 ,18
Taputimu,101 ,106 ,109 ,104 ,61 ,90 ,98 ,93 ,38 ,13 ,24 ,3 ,1
