VILLAGE,Lat,Long
Aasu,-14.302265,-170.757931
Afao,-14.322683,-170.80129
Afono,-14.260274,-170.651214
Agugulu,-14.326378,-170.820111
Alao,-14.262692,-170.569131
Alega,-14.275551,-170.640331
Alofau,-14.276086,-170.600952
Amaluia,-14.323087,-170.78905
Amanave,-14.323255,-170.833062
Amaua,-14.268286,-170.626089
Amouli,-14.273231,-170.588341
Anua,-14.268398,-170.68816
Aoa,-14.263652,-170.586873
Aoloau,-14.303573,-170.77944
Asili,-14.321193,-170.794625
Atuu,-14.268744,-170.68572
Aua,-14.271191,-170.662121
Auasi,-14.268337,-170.577498
Aumi,-14.279227,-170.647489
Aunuu,-14.283838,-170.553583
Auto,-14.272675,-170.630945
Avaio,-14.274369,-170.635282
Fagaalu,-14.290319,-170.685467
Fagaitua,-14.265926,-170.615297
Fagalii,-14.312442,-170.824097
Fagamalo,-14.30108,-170.798623
Faganeanea,-14.299348,-170.696623
Fagasa,-14.288178,-170.724944
Fagatogo,-14.283737,-170.693464
Failolo,-14.325378,-170.824424
Faleniu,-14.327548,-170.743654
Fatumafuti,-14.296449,-170.678754
Futiga,-14.354383,-170.760215
Iliili,-14.344307,-170.740577
Laulii,-14.283528,-170.656751
Leloaloa,-14.26617,-170.678005
Leone,-14.334376,-170.779596
Malaeimi,-14.309598,-170.735128
Malaeloa/Aitulagi,-14.330549,-170.768187
Malaeloa/Ituau,-14.342221,-170.768183
Maloata,-14.30854,-170.811071
Mapusagafou,-14.317879,-170.751117
Masausi,-14.259672,-170.608484
Masefau,-14.259154,-170.6314
Matuu,-14.295858,-170.68974
Mesepa,-14.319156,-170.743009
Nua,-14.32141,-170.807108
Nuuuli,-14.307647,-170.713961
Onenoa,-14.254069,-170.578844
Pagai,-14.268132,-170.604702
Pago,-14.274005,-170.70403
Pavaiai,-14.333156,-170.7527
Poloa,-14.317759,-170.832867
Sailele,-14.261929,-170.598508
Seetaga,-14.321285,-170.812586
Tafuna,-14.330737,-170.725407
Taputimu,-14.352669,-170.770655
Tula,-14.252489,-170.56933
Utulei,-14.283568,-170.683608
Utumea East,-14.268461,-170.571409
Utumea West,-14.32385,-170.817104
Vailoatai,-14.357329,-170.77675
Vaitogi,-14.354405,-170.740558
Vatia,-14.253836,-170.675167
