SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,259,9,20,27,22,47,43,53,44,35,11,4,0,1622,48,145,138,128,270,294,317,289,198,80,46,0,0,0,0,0,0.0019084,0,0.0020202,0,0,0,0.016,0,0.00217391,0,0.00233918,0.00487805,0.0267857,0.00835655,0.00288878,0,0,0,0,0,0,0,0,0,0,0.00240674,0.000575705,0.00925926,0.00263435,0,0.0055325,0.000938967,0.0044843,0.00446429,0.000956023,0.0109983,0.00429799,0.0236364,0.125,0,0,0.00235294,0,0.00900901,0.0141844,0.00328698,0,0,0.0161902,0.0142857,0.0362694,0.0266667,0,0.00100692,0.00713436,0.00246914,0.00292398,0,0,0.00276434,0.0127616,0.003125,0.01417,0,0.0362595,0,0.010101,0,0.00309598,0.0308642,0.072,0.0470588,0.0141304,0,0.00584795,0.0195122,0.151786,0.0696379,0.0226288,0.0265487,0,0.00688073,0.00381679,0.0454545,0.0043956,0.0300231,0.0121457,0.0212766,0,0.0120337,0.00460564,0.0185185,0.0110643,0,0.0594744,0.0128326,0.0134529,0.0111607,0.00509879,0.0786802,0.0401146,0.152727,0.125,0,0,0.00705882,0.00501253,0.0225225,0.035461,0.0184576,0,0,0.0862636,0.0893878,0.181347,0.2,0,0.00478288,0.0701546,0.0246914,0.0102339,0.0416667,0,0.0248791,0.0852476,0.009375,2627698837
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54013,2512,6134,6054,12631,12131,7353,6709,6709,4739,2446,1181,114,357,15,29,32,28,55,63,78,65,43,19,6,0,1600,47,143,151,110,268,306,313,269,204,82,46,2,0,0,0,0,0.00194553,0,0.00394477,0,0.00318979,0,0.012605,0.00568182,0.00434783,0,0.00240964,0.0112721,0.028436,0.014245,0.00600601,0,0,0.00452489,0,0,0.00110619,0,0,0,0,0.00122549,0.000574383,0.00925926,0.00368227,0,0.00549451,0.0021875,0.00558036,0.00452489,0.00127551,0.0187394,0.0058309,0.0347985,0,0,0,0,0,0.00443459,0.0149254,0.00503651,0,0,0.0214779,0.0174939,0.055,0.0135135,0,0.00150508,0.0108303,0.00248139,0.00147275,0,0,0.00644699,0.0177546,0.00466563,0.010352,0,0.0272374,0,0.0118343,0,0.00797448,0.0248447,0.0672269,0.0511364,0.0173913,0,0.00481928,0.0257649,0.14218,0.0598291,0.024024,0.0277778,0.00518135,0.0135747,0.003663,0.05,0.00442478,0.027972,0.00904977,0.0212766,0,0.00980392,0.00459506,0.00925926,0.0126249,0,0.0549451,0.0153125,0.0167411,0.0158371,0.00542092,0.0741056,0.0408163,0.159341,0,0.000904977,0,0.00728155,0.00726392,0.0199557,0.0373134,0.0196424,0,0,0.0846331,0.0842148,0.2,0.162162,0,0.00627117,0.0637786,0.0272953,0.011782,0.05,0,0.0265043,0.0762402,0.0108865,2627698837
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53643,2442,6024,5846,12354,11891,7719,6490,6576,4767,2509,1138,199,399,7,40,36,28,77,73,74,68,49,20,8,2,1795,32,173,168,122,345,311,326,296,246,100,41,8,0,0,0,0,0.00196464,0,0.00400802,0,0.00334448,0,0.0230769,0.017341,0.00340136,0,0.00488998,0.00811688,0.031746,0.0114943,0.00505051,0,0,0.00449438,0,0,0,0,0,0,0,0.00120482,0.00115674,0.00990099,0.00259202,0,0.00796813,0.00222717,0.00782998,0.00934579,0.00221379,0.0186757,0.0103245,0.0305344,0,0.000932836,0,0,0,0.00650759,0.00628931,0.00497018,0,0,0.0238908,0.0231722,0.0604651,0.0135135,0.00364964,0.00164599,0.0113065,0.00246305,0.0030349,0,0,0.00796524,0.0201806,0.00455927,0.00856531,0,0.0235756,0,0.0140281,0,0.0183946,0.025974,0.0884615,0.0520231,0.021542,0,0.0122249,0.0243506,0.111111,0.0488506,0.029798,0.027027,0.00515464,0.0157303,0.00387597,0.04,0.00666667,0.0300231,0.00877193,0.0208333,0.0136054,0.0060241,0.00347021,0.00990099,0.0155521,0,0.061089,0.0197264,0.0234899,0.0257009,0.00885515,0.0840407,0.0471976,0.152672,0.1,0.00373134,0.00564972,0.013986,0.0084507,0.0347072,0.0251572,0.0221173,0,0,0.0995012,0.0878945,0.213953,0.121622,0.00364964,0.0079767,0.0829146,0.0320197,0.0121396,0.0263158,0.0175439,0.0260681,0.078598,0.0151976,2627698837
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53191,2381,5921,5690,12013,11543,8136,6266,6403,4841,2617,1097,275,451,3,51,40,28,92,86,74,78,56,30,5,2,2048,24,220,231,137,460,342,354,309,269,126,41,10,0,0,0,0,0.00207039,0.0222222,0.00401606,0,0.0064,0,0.0305344,0.0227273,0.00352526,0,0.00612745,0.0114943,0.0209424,0.0113314,0.00518941,0,0,0.00454545,0,0,0,0.00234742,0,0,0,0.00361011,0.00237671,0.0186916,0.00208117,0,0.00934579,0.00386473,0.0102975,0.00705882,0.00250627,0.0222985,0.0126761,0.0350877,0,0.000932836,0,0,0,0.00678733,0.0123457,0.00659396,0,0,0.0258736,0.028135,0.0619048,0.0410959,0.00353357,0.00189514,0.00892857,0.00246914,0.00309598,0,0,0.00948905,0.0183028,0.00471698,0.0043956,0.00584795,0.0310559,0.0222222,0.0200803,0,0.0272,0.0275862,0.0763359,0.0909091,0.0246769,0,0.0208333,0.0328407,0.146597,0.0509915,0.0332122,0.034188,0.0216216,0.025,0.00404858,0.0204082,0.00447928,0.0305164,0.00444444,0.0196078,0.0131579,0.0108303,0.00950683,0.0186916,0.016129,0,0.0614152,0.020934,0.0320366,0.0235294,0.0140977,0.0960549,0.056338,0.175439,0.0909091,0.00652985,0.00591716,0.00904977,0.0106383,0.0361991,0.0432099,0.0251078,0.00719424,0,0.11283,0.100482,0.257143,0.164384,0.00706714,0.0104864,0.0841837,0.0345679,0.0139319,0.0465116,0.0178571,0.0328467,0.0798669,0.0204403,2627698837
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52697,2326,5810,5581,11706,11277,8471,6006,6216,4887,2694,1094,346,543,7,57,70,31,123,98,80,93,65,38,11,4,2375,48,252,312,158,565,426,376,351,294,135,55,15,0,0,0,0,0.00207039,0.0588235,0.00396825,0,0.00827815,0,0.0218182,0.0282486,0.00469484,0,0.0113208,0.0130293,0.0208333,0.012012,0.00633914,0,0.00574713,0.00441501,0,0,0,0.00233645,0,0,0,0.00243902,0.00179533,0.00917431,0.00108992,0,0.00805369,0.00583847,0.0118203,0.00717703,0.00313283,0.0237489,0.0182584,0.0522244,0,0.000896057,0,0.00232019,0,0.00668151,0,0.00786203,0,0,0.0302288,0.0342717,0.0707547,0.0416667,0.00341297,0.0032076,0.0130208,0.00717703,0.00469484,0,0,0.0109729,0.0254482,0.00504202,0.01373,0.0215054,0.0331263,0.0980392,0.0198413,0,0.0380795,0.0283688,0.0727273,0.118644,0.0246479,0,0.0327044,0.0423453,0.151042,0.0570571,0.0385631,0.0265487,0.0402299,0.0331126,0.0117188,0.0204082,0.00540541,0.0233645,0.00434783,0.0377358,0.0133333,0.0109756,0.0113704,0.0183486,0.0163488,0.0106383,0.0510067,0.0240026,0.0472813,0.0239234,0.0169173,0.112807,0.0744382,0.179884,0.0909091,0.0125448,0.0110497,0.0116009,0.00552486,0.0534521,0.0405405,0.0332234,0.0142857,0.0152672,0.127179,0.115871,0.273585,0.208333,0.00682594,0.0152682,0.0833333,0.0334928,0.0172144,0.025641,0.0178571,0.0395026,0.101215,0.0218487,2627698837
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52160,2299,5656,5489,11381,11039,8714,5842,6035,4915,2753,1097,384,633,5,55,91,23,163,96,93,106,82,41,20,9,2669,43,269,388,170,698,457,375,387,329,158,75,20,0,0,0,0,0.0021322,0.0576923,0.00203666,0,0.0124555,0,0.0215827,0.0304569,0.00612745,0,0.0152672,0.0123457,0.0295567,0.00928793,0.00697799,0.00892857,0.0113636,0.0043573,0,0,0.00107991,0.00248139,0,0,0,0.00243605,0.00184388,0.0113636,0.00163666,0,0.0133333,0.00602208,0.0154394,0.00980392,0.00473784,0.031651,0.0217077,0.05,0,0.00178094,0,0.00232558,0,0.00224719,0,0.00996169,0,0,0.0360187,0.0366255,0.0980392,0.0547945,0.00342466,0.00423131,0.0131406,0.00966184,0.00972447,0,0,0.0120482,0.0295791,0.00165017,0.0117371,0.0238095,0.0362473,0.0961538,0.0305499,0,0.0604982,0.0431655,0.0863309,0.111675,0.0355392,0,0.0470738,0.0564374,0.147783,0.0712074,0.0407944,0.0267857,0.0454545,0.0392157,0.00840336,0.0392157,0.00863931,0.0173697,0.00434783,0.0384615,0.0129032,0.00974421,0.0147511,0.0340909,0.0180033,0.0103093,0.0546667,0.0301104,0.0570071,0.0416667,0.0205306,0.118905,0.0839363,0.166,0.0909091,0.0133571,0.0106952,0.0162791,0.00854701,0.0516854,0.0384615,0.0393359,0.00746269,0.0152672,0.1449,0.122222,0.269608,0.191781,0.0136986,0.0201308,0.086728,0.031401,0.0259319,0.0465116,0.0181818,0.0466867,0.117747,0.0181518,2627698837
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51697,2255,5512,5415,11165,10819,8903,5681,5867,4944,2791,1128,399,699,12,51,103,26,179,126,84,118,93,44,23,6,2989,47,276,445,185,800,544,384,438,346,182,88,22,0,0,0,0.00995025,0.00206186,0.0612245,0,0,0.0144144,0,0.0230263,0.015,0.0102433,0,0.0182768,0.0147783,0.0295567,0.0120846,0.00491535,0,0.00540541,0.00619835,0,0,0.00108578,0.00247525,0,0,0,0.00490798,0.00249066,0.0103093,0.00164024,0,0.0185185,0.00777815,0.0179211,0.00973236,0.00479846,0.0278989,0.0307467,0.060241,0,0.00437445,0,0,0.00274725,0.00229885,0,0.0113754,0,0,0.0380313,0.043241,0.109091,0.0540541,0.0035461,0.00425806,0.0135135,0.00753769,0.00833333,0,0,0.0168324,0.0356725,0.00163666,0.0136986,0.0248756,0.0329897,0.163265,0.026694,0.0294118,0.0774775,0.028169,0.0921053,0.12,0.0422535,0,0.0587467,0.0738916,0.147783,0.0785498,0.043692,0.0285714,0.0540541,0.0454545,0.00843882,0.0408163,0.00760043,0.0173267,0,0.02,0.013245,0.0171779,0.014944,0.0412371,0.0196829,0.0210526,0.0527066,0.0368617,0.0681004,0.0462287,0.024952,0.125545,0.108346,0.178715,0.0526316,0.0166229,0.0106383,0.0204545,0.0137363,0.0528736,0.0304878,0.0460186,0.00757576,0.0181818,0.158277,0.147775,0.272727,0.216216,0.0141844,0.0221935,0.0905405,0.0427136,0.0366667,0.0263158,0.0243902,0.055088,0.136842,0.01473,2627698837
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51073,2178,5370,5321,10812,10576,9112,5514,5675,4939,2888,1128,429,791,14,49,100,31,177,166,90,125,112,56,25,9,3272,48,263,459,170,833,647,391,492,404,213,93,29,0,0,0,0.00990099,0.00404858,0.0727273,0,0,0.0128676,0,0.0295082,0.0191388,0.0116732,0.0285714,0.014531,0.0205832,0.0159574,0.0151976,0.00439319,0,0.0153061,0.00209644,0,0,0.00220994,0.00255754,0,0,0,0.00497512,0.00195185,0.0217391,0.00271592,0,0.014556,0.00865951,0.0202276,0.00503778,0.00590164,0.0309278,0.0444444,0.0690335,0,0.00445633,0,0.00227273,0.00289017,0.00677201,0.00621118,0.01294,0,0,0.0465512,0.0434233,0.0954545,0.0649351,0.0035461,0.00547517,0.0122117,0.00262467,0.00862069,0,0,0.021875,0.0463887,0.00338409,0.0205011,0.0247525,0.0323887,0.254545,0.0272374,0.0294118,0.0808824,0.0222222,0.095082,0.119617,0.0428016,0.0285714,0.0594452,0.0806175,0.154255,0.0851064,0.0499725,0.0285714,0.0714286,0.0398323,0.00869565,0.0204082,0.00883978,0.0127877,0,0.0208333,0.0134228,0.0236318,0.0175667,0.0652174,0.017925,0.0337079,0.0494905,0.046415,0.0847029,0.0478589,0.0285246,0.132302,0.125926,0.197239,0,0.0196078,0.0108108,0.0181818,0.0144509,0.0541761,0.0310559,0.0517598,0.00757576,0.0181818,0.176554,0.155565,0.245455,0.233766,0.0212766,0.0278973,0.103121,0.0288714,0.0396552,0.0697674,0.025,0.0695313,0.1468,0.0152284,2627698837
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.72911,0.000882994,0.000132688,S,0,26,50515,2146,5229,5194,10526,10288,9311,5349,5543,4940,2933,1182,443,928,10,47,112,30,195,200,114,145,125,82,28,9,3555,58,246,461,182,839,745,416,510,451,273,100,39,36831,0,0.0022779,0.0112994,0.00618557,0.0652174,0,0,0.0144144,0,0.0190476,0.0185185,0.0178799,0.0285714,0.0184697,0.0229682,0.0268817,0.0161812,0.00453258,0,0.030303,0.00208333,0.004329,0,0.00229358,0,0,0,0,0.00496894,0.00263505,0.0196078,0.00496415,0,0.0197568,0.0116197,0.0244845,0.0078534,0.00658111,0.027248,0.0460123,0.0833333,0,0.00636943,0,0.00436681,0.00560224,0.00456621,0,0.0142709,0,0,0.0541245,0.0546379,0.100962,0.0595238,0,0.00731644,0.017663,0.00531915,0.0143113,0,0,0.0317331,0.0541344,0.00683761,0.022779,0.0282486,0.0247423,0.23913,0.0247619,0.0410959,0.0810811,0.0277778,0.0952381,0.12037,0.0498084,0.0285714,0.0699208,0.0936396,0.166667,0.0938511,0.0441926,0.0285714,0.0656566,0.0333333,0.012987,0.0238095,0.00917431,0.0153453,0.00460829,0.0212766,0.0193548,0.0298137,0.0184453,0.0784314,0.0204082,0.0215054,0.0486322,0.053169,0.0902062,0.0549738,0.0315893,0.113533,0.142638,0.23374,0,0.0245678,0.0167598,0.0196507,0.0112045,0.0547945,0,0.0591593,0.0144928,0.0176991,0.20521,0.171537,0.25,0.202381,0.037037,0.0318788,0.103261,0.0319149,0.0518784,0.0444444,0,0.0903173,0.164783,0.0188034,2627698837
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.729746,0.000882994,0.000132688,S,0,26,49979,2070,5118,5051,10247,10076,9412,5318,5364,4935,2943,1247,437,241,2,12,18,14,33,54,30,35,38,26,10,1,2239,42,142,266,121,490,487,276,317,279,181,69,19,36472,0,0,0,0.00208768,0.0416667,0,0,0.00363636,0,0.00306748,0,0.00131926,0,0.00266667,0.00736648,0.00510204,0.00319489,0,0,0.0147783,0,0.0042735,0,0.00116144,0,0,0,0,0.00121951,0.000661813,0.010101,0.00167598,0,0.0015361,0.00214439,0.00536193,0.00514139,0.00100908,0.00748363,0.0136157,0.0170213,0,0.00176991,0,0,0,0.00223714,0,0.00312581,0,0,0.0162818,0.0145175,0.044335,0.027027,0,0.00196954,0.00815217,0.00254453,0.0037037,0,0,0.0084317,0.0147319,0,0.00923788,0.0108108,0.0125261,0.208333,0.0134357,0.0135135,0.0509091,0.0140845,0.0613497,0.0879121,0.0369393,0,0.0493333,0.0607735,0.0969388,0.0543131,0.0257584,0.00934579,0.0689655,0.0122951,0.0042735,0,0.00813008,0.010989,0.00460829,0,0.012987,0.0182927,0.010589,0.0707071,0.0134078,0,0.0322581,0.038599,0.0630027,0.033419,0.0174908,0.0654818,0.0922844,0.153191,0,0.0159292,0.00561798,0.00631579,0.0124224,0.0268456,0,0.0362073,0.020979,0.018018,0.129663,0.113151,0.17734,0.108108,0.0218182,0.0208771,0.0720109,0.0229008,0.0296296,0.0232558,0.0222222,0.0564924,0.100177,0.0190311,2627698837
