SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,224,6,12,17,19,33,34,51,34,30,15,8,0,1614,53,123,119,132,253,283,291,300,186,93,76,0,0,0,0.00809717,0,0,0,0.00808081,0.0185185,0.00309598,0,0,0,0.00217391,0,0,0,0,0,0,0,0,0,0.00381679,0,0.0043956,0.0207852,0,0,0,0,0,0,0.0052687,0,0.00138313,0.000312989,0.00112108,0,0.0175271,0.00592217,0.00286533,0,0,0.0017762,0,0.0211765,0.00501253,0,0.0070922,0.00429836,0,0,0.000758917,0.00163265,0,0,0,0.00176211,0,0,0.0307018,0,0,0,0.0229709,0.003125,0.0708502,0.00549451,0.0019084,0,0.0565657,0.148148,0.0263158,0.00617284,0.044,0.00588235,0.0184783,0.111111,0.00233918,0.0113821,0,0.0167131,0.0052961,0.0176991,0.00537634,0.00917431,0.0152672,0,0.0131868,0.143187,0,0,0.0866667,0.0144404,0,0.00925926,0.0258166,0.0265487,0.011065,0.0028169,0.00672646,0.00446429,0.128107,0.0558376,0.0100287,0.00363636,0,0.0071048,0.0182927,0.103529,0.0576441,0.00225225,0.0283688,0.0359039,0.0266667,0.0423729,0.0073362,0.00734694,0,0,0.0133779,0.0106986,0.00237812,0,0.182749,0,0,0.00691085,0.136804,0.040625,3291438236
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54059,2529,6129,6082,12684,12168,7362,6714,6652,4714,2457,1200,108,323,11,18,23,20,44,65,64,53,43,23,11,0,1599,46,131,114,109,231,302,293,279,193,110,72,10,0,0,0.0123711,0,0,0,0.00813008,0.0175439,0.0015528,0,0.008,0,0.00432432,0,0,0,0,0.0027248,0.000484731,0,0,0.00234742,0.00401606,0,0.00437158,0.0251716,0,0,0.00645161,0.0012285,0,0,0.00693703,0,0.00280505,0.000323206,0.00347625,0.00226244,0.0265068,0.00853971,0.00424328,0,0,0.00262238,0.00641026,0.0242718,0.0104987,0,0,0.00791624,0,0.008,0.00128833,0.00203583,0,0,0,0.00277567,0.00119048,0,0.037092,0,0,0.00139276,0.0274896,0.00613497,0.0742268,0.00555556,0.00188324,0,0.050813,0.140351,0.0232919,0.00617284,0.044,0.00591716,0.0205405,0.111111,0.00231214,0.0109204,0,0.0190736,0.00533204,0.0173913,0.0052356,0.0164319,0.0281124,0,0.010929,0.1373,0.004,0,0.0903226,0.014742,0,0.00917431,0.0277481,0.017094,0.00981767,0.00420168,0.00811124,0.00678733,0.125276,0.0512383,0.00990099,0.00184502,0,0.00524476,0.025641,0.092233,0.0551181,0.00440529,0.0192308,0.0377937,0.0272109,0.048,0.0074723,0.00732899,0,0,0.0133779,0.010598,0.0047619,0,0.181009,0,0,0.00696379,0.133299,0.0429448,3291438236
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53733,2452,6040,5841,12473,11928,7659,6437,6561,4803,2529,1137,206,381,10,22,28,23,51,77,66,67,47,28,20,2,1738,32,127,154,93,284,326,296,306,218,126,71,18,0,0,0.0187891,0,0,0,0.0140281,0.0163934,0,0,0.00757576,0,0.00532481,0,0,0,0,0.00557103,0.000968523,0,0,0.0022779,0.00423729,0,0.00231214,0.0305164,0,0,0.0124224,0.00120773,0,0,0.00694444,0,0.00429185,0.000657246,0.00474496,0.00227273,0.0313178,0.010453,0.00290698,0,0,0.00171527,0.00641026,0.0263736,0.0134771,0,0,0.00983111,0,0.00806452,0.0023554,0.00248447,0,0,0.00331126,0.0027894,0.001221,0,0.0385208,0,0,0.00140056,0.0350216,0.00630915,0.0751566,0.00561798,0.0019084,0,0.0621242,0.131148,0.0194805,0.0060241,0.0340909,0.0127389,0.0202343,0.0526316,0.00353357,0.00918836,0,0.0222841,0.00484262,0.00840336,0,0.0205011,0.0508475,0,0.0184971,0.131455,0.00403226,0,0.0931677,0.00966184,0.0017616,0.0104167,0.0293803,0.0168067,0.00858369,0.00657246,0.0106762,0.0113636,0.128992,0.0487805,0.0130814,0.00186916,0,0.00686106,0.0192308,0.0989011,0.0619946,0.00454545,0.0165746,0.041089,0.0333333,0.0403226,0.0123004,0.00952381,0.0049505,0,0.0231788,0.0126791,0.004884,0,0.197227,0,0,0.00840336,0.150323,0.0488959,3291438236
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53268,2392,5936,5648,12175,11601,8080,6214,6379,4856,2582,1101,280,435,4,29,28,19,69,93,75,73,53,29,21,3,1896,18,132,167,84,342,365,300,310,253,153,71,18,0,0,0.0144033,0,0,0,0.0189873,0.0153846,0.00168067,0,0.00727273,0,0.00643777,0,0.00124378,0,0,0.00564972,0.00145068,0,0,0.00221239,0.00440529,0,0.00359712,0.0400943,0,0,0.0125,0.00248139,0,0,0.00490196,0,0.00431034,0.000661376,0.0071599,0.0022779,0.0340322,0.0103627,0.0042735,0,0,0.00172563,0.0127389,0.0318907,0.010929,0,0,0.00981626,0,0.0155039,0.00213561,0.00294365,0.00540541,0,0.00344828,0.00355917,0.00121951,0,0.0390977,0,0,0.00291333,0.0466408,0.00930233,0.0864198,0.00546448,0.00555556,0,0.0590717,0.153846,0.0201681,0.00588235,0.04,0.0141844,0.027897,0,0.00373134,0.00615385,0,0.0254237,0.00531915,0.00806452,0,0.0287611,0.0528634,0.0178571,0.0227818,0.146226,0.00403226,0,0.0625,0.00744417,0.00298507,0.0116279,0.0315904,0.017094,0.012931,0.0102513,0.0190931,0.00683371,0.132179,0.0431779,0.017094,0,0,0.0112166,0.0254777,0.116173,0.0601093,0.00696056,0.0111732,0.0435439,0.0396825,0.0542636,0.0149493,0.0109336,0.0108108,0,0.0206897,0.015762,0.00487805,0,0.201504,0,0,0.00801165,0.16824,0.0620155,3291438236
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52759,2337,5792,5536,11859,11243,8505,6000,6198,4862,2685,1084,323,527,5,36,27,25,63,126,86,81,71,47,24,4,2119,23,133,183,99,358,445,324,319,293,190,69,22,0,0,0.0206612,0,0,0,0.0192719,0,0.00338409,0,0.00677966,0,0.0109051,0,0.0012987,0,0,0.00571429,0.00194175,0,0,0.00218341,0.00896861,0,0.00616523,0.0461894,0,0,0.0121951,0.0025413,0.000588582,0,0.00762527,0,0.0084507,0.00131277,0.00820633,0.00229358,0.0413374,0.0128315,0.00426136,0,0,0.000881057,0.0245399,0.0245536,0.0139665,0,0,0.0124682,0,0.015748,0.00221545,0.00384123,0.00564972,0,0.00362319,0.00438257,0.00242131,0,0.0572755,0,0,0.00513196,0.0490524,0.0142405,0.088843,0.00534759,0.00570342,0.02,0.0578158,0.0980392,0.0135364,0.00588235,0.0508475,0.00704225,0.0338059,0,0.00779221,0.00480769,0.0047619,0.0371429,0.00825243,0,0,0.0262009,0.0672646,0.0181818,0.02836,0.159353,0.0125523,0,0.0731707,0.00381194,0.00294291,0.012987,0.0337691,0.00877193,0.0253521,0.0108303,0.0304807,0.0183486,0.148936,0.0487596,0.0170455,0,0,0.0061674,0.0429448,0.102679,0.0698324,0.00950119,0.0169492,0.051145,0.0175439,0.0629921,0.0174467,0.0162185,0.0112994,0.012987,0.0108696,0.019206,0.00605327,0.00236967,0.21517,0,0.0204082,0.0153959,0.182274,0.0617089,3291438236
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52307,2292,5629,5446,11590,10951,8834,5833,6009,4890,2773,1068,359,596,4,35,33,18,75,134,96,94,89,62,23,5,2377,29,132,207,102,413,496,368,347,337,210,84,20,0,0,0.0220441,0,0,0,0.0206612,0,0.00331126,0,0.00361011,0,0.0133038,0,0,0,0.00440529,0.00593472,0.00197824,0,0,0.00221239,0.0135747,0,0.0037594,0.0570071,0,0,0.0111732,0.00242718,0,0,0.00762943,0,0.0125174,0.000980713,0.0120773,0.00228833,0.0487654,0.0169794,0.00706215,0,0,0.000880282,0.0240964,0.030837,0.0144509,0,0,0.015452,0,0.047619,0.00168634,0.00428633,0.00574713,0,0,0.00464756,0.00121212,0,0.0624025,0,0,0.0052161,0.056314,0.0144231,0.0901804,0.0052356,0.00792079,0.0243902,0.0805785,0.0555556,0.00993377,0.00617284,0.0577617,0.0143885,0.04102,0,0.00681199,0.0111288,0.00881057,0.0474777,0.0108803,0,0,0.0243363,0.0723982,0.0208333,0.0288221,0.163895,0.017094,0,0.150838,0.00485437,0.00304136,0.0144928,0.0392371,0.00917431,0.0333797,0.01373,0.0386473,0.01373,0.156481,0.0616622,0.0183616,0.00425532,0,0.0123239,0.0361446,0.101322,0.0895954,0.00947867,0.0177515,0.0638681,0.00769231,0.0873016,0.0177066,0.0214316,0.0172414,0.012987,0.0138889,0.022205,0.00969697,0.00488998,0.223089,0,0.0204082,0.0193741,0.204778,0.0721154,3291438236
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51855,2232,5479,5326,11376,10673,9092,5649,5852,4893,2848,1100,372,677,5,34,44,20,86,168,93,105,97,73,24,11,2647,45,148,225,129,459,597,376,385,356,233,79,33,0,0,0.0247934,0,0,0,0.0215264,0,0.00324149,0,0.0033557,0.00653595,0.0133929,0,0,0.00158228,0.0042735,0.00294118,0.00307535,0,0,0.00219298,0.0191388,0,0.0037594,0.0896226,0,0,0.0217391,0.00129366,0,0,0.00828272,0.00925926,0.0176991,0.0020087,0.0156627,0,0.0556246,0.0147465,0.00839161,0,0,0.00170503,0.0232558,0.033264,0.0116618,0,0,0.0142598,0,0.0564516,0.00225352,0.0051458,0.0114286,0,0,0.00498361,0.00126103,0.002331,0.0638978,0,0,0.00610221,0.0702456,0.0144462,0.0950413,0.00574713,0.0106157,0.025,0.0821918,0.0238095,0.0113452,0.00694444,0.0469799,0.0261438,0.0502232,0,0.00545703,0.0142405,0.0042735,0.0441176,0.0153767,0,0.00460829,0.0153509,0.0717703,0.0204082,0.0288221,0.186321,0.0170213,0,0.125,0.00388098,0.00245098,0,0.0485919,0.00925926,0.0324484,0.017074,0.0481928,0.0140187,0.174021,0.0728111,0.0293706,0.00649351,0,0.0119352,0.0348837,0.110187,0.0816327,0.013986,0.0116279,0.0700026,0,0.120968,0.0202817,0.0295883,0.0228571,0.0128205,0.0140351,0.0263607,0.0100883,0.011655,0.257188,0,0.0185185,0.0266972,0.220445,0.0786517,3291438236
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51327,2223,5365,5241,11061,10465,9275,5513,5693,4890,2911,1127,392,810,13,42,59,33,112,190,105,124,117,88,29,12,2941,56,167,250,149,512,671,391,438,401,257,85,37,0,0,0.0225873,0,0,0,0.0319361,0,0.00325203,0,0.00621118,0.00666667,0.0179171,0,0,0.00161551,0.00434783,0,0.00358974,0,0,0,0.0232558,0,0.00127389,0.106132,0,0,0.0163043,0.00131579,0,0,0.00961538,0.01,0.0172414,0.00375171,0.0192308,0.00239234,0.0677389,0.0186047,0.0101892,0,0.0666667,0.00261324,0.0348837,0.033264,0.0123839,0.00234742,0,0.0149639,0,0.059322,0.00316547,0.00566696,0.0111111,0,0,0.0060678,0.00255428,0.00480769,0.079661,0,0,0.007109,0.0892343,0.0194346,0.0944559,0.017341,0.0104384,0.0377358,0.0798403,0.0204082,0.0146341,0.00740741,0.0496894,0.02,0.0649496,0,0.00405954,0.0145396,0.00434783,0.0422961,0.0174359,0.00819672,0.00460829,0.0171674,0.0697674,0.02,0.0203822,0.193396,0,0,0.130435,0.00921053,0.00125313,0.027027,0.0531674,0.01,0.0387931,0.0208049,0.0576923,0.0119617,0.204763,0.0772093,0.0393013,0.00656455,0.0666667,0.0139373,0.0406977,0.112266,0.102167,0.0164319,0.00558659,0.0771414,0.00694444,0.177966,0.0218705,0.0292066,0.0388889,0.0126582,0.014652,0.03179,0.0127714,0.0144231,0.283051,0,0.0204082,0.0323855,0.239493,0.0865724,3291438236
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.730437,0.000882994,0.000132688,S,0,26,50734,2257,5246,5154,10772,10256,9412,5401,5484,4885,2955,1177,392,960,14,46,65,35,138,226,116,138,143,108,40,16,3235,65,185,259,171,543,773,405,467,431,307,94,44,37058,0,0.0234043,0,0,0,0.0383065,0,0.00333333,0,0.0058309,0.00649351,0.0209546,0,0.00138889,0.00168919,0.00458716,0.00309598,0.00665984,0,0,0,0.0331754,0,0.00246914,0.133172,0,0,0.0124224,0,0.000627353,0,0.00917431,0.0106383,0.020438,0.00699301,0.0253012,0.00235849,0.0805952,0.0176252,0.015015,0.00224719,0.0666667,0.00265487,0.0340909,0.0375,0.00943396,0.00238663,0,0.0193748,0,0.0990991,0.00288268,0.00615114,0.0110497,0,0.00377358,0.0072925,0.00402685,0.00779221,0.0981818,0,0,0.00894309,0.10693,0.0181159,0.093617,0.0170455,0.0105708,0.0185185,0.0826613,0.0192308,0.0183333,0.0148148,0.0379009,0.0194805,0.0756694,0,0.00694444,0.0202703,0.00458716,0.0433437,0.0230533,0.00826446,0.00456621,0.0161943,0.109005,0,0.0197531,0.215496,0,0,0.118012,0.00651042,0.00501882,0.030303,0.0579128,0.0531915,0.0452555,0.0258741,0.0674699,0.0165094,0.229076,0.0769944,0.0510511,0.00898876,0.0666667,0.0185841,0.0454545,0.110417,0.091195,0.0167064,0,0.081116,0.00746269,0.225225,0.0230614,0.0307557,0.038674,0.0123457,0.0226415,0.037921,0.0134228,0.0207792,0.307273,0.0789474,0,0.0398374,0.275986,0.0960145,3291438236
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.730837,0.000882994,0.000132688,S,0,26,50215,2118,5195,5026,10516,10066,9472,5370,5292,4885,3003,1216,395,277,2,10,16,7,35,69,46,47,34,23,11,5,2068,26,129,152,104,334,505,281,282,275,193,63,31,36699,0,0.00890869,0,0,0,0.0116054,0,0.0017331,0,0,0.00653595,0.00958084,0,0,0.00166389,0,0,0.00154719,0,0,0,0.00478469,0,0,0.0407125,0,0,0.00617284,0,0,0,0.00289687,0,0.00291971,0.00319829,0.0049505,0.00239808,0.0199037,0.00825688,0.00470219,0,0,0.00183318,0.0111732,0.0144928,0.00326797,0.00231481,0,0.00311042,0,0.0267857,0.001188,0.0026178,0,0,0,0.00242522,0.00132979,0.00265252,0.0322581,0.0238095,0,0.00329761,0.0327471,0.00884956,0.0467706,0,0.0103734,0.016129,0.0618956,0.0196078,0.017331,0.00729927,0.0145773,0.0196078,0.0622754,0,0.00559441,0.00831947,0.00934579,0.0190476,0.0139247,0.00862069,0.00421941,0.00988142,0.0478469,0,0.00725514,0.175573,0,0,0.0617284,0.00919842,0.00628931,0,0.0365006,0.0566038,0.0321168,0.0227434,0.0606436,0.0191847,0.136758,0.0486239,0.0376176,0.00221239,0,0.0174152,0.027933,0.068323,0.0490196,0.0115741,0,0.0497667,0.00775194,0.169643,0.012771,0.0191972,0.0113636,0.0142857,0.0144928,0.0249259,0.00531915,0.0132626,0.21147,0.119048,0,0.0313273,0.170406,0.0690265,3291438236
