SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,235,6,15,20,19,37,55,36,40,25,12,11,0,1533,45,95,114,109,227,338,251,253,199,92,64,0,0,0,0.00202429,0.0164835,0.0152672,0,0.00808081,0,0,0,0.004,0,0.00326087,0,0,0.0211382,0.0133929,0.00835655,0.00433317,0,0.00537634,0,0,0,0.00989011,0.0115473,0.00809717,0,0.0133333,0.00481348,0.00345423,0,0.00210748,0,0,0.0134585,0.00336323,0,0.00669216,0.000846024,0.00716332,0.0218182,0,0.0017762,0,0.00235294,0.00501253,0,0.0070922,0.0045512,0,0,0.0027827,0.00122449,0.00518135,0,0.00334448,0.000377596,0.00356718,0.00740741,0.0204678,0,0,0.00207326,0,0.0046875,0.0283401,0.0384615,0.0534351,0,0.0242424,0.0185185,0.0108359,0.037037,0.016,0.00588235,0.0195652,0,0.00233918,0.146341,0.0892857,0.0779944,0.0447761,0,0.016129,0.00458716,0,0,0.0604396,0.0577367,0.048583,0,0.04,0.0132371,0.0247553,0.00925926,0.0105374,0,0.00276625,0.0732394,0.0369955,0,0.0513066,0.00761421,0.0687679,0.0890909,0,0.0053286,0.00609756,0.0352941,0.0776942,0.00225225,0.0992908,0.0295828,0.0466667,0.0169492,0.0141665,0.00653061,0.0259067,0,0.0167224,0.00339836,0.0273484,0.054321,0.0950292,0,0.113208,0.0269523,0.00153139,0.0421875,1304934063
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,54041,2536,6158,6112,12702,12188,7338,6697,6692,4686,2431,1197,110,327,7,27,18,19,50,77,51,63,32,22,12,1,1536,35,117,108,91,228,338,227,288,195,102,61,6,0,0,0.00588235,0.0213904,0.0189753,0,0.00816327,0,0.00308642,0,0.00381679,0,0.00221239,0,0.00122399,0.022187,0.0176991,0.0140449,0.00681265,0,0.00518135,0,0,0,0.010274,0.0136054,0.00809717,0,0.0186335,0.00481348,0.00577034,0,0.00313643,0,0,0.0187183,0.00341297,0,0.00926814,0.00175593,0.0176991,0.0205224,0,0.0017316,0,0.00232558,0.0102564,0,0.0218978,0.00734177,0,0,0.00330285,0.00125313,0.0049505,0,0.00325733,0.000503145,0.00496894,0.0146699,0.0293255,0,0,0.00623701,0,0.009375,0.0294118,0.0427807,0.0683112,0,0.0204082,0.0181818,0.0108025,0.0359281,0.019084,0.00574713,0.0176991,0,0.00244798,0.134707,0.0884956,0.0730337,0.0423358,0,0.0207254,0.00236967,0,0,0.0570776,0.0634921,0.0404858,0,0.0434783,0.0168472,0.0242354,0.00909091,0.0109775,0,0.00420757,0.0761421,0.0352673,0,0.0504954,0.0114135,0.0722714,0.0802239,0,0.00606061,0.00632911,0.0348837,0.0769231,0.00458716,0.10219,0.0301266,0.0359712,0.00840336,0.0137195,0.00668338,0.0247525,0,0.0162866,0.00389937,0.0298137,0.0513447,0.0982405,0,0.0806452,0.02772,0.00210748,0.046875,1304934063
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53715,2462,6032,5902,12481,11937,7709,6378,6579,4779,2488,1162,202,353,3,25,24,11,52,89,48,72,40,23,16,2,1658,25,111,126,78,256,351,244,311,222,113,70,13,0,0,0.0118343,0.027027,0.0229008,0,0.00796813,0,0.00613497,0,0.00350877,0,0.003386,0,0,0.0221465,0.0275229,0.0140449,0.00737826,0,0.0047619,0,0,0,0.0104408,0.00950119,0.00796813,0,0.0189873,0.00358423,0.00747556,0,0.00367261,0,0.00282885,0.0209138,0.00235571,0,0.00960307,0.000853971,0.0188679,0.0219378,0,0.000877193,0,0.00234192,0.0106383,0,0.015748,0.00638081,0,0,0.00361011,0.00207125,0,0,0.00319489,0.000504859,0.00618047,0.0175,0.0405405,0,0,0.00704722,0,0.00953895,0.0335306,0.0756757,0.0877863,0,0.0199203,0.0178571,0.0122699,0.0340909,0.0175439,0.00568182,0.0180587,0,0.00125786,0.124361,0.119266,0.0842697,0.0462371,0.019802,0.0190476,0.004662,0,0,0.0591647,0.0617577,0.0398406,0,0.0822785,0.0215054,0.0322024,0.00952381,0.0120672,0,0.00707214,0.0817246,0.0294464,0,0.0566581,0.00939368,0.0783745,0.0767824,0,0.00964912,0.00625,0.0351288,0.0664894,0.0023753,0.0708661,0.0270546,0.0217391,0.00787402,0.0172769,0.0091135,0.0245098,0,0.0191693,0.00605831,0.0321384,0.06,0.118619,0,0.0793651,0.0324172,0.00325027,0.0476948,1304934063
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,53162,2377,5955,5661,12084,11596,8151,6136,6424,4833,2548,1117,273,383,2,30,30,11,61,92,56,76,49,25,11,2,1795,11,123,155,75,301,365,278,318,254,121,65,18,0,0,0.015873,0.0337079,0.0299401,0,0.00976562,0,0.00614439,0,0,0,0.00460829,0,0,0.0189983,0.0334928,0.0123077,0.00819277,0,0.00980392,0,0,0,0.00705882,0.00724638,0.00790514,0,0.0193548,0.0035461,0.00987798,0,0.0042508,0,0.00294118,0.0226978,0.00353774,0,0.0119422,0.00259067,0.0191176,0.013308,0,0.00258176,0,0.00242131,0.010989,0,0.0155039,0.00696056,0,0,0.0031679,0.00252313,0,0,0.00666667,0.00114723,0.00608273,0.0218978,0.0373832,0,0,0.0086145,0.000551572,0.00825083,0.0436508,0.101124,0.11976,0,0.0332031,0.0175439,0.0138249,0.0177515,0.0171821,0,0.0184332,0.0555556,0.00260417,0.100173,0.167464,0.0861538,0.046747,0.0192308,0.0294118,0,0,0,0.0635294,0.0531401,0.0434783,0,0.0903226,0.0236407,0.040093,0.010101,0.0132837,0,0.00882353,0.0904669,0.0306604,0,0.0549969,0.00863558,0.0955882,0.0722433,0,0.0129088,0.00653595,0.0290557,0.0659341,0.00242718,0.0775194,0.0314514,0.0140845,0.00813008,0.0192714,0.010513,0.0149254,0.0123457,0.02,0.00726577,0.0389294,0.0754258,0.138629,0,0.0655738,0.0358938,0.00441258,0.0544554,1304934063
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52643,2309,5796,5565,11732,11333,8473,5944,6207,4874,2661,1096,323,432,2,27,41,10,75,86,65,87,62,31,13,3,1957,18,118,187,73,351,392,294,337,273,141,75,21,0,0,0.0212355,0.0427807,0.0303644,0,0.00994036,0,0.00624025,0,0,0,0.00225989,0,0,0.0119454,0.0418605,0.0122324,0.0112305,0,0.00961538,0,0,0,0.0117647,0.00724638,0.0120968,0,0.012987,0.0105758,0.00995316,0,0.00440286,0,0.00291545,0.0267769,0.00356718,0,0.0132785,0.00264085,0.0173228,0.0117188,0,0.0044405,0,0.00243902,0.00544959,0,0.0148148,0.00772201,0,0,0.00371747,0.00345423,0,0,0.00628931,0.00192308,0.00627353,0.0244499,0.0457413,0,0,0.0107775,0,0.00833333,0.0540541,0.122995,0.1417,0,0.0377734,0.0140845,0.0202808,0.0178571,0.0161812,0,0.020339,0.0555556,0.00262812,0.0870307,0.2,0.100917,0.0561523,0.0206186,0.0240385,0,0,0,0.0658824,0.057971,0.0564516,0,0.103896,0.0258519,0.04274,0.01,0.0176114,0,0.0102041,0.10281,0.0249703,0,0.0550111,0.0096831,0.0929134,0.0742188,0,0.0150977,0.00621118,0.0292683,0.0599455,0.002457,0.0666667,0.0339768,0.015873,0.00729927,0.019915,0.00993092,0.00534759,0.0126582,0.0220126,0.00935897,0.0476788,0.0953545,0.165615,0,0.0491803,0.0484988,0.00453001,0.055,1304934063
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,52138,2264,5655,5429,11425,10975,8750,5805,6039,4936,2773,1079,356,494,1,26,49,13,95,96,70,83,82,34,17,4,2183,23,117,205,90,390,458,332,340,308,153,83,29,0,0,0.0238569,0.0505618,0.0349794,0,0.012,0,0.00482315,0,0,0.00598802,0.00226501,0,0,0.012069,0.040201,0.0125,0.0113189,0,0.00952381,0.00223714,0.00401606,0,0.0115741,0.00702576,0.0160643,0,0.0191083,0.0163361,0.0136986,0,0.00442968,0,0.00295858,0.0305292,0.00615764,0,0.0149634,0.00358744,0.021978,0.0182927,0,0.00622776,0,0.00699301,0.0028169,0,0.030303,0.00935065,0,0,0.00246305,0.00473934,0,0,0.0031746,0.00205497,0.0089172,0.0223325,0.0574534,0,0,0.010929,0,0.0117057,0.0775348,0.140449,0.158436,0,0.042,0.0135135,0.0257235,0.0128205,0.018018,0.00598802,0.0260476,0.0909091,0.0026738,0.0844828,0.21608,0.10625,0.0620079,0.0212766,0.0333333,0.00223714,0.00401606,0,0.0648148,0.0562061,0.0562249,0,0.10828,0.0303384,0.0595593,0,0.0221484,0,0.0118343,0.117028,0.0270936,0,0.0652658,0.0125561,0.0989011,0.097561,0,0.0169039,0.00581395,0.02331,0.0422535,0.00251256,0.0681818,0.0366234,0.0151515,0.00819672,0.0202518,0.0107712,0,0.0121951,0.0222222,0.0114308,0.0496815,0.101737,0.198758,0.0181818,0.030303,0.0523029,0.00681818,0.0635452,1304934063
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,51565,2227,5517,5337,11139,10732,9006,5602,5831,4971,2837,1075,372,552,4,23,49,16,101,119,79,80,88,47,17,5,2407,37,143,214,115,428,518,357,343,345,177,95,29,0,0,0.0256959,0.0650888,0.0327511,0,0.0220884,0,0.00317965,0,0,0.00578035,0.00115207,0,0,0.0051458,0.0490196,0.00328947,0.0119403,0,0.0144928,0.00225225,0,0,0.0114811,0.00702576,0.016129,0,0.0322581,0.0190024,0.0120192,0,0.00505902,0,0.00146413,0.034589,0.00372208,0,0.017927,0.00449236,0.0218069,0.0179283,0,0.0060241,0,0.0134831,0,0,0.0406504,0.0110996,0.00735294,0,0.0025663,0.00784314,0,0,0.00323625,0.00282015,0.00919842,0.045,0.075969,0,0,0.00749376,0.000579039,0.01,0.0899358,0.153846,0.18559,0,0.0461847,0,0.0254372,0.00621118,0.0151515,0.00578035,0.0230415,0.047619,0.00138696,0.0634648,0.259804,0.0888158,0.0686567,0.0106383,0.0386473,0.00675676,0.00877193,0,0.0700344,0.058548,0.0725806,0,0.109677,0.0356295,0.0733173,0,0.029792,0,0.011713,0.125685,0.0334988,0,0.0697523,0.0179695,0.102804,0.0956175,0,0.0154905,0.0117647,0.0292135,0.0404624,0.00479616,0.0894309,0.0407847,0.00735294,0.00934579,0.0233818,0.0165577,0,0.0117647,0.0291262,0.0158954,0.064389,0.125,0.24031,0,0.0277778,0.0449625,0.00694847,0.075,1304934063
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0,0.000882994,0.000132688,S,0,26,50989,2207,5397,5258,10769,10531,9169,5443,5656,5039,2882,1116,384,672,9,29,53,25,113,158,95,100,97,52,28,4,2614,46,158,233,138,463,580,360,368,377,195,98,35,0,0,0.0351648,0.0591398,0.0363248,0,0.022869,0,0.00310559,0,0,0,0,0,0,0.00715564,0.0845771,0.0031746,0.0150376,0,0.0138889,0.00232019,0,0,0.0105263,0.0146341,0.0284553,0.025,0.0258065,0.0219245,0.0181378,0,0.00638792,0,0.00147493,0.0425757,0.00391645,0,0.0220421,0.00633484,0.0256,0.0186722,0,0.00772532,0,0.01766,0,0,0.0296296,0.014413,0.00719424,0,0.00370687,0.00832238,0,0,0.00990099,0.00414239,0.013089,0.0510949,0.0885668,0,0,0.0085034,0.0011655,0.010582,0.0945055,0.177419,0.183761,0,0.0727651,0,0.0326087,0.00636943,0.0154321,0.0172414,0.0166074,0.0952381,0,0.059034,0.313433,0.0730159,0.0681704,0.0204082,0.0416667,0.00464037,0.00934579,0,0.0701754,0.0609756,0.105691,0.05,0.103226,0.0414129,0.0779927,0,0.0336818,0,0.0132743,0.136172,0.0365535,0.00248139,0.0752026,0.0271493,0.1168,0.0995851,0,0.0257511,0.0166667,0.0309051,0.0344828,0.00731707,0.111111,0.0448113,0.0143885,0,0.0239521,0.0192729,0.0106383,0.0116279,0.029703,0.018123,0.0706806,0.16545,0.283414,0,0,0.0518707,0.0110723,0.0634921,1304934063
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.730772,0.000882994,0.000132688,S,0,26,50396,2255,5265,5223,10422,10342,9291,5340,5463,5048,2939,1158,393,798,11,36,57,31,119,185,107,118,132,68,32,6,2894,52,183,243,150,492,688,394,401,400,226,102,41,36828,0,0.043578,0.0691489,0.0451613,0,0.0234043,0,0,0,0,0,0,0,0,0.0093985,0.0909091,0.0031746,0.0160455,0,0.0134529,0.00923788,0,0,0.010989,0.0101266,0.0315315,0,0.0326797,0.0233129,0.0216049,0,0.00867052,0,0,0.0491685,0.00395778,0,0.0267742,0.00926784,0.0339257,0.0163934,0,0.0142977,0.00534759,0.0242826,0,0,0.0300752,0.01837,0.0150376,0,0.00542857,0.00976043,0,0,0.0102389,0.00523149,0.0165746,0.063981,0.0950081,0,0,0.0163793,0.00178678,0.014733,0.0963303,0.223404,0.193548,0,0.0723404,0.0133333,0.0357724,0.00641026,0.0124224,0.0176471,0.0169903,0.0952381,0.00139082,0.0488722,0.315508,0.0634921,0.070911,0.0111111,0.0672646,0.0184758,0.00934579,0,0.0793651,0.0658228,0.108108,0.0810811,0.0784314,0.0441718,0.0888889,0,0.0393064,0,0.0146413,0.146782,0.0474934,0.0102828,0.0870968,0.0352178,0.116317,0.10041,0,0.0412111,0.0213904,0.0441501,0.029316,0.00740741,0.12782,0.0517464,0.0300752,0,0.0251429,0.0248447,0.010989,0.025974,0.0443686,0.0236725,0.0662983,0.21327,0.304348,0,0,0.0586207,0.0154854,0.0699816,1304934063
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,C,2023,5,1,20,0.73,0.73,Y,0.727504,0.000882994,0.000132688,S,0,26,49832,2096,5172,5087,10114,10150,9341,5393,5286,4948,3012,1198,390,210,4,12,19,11,41,42,23,27,24,24,16,2,1829,31,117,160,102,320,433,278,225,232,146,71,22,36253,0,0.0070922,0.026178,0.0118483,0,0.00414079,0,0,0,0,0,0,0,0,0.00185185,0.0104712,0.00320513,0.00422386,0,0,0.00226757,0,0,0.00125471,0.0025974,0.0044843,0,0.0134228,0.00369914,0.00681959,0,0.000578704,0,0,0.0147384,0.0013624,0,0.00720367,0.00282752,0.00487013,0.00647948,0,0.000867303,0,0.00668151,0,0,0.0140845,0.00553651,0.0147059,0,0.00175336,0.00268938,0,0,0,0.00170537,0.00430416,0.028103,0.0258481,0,0,0.0034632,0,0.00183486,0.0591017,0.136126,0.118483,0,0.0455487,0.0133333,0.0167785,0.00606061,0,0,0.00484848,0.0909091,0.00429185,0.0222222,0.146597,0.0416667,0.0395987,0,0.0277778,0.015873,0.00896861,0,0.0451694,0.0363636,0.0852018,0.105263,0.0805369,0.0295931,0.0632362,0,0.0271991,0,0.00742942,0.0969049,0.0299728,0.00539084,0.0576293,0.0216777,0.0714286,0.049676,0,0.0242845,0.00534759,0.0267261,0.0127389,0.00742574,0.0915493,0.0324282,0.0220588,0,0.0160725,0.0143433,0.00595238,0.0294118,0.0334448,0.0165289,0.0430416,0.180328,0.185784,0.0188679,0,0.0337662,0.0123675,0.0550459,1304934063
