SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,303,11,23,25,27,46,56,51,62,32,23,6,0,2012,67,184,172,174,350,381,380,355,195,120,57,0,0,0,0,0,0,0,0.0040404,0,0,0.00617284,0.016,0,0.00108696,0,0.00935673,0.0178862,0,0.00278552,0.0149254,0,0,0,0.00381679,0,0.0010989,0.00461894,0.00809717,0,0,0.0120337,0.00748417,0,0.00052687,0,0.00138313,0,0.00672646,0.00669643,0.00956023,0.00423012,0.00143266,0.00363636,0,0.0115453,0.0304878,0,0.00250627,0.0315315,0,0.00353982,0.00666667,0,0.0027827,0.00489796,0.00518135,0,0.00334448,0.00314663,0.00832342,0.00987654,0.00292398,0,0,0.0117484,0.0102093,0.028125,0.00809717,0,0,0.0392157,0.010101,0,0.00154799,0.0308642,0.108,0.00588235,0.00326087,0.111111,0.0409357,0.105691,0.00446429,0.0362117,0.101589,0,0.016129,0.0504587,0.0114504,0.0681818,0.0021978,0.0277136,0.0526316,0,0,0.109507,0.0379965,0,0.00474183,0,0.00138313,0.000312989,0.0280269,0.0200893,0.0525813,0.0338409,0.0100287,0.00909091,0,0.0648313,0.0853659,0.00470588,0.0125313,0.146396,0,0.0199747,0.02,0,0.0174551,0.0269388,0.0207254,0,0.0869565,0.0357458,0.0499405,0.0320988,0.0175439,0.0416667,0,0.0787837,0.0842266,0.190625,3385241087
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54093,2519,6141,6107,12695,12147,7328,6665,6768,4720,2448,1214,108,406,17,31,31,34,58,76,63,84,51,26,13,1,1954,78,171,164,149,334,367,354,365,204,118,58,5,0,0,0,0,0,0,0.0040404,0,0,0.00588235,0.0144928,0.00531915,0.00109769,0,0.00933489,0.0271565,0,0.00277008,0.0194363,0,0.00540541,0.00226757,0.00387597,0,0.00111607,0.0117096,0.00787402,0,0,0.0207824,0.0097254,0,0.000525486,0,0,0,0.00447928,0.00691244,0.0114979,0.00343053,0.00143678,0.00552486,0,0.0139616,0.0316456,0,0.002457,0.0352697,0.00641026,0.00553598,0.00657895,0,0.00330705,0.0070306,0.00505051,0,0.0133333,0.0060629,0.00871731,0.00722892,0.00461538,0,0,0.0154603,0.0167452,0.0324575,0.00809717,0.00606061,0.00200803,0.0192308,0.00808081,0,0.00152672,0.0294118,0.0869565,0.0106383,0.00329308,0.111111,0.033839,0.105431,0,0.0304709,0.101069,0.00854701,0.0216216,0.0408163,0.0116279,0.0652174,0.00334821,0.0374707,0.0472441,0,0,0.107579,0.0377574,0,0.00472937,0,0.00720461,0.00127389,0.0291153,0.0207373,0.0526988,0.0283019,0.0114943,0.0128913,0,0.061082,0.0886076,0.00738916,0.00982801,0.130705,0.0192308,0.0198792,0.0197368,0,0.0167896,0.0252275,0.020202,0,0.0933333,0.0342301,0.0373599,0.0361446,0.02,0.04,0,0.0765987,0.0826792,0.179289,3385241087
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53745,2456,6034,5868,12440,11919,7643,6399,6622,4824,2539,1151,208,435,10,34,35,27,69,81,62,84,66,30,13,3,2102,43,171,214,128,398,381,345,370,255,151,59,15,0,0,0.002079,0,0,0,0.00608519,0,0,0.00571429,0.0298507,0.00617284,0.00109409,0,0.0107143,0.0285261,0,0.00289017,0.020297,0,0,0.00236967,0.00398406,0,0.00114286,0.00697674,0.00803213,0,0,0.0236613,0.011534,0,0.00157812,0,0.00141844,0.000320821,0.00334821,0.00236407,0.0135484,0.00672269,0.00145985,0.00368324,0,0.0175747,0.00613497,0,0.00263158,0.0382166,0.00609756,0.00649189,0,0,0.00309837,0.00653595,0,0,0.0129032,0.00735387,0.0101138,0.00945626,0.00473934,0,0,0.0157933,0.0153196,0.0291859,0.016632,0.0060241,0.00401606,0.037037,0.0182556,0,0.00468019,0.0342857,0.104478,0.0185185,0.00437637,0.111111,0.0392857,0.110935,0,0.0317919,0.102475,0.00826446,0.0220994,0.035545,0.0159363,0.0652174,0.00571429,0.044186,0.0562249,0,0.00704225,0.103362,0.0449827,0,0.00999474,0,0.00992908,0.00288739,0.03125,0.0283688,0.0558065,0.0319328,0.0116788,0.0202578,0,0.0641476,0.0797546,0.00997506,0.0105263,0.135881,0.0182927,0.0242197,0,0,0.0185902,0.0306373,0.0191388,0.0126582,0.0709677,0.0384176,0.045512,0.0472813,0.0268562,0.0212766,0,0.0818378,0.0829371,0.155146,3385241087
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53286,2389,5930,5666,12135,11612,7988,6226,6405,4926,2613,1116,265,486,5,41,36,26,75,99,66,89,80,34,13,4,2285,26,188,226,129,433,413,366,382,298,186,64,14,0,0,0.00210526,0,0.00208768,0,0.0083682,0,0,0.00581395,0.0343511,0.00632911,0,0,0.0120919,0.0337621,0,0.00299401,0.0228288,0,0,0.00239234,0.00403226,0,0.00234742,0.00947867,0.0121951,0,0,0.0222222,0.0126965,0,0.00106101,0,0.00142045,0.000658545,0.00233645,0.00242131,0.0142073,0.0092437,0.0014771,0.00572519,0,0.0176523,0.00617284,0,0.00273973,0.0400891,0.00621118,0.00748877,0.00645161,0,0.00388903,0.00850202,0.00515464,0,0.012945,0.00797065,0.0102041,0.0145631,0.00821018,0,0,0.017192,0.0167015,0.0358814,0.0252632,0.00609756,0.00417537,0.0175439,0.0230126,0,0.00481541,0.0348837,0.122137,0.0253165,0.00220022,0.111111,0.0495768,0.122186,0.00487805,0.0239521,0.103226,0.008,0.0108696,0.0334928,0.0201613,0.0243902,0.00938967,0.0450237,0.0609756,0,0.0131579,0.102469,0.0592503,0,0.0122016,0,0.00994318,0.00493908,0.0245327,0.0363196,0.0607039,0.0361345,0.0132939,0.028626,0,0.0697264,0.0679012,0.0125628,0.0164384,0.138085,0.0248447,0.0299551,0.00645161,0.00877193,0.0199637,0.037247,0.0206186,0.0123457,0.0744337,0.0412449,0.0561224,0.0485437,0.0311987,0,0,0.0859599,0.0814196,0.187207,3385241087
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52746,2338,5787,5562,11809,11267,8382,6066,6150,4951,2692,1108,321,546,5,48,41,25,100,101,74,99,84,38,21,4,2555,38,168,253,130,485,486,393,404,350,201,88,18,0,0,0.00421941,0.0116279,0,0,0.00814664,0,0,0.0123457,0.0446097,0.00625,0,0,0.0101911,0.033871,0,0,0.0219342,0.0149254,0.00497512,0.00230947,0.00869565,0,0.00119332,0.0143541,0.0168776,0,0,0.0261593,0.0134887,0,0.00112549,0,0.00287356,0.00100604,0.00116414,0.00244499,0.0166881,0.010327,0.00144092,0.00764818,0,0.015887,0.0119048,0.002457,0.0026455,0.0313199,0.0118343,0.0092639,0.0126582,0,0.0042183,0.0093534,0.00518135,0,0.0126984,0.00971122,0.0146471,0.00913242,0.01,0,0,0.0255639,0.0182013,0.0393082,0.0274262,0.0232558,0.00213675,0.0181818,0.0386965,0,0.00487013,0.0493827,0.144981,0.025,0.00234467,0.05,0.0598726,0.130645,0.005,0.0261628,0.109671,0.0373134,0.0149254,0.0254042,0.0173913,0.0384615,0.0143198,0.0526316,0.0632911,0,0.0118343,0.107015,0.0643777,0,0.0146314,0,0.0100575,0.0100604,0.0209546,0.0244499,0.0693196,0.0395869,0.0100865,0.040153,0,0.0723742,0.077381,0.019656,0.015873,0.143177,0.0295858,0.0378067,0.0126582,0.00909091,0.0250461,0.045547,0.0259067,0.0119048,0.0793651,0.0462561,0.0612517,0.0502283,0.0366667,0,0,0.103759,0.0835118,0.212264,3385241087
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52134,2301,5662,5484,11428,11009,8688,5840,5963,5000,2745,1108,353,617,7,40,53,19,113,119,83,117,94,47,23,2,2850,45,170,271,134,513,579,420,464,385,238,94,23,0,0,0.00431965,0.0111732,0,0,0.0146444,0,0,0.0130719,0.047619,0.0121951,0,0,0.0117801,0.037415,0,0.00298507,0.0245023,0.0353982,0.0143541,0.00236967,0.00444444,0,0.00120919,0.0239808,0.0204918,0.015873,0,0.0341981,0.0150094,0,0.00114025,0,0.00425532,0.000687049,0.00240964,0.00512821,0.0191043,0.0157756,0.0014881,0.00934579,0,0.0154905,0.011976,0.00245098,0.00546448,0.0318907,0.0125786,0.0100935,0.0181818,0,0.00545108,0.0119637,0.00520833,0,0.00958466,0.00995218,0.0146471,0.0112108,0.010582,0,0,0.027439,0.0186199,0.0464744,0.0367171,0.0167598,0.00213675,0.0185185,0.0439331,0,0.00337838,0.0522876,0.175824,0.0304878,0.00371287,0.0434783,0.0667539,0.151361,0.005,0.0268657,0.125064,0.0530973,0.0239234,0.0236967,0.0177778,0.0333333,0.0133011,0.0695444,0.0819672,0.015873,0.0113636,0.132075,0.0700438,0,0.0193843,0,0.0212766,0.0109928,0.0204819,0.025641,0.0782963,0.0473269,0.0104167,0.0448598,0,0.0817556,0.0718563,0.0147059,0.0273224,0.150342,0.0440252,0.0430822,0.030303,0.00862069,0.0283456,0.0528053,0.0208333,0,0.0638978,0.0500194,0.0705726,0.0538117,0.0458554,0,0,0.115091,0.0920044,0.235577,3385241087
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51614,2253,5509,5371,11118,10772,8949,5638,5812,5006,2818,1123,378,684,7,31,65,19,121,152,84,115,112,51,26,4,3085,46,171,298,155,549,670,416,502,410,253,100,30,0,0,0,0.0121212,0,0,0.0170213,0,0.00165837,0.00666667,0.0338346,0.0185185,0.00126743,0,0.0138122,0.0481728,0,0.00309598,0.0293512,0.0373832,0.0146341,0.00928074,0.0142857,0,0.00240674,0.0239808,0.018018,0.0694444,0,0.0426036,0.0207523,0,0.00280741,0,0.00416089,0.000693241,0.00369914,0.00505051,0.0194601,0.0159716,0.00151286,0.00764818,0,0.0188518,0.0186335,0.005,0.00277008,0.0251716,0.0128205,0.0114002,0.0184049,0,0.00699496,0.0138772,0.00487805,0,0.00958466,0.0108401,0.0175676,0.010917,0.0108303,0,0,0.0259939,0.0184971,0.0539216,0.0262009,0.030303,0.00217391,0.0175439,0.0595745,0,0.0066335,0.06,0.180451,0.0432099,0.00506971,0,0.0773481,0.164452,0.00497512,0.0247678,0.130278,0.0560748,0.0390244,0.0232019,0.0285714,0,0.0168472,0.0767386,0.0630631,0.0833333,0,0.152663,0.0713359,0,0.0218978,0,0.0263523,0.0135182,0.0234279,0.0429293,0.0897677,0.0496894,0.01059,0.0478011,0,0.0805484,0.0807453,0.0175,0.033241,0.15103,0.0576923,0.0490706,0.0552147,0.00854701,0.0352546,0.0567704,0.0146341,0,0.0798722,0.0540715,0.0783784,0.058952,0.0487365,0,0,0.130734,0.0930636,0.238562,3385241087
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51087,2239,5370,5296,10793,10556,9224,5413,5712,4950,2885,1160,394,832,9,32,76,32,129,206,106,124,126,67,32,10,3337,64,196,330,185,612,747,424,499,455,257,116,42,0,0,0,0.0121951,0,0,0.0206186,0,0,0.00657895,0.0524345,0.0246914,0.00377834,0,0.0128205,0.0623974,0,0.00311526,0.0376749,0,0.0245098,0.016092,0.0102564,0,0.00369914,0.0381862,0.0277778,0.0540541,0,0.0542823,0.0248528,0,0.00282167,0,0.00541272,0.00106914,0.00125156,0.0108696,0.0263158,0.0171635,0,0.0103093,0,0.0180567,0.0125786,0.00246914,0.00578035,0.0175439,0.0127389,0.0127852,0.0120482,0,0.00999144,0.0180824,0.00471698,0,0.00308642,0.0134159,0.0265363,0.0154867,0.0127505,0,0,0.0386698,0.0232019,0.0585198,0.0327511,0.054878,0.00422833,0.0185185,0.0680412,0,0.00511945,0.0657895,0.191011,0.0432099,0.011335,0,0.0840456,0.180624,0,0.0249221,0.145318,0.00934579,0.0784314,0.0229885,0.0307692,0,0.0184957,0.0811456,0.087963,0.0675676,0,0.178528,0.0810988,0,0.0231377,0.0384615,0.0338295,0.0149679,0.0237797,0.048913,0.0992391,0.0587173,0.0122137,0.0453608,0,0.0791058,0.0691824,0.017284,0.0289017,0.138158,0.0700637,0.0546503,0.0903614,0.00862069,0.0408222,0.0634987,0.0141509,0.010989,0.0679012,0.0571465,0.0865922,0.0619469,0.0564663,0,0.0344828,0.136118,0.104408,0.251291,3385241087
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0.729961,0.000882994,0.000132688,S,0,26,50589,2212,5247,5190,10527,10309,9396,5329,5503,4950,2970,1213,392,934,9,44,70,24,157,225,124,140,123,98,36,7,3608,57,236,321,192,674,829,473,508,463,305,114,50,36928,0,0.00220264,0.0123457,0,0,0.033195,0,0.0034662,0.00719424,0.0539568,0.0246914,0.00377834,0,0.0161765,0.0645161,0,0.00307692,0.039779,0,0.0146341,0.0184758,0,0,0.00494438,0.0432802,0.030303,0.0769231,0,0.0597561,0.0268998,0,0.00293772,0,0.00560224,0.000365898,0,0.0108108,0.0321273,0.0221811,0,0.012685,0,0.0175439,0.0177515,0.00242718,0.00849858,0.0173913,0.0185185,0.013826,0.0136054,0,0.0107402,0.0186047,0.00458716,0,0.0126582,0.0159161,0.0411932,0.0132743,0.00925926,0,0,0.0490119,0.0223793,0.0704467,0.0330396,0.0617284,0.00609756,0.0163934,0.0788382,0,0.0103986,0.0791367,0.183453,0.0617284,0.0151134,0,0.0926471,0.201613,0,0.0307692,0.163536,0.018018,0.0780488,0.0461894,0.0575916,0,0.0210136,0.095672,0.10101,0.123077,0,0.191463,0.0887693,0,0.0252644,0.0380952,0.0336134,0.0164654,0.0156047,0.0459459,0.108546,0.0683919,0.015748,0.0528541,0,0.0859649,0.0769231,0.0218447,0.0311615,0.128261,0.0740741,0.0588235,0.102041,0.017094,0.04209,0.0659619,0.0137615,0.0111111,0.0696203,0.065088,0.105114,0.0641593,0.0611111,0.0212766,0.0666667,0.143874,0.103651,0.257732,3385241087
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0.728886,0.000882994,0.000132688,S,0,26,50027,2075,5178,5040,10218,10098,9425,5302,5374,4922,3012,1284,392,281,1,10,21,8,38,71,36,46,40,31,9,2,2363,33,132,195,112,419,572,302,335,293,215,79,36,36464,0,0.00217391,0,0,0,0.00896861,0,0,0,0.0174825,0.00645161,0,0,0,0.0154799,0,0,0.016283,0,0.00436681,0.00471698,0,0,0,0.010917,0.0157895,0,0,0.0145278,0.0124567,0,0,0,0.00139276,0,0,0,0.00907384,0.00473934,0,0.00686499,0,0.0034632,0,0.00239808,0.00589971,0.004662,0.0186335,0.00453286,0,0,0.00235294,0.004329,0.00483092,0,0,0.00655106,0.0128755,0,0.00385356,0,0,0.0130612,0.00679012,0.0234114,0.0326087,0.0666667,0.00628931,0.0175439,0.0627803,0.016129,0.00687285,0.0661765,0.136364,0.0387097,0.0115533,0,0.0542522,0.108359,0,0.0215385,0.115104,0.0176991,0.0611354,0.0542453,0.0382775,0,0.00863132,0.0611354,0.0736842,0.078125,0,0.102906,0.0678201,0.0111111,0.0166154,0.038835,0.0222841,0.0121812,0.00686813,0.0277778,0.0707134,0.0445498,0.00755287,0.0503432,0,0.0554113,0.047619,0.0215827,0.0353982,0.0745921,0.0745342,0.0367666,0.0551724,0.00806452,0.0302941,0.0419913,0.00966184,0.010989,0.0394737,0.0411047,0.0729614,0.0464037,0.044316,0,0.0666667,0.0906122,0.0697531,0.153846,3385241087
