SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,263,11,25,20,28,38,51,45,64,19,13,5,0,1639,68,140,136,156,259,307,294,328,187,89,19,0,0,0,0,0,0,0,0.00606061,0,0,0,0,0,0.00108696,0,0,0.0195122,0.00446429,0,0.00962927,0,0,0.00688073,0.00763359,0,0.0010989,0.00461894,0.00809717,0,0,0,0.00115141,0,0.0200211,0,0,0.000938967,0.00784753,0.00446429,0.00223072,0.00169205,0.00143266,0.00363636,0,0.0017762,0,0,0.00250627,0,0.0212766,0.0245259,0,0,0.00303567,0.000408163,0.00518135,0,0.00334448,0.00113279,0.00118906,0,0.00292398,0,0,0.000691085,0.00765697,0.009375,0.00809717,0.021978,0.0209924,0,0.0181818,0.0185185,0,0,0.028,0,0.0152174,0,0.00350877,0.0910569,0.0401786,0,0.052961,0,0,0.0504587,0.0496183,0,0.00879121,0.0600462,0.0688259,0,0,0.00120337,0.00690846,0,0.13804,0.0353982,0.0138313,0.00312989,0.0571749,0.0357143,0.00764818,0.00846024,0.0143266,0.0236364,0.125,0.0142096,0,0.0141176,0.0075188,0.00225225,0.120567,0.147155,0.00666667,0,0.0154313,0.00938776,0.015544,0,0.0267559,0.00679673,0.0118906,0.00246914,0.00877193,0,0,0.00138217,0.0357325,0.0578125,4028322073
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54093,2515,6133,6091,12655,12158,7332,6764,6710,4731,2443,1190,110,360,11,33,28,25,60,68,62,78,41,19,7,0,1657,55,148,147,123,286,291,308,314,211,97,26,1,0,0,0,0,0,0,0.0043573,0,0.00154083,0,0,0,0.00315789,0,0,0.0240385,0.0046729,0,0.0116959,0,0,0.00692841,0.0114943,0,0.0010846,0.00224719,0.0130435,0,0,0,0.00113766,0,0.0247368,0.00917431,0.00137931,0.000948767,0.0126728,0.00702576,0.00318776,0.00343938,0.00422535,0.00902527,0.0909091,0.00256849,0,0,0.00242131,0,0.00699301,0.0362841,0,0,0.00304028,0.000841751,0.00483092,0,0.003367,0.00189227,0.00117096,0,0.003003,0,0,0.000715308,0.0108696,0.0151745,0.00811359,0.0164835,0.0192678,0,0.0196078,0.0172414,0.00154083,0,0.011583,0,0.0168421,0,0.00243309,0.0977564,0.0373832,0,0.0560429,0,0,0.0415704,0.0536398,0,0.00650759,0.0494382,0.0652174,0,0,0.00238095,0.00739477,0,0.130526,0.0550459,0.0110345,0.00411132,0.0552995,0.0351288,0.00956328,0.0094583,0.015493,0.0252708,0.181818,0.0162671,0,0.0145278,0.00726392,0.00222222,0.0839161,0.150798,0.00680272,0,0.0167216,0.0105219,0.0144928,0,0.023569,0.00794752,0.0117096,0.00240964,0.0105105,0,0,0.00286123,0.0372671,0.0637329,4028322073
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53826,2456,6018,5874,12512,11900,7689,6486,6607,4801,2504,1132,195,374,6,32,25,20,58,70,62,85,49,22,8,0,1761,29,146,156,101,311,313,324,324,236,118,31,3,0,0,0,0,0,0,0.00431034,0,0.00314465,0,0,0,0.0031746,0,0,0.0201863,0.00934579,0,0.0124069,0,0,0.00680272,0.0120968,0,0.00334821,0.00449438,0.0178571,0,0,0,0.00115207,0,0.0226554,0,0.001443,0.00193486,0.0136519,0.00699301,0.00323939,0.00424809,0.00420757,0.00902527,0.0909091,0.00247321,0,0,0,0,0,0.0399378,0,0,0.00310078,0.000825423,0,0,0.0034965,0.00189777,0.00121212,0,0.00293255,0,0,0.00071582,0.0110701,0.0132353,0.0106383,0.0157895,0.0152964,0,0.0237069,0.0357143,0.00628931,0.00591716,0.0103806,0,0.021164,0,0.0025413,0.0978261,0.0560748,0,0.0540943,0,0.00502513,0.0408163,0.0443548,0,0.0078125,0.0516854,0.0580357,0,0,0.00236686,0.00748848,0,0.126976,0.027027,0.010101,0.00709449,0.0602958,0.030303,0.0116618,0.0169924,0.0182328,0.0288809,0.363636,0.012366,0,0.0145278,0.00966184,0.00468384,0.0666667,0.158973,0.00666667,0,0.0180879,0.00660338,0.0148515,0.025,0.020979,0.0110071,0.0109091,0.00245098,0.0131965,0,0,0.00572656,0.0506062,0.0647059,4028322073
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53366,2374,5901,5660,12148,11579,8109,6223,6478,4900,2590,1068,271,400,3,22,32,15,58,79,59,90,52,35,11,1,1906,12,159,178,87,362,348,318,349,249,141,44,8,0,0,0,0,0,0,0.00433839,0.0169492,0.00167504,0,0,0,0.0021645,0,0,0.030303,0.00966184,0,0.0108588,0,0,0.00675676,0.0121457,0,0.00334448,0.00442478,0.0176991,0,0,0,0.000588582,0,0.0209534,0.00952381,0.00136986,0.00331016,0.0174622,0.00767263,0.00474533,0.00519931,0.00278552,0.011257,0.0833333,0.00239425,0,0,0,0.0023753,0,0.0416339,0,0,0.00365917,0.00124636,0,0,0,0.00266667,0.00123916,0,0.00147493,0,0,0.00219459,0.0107643,0.0141732,0.0146138,0.0166667,0.0136719,0,0.0260304,0.0508475,0.00670017,0.00595238,0.00694444,0,0.0205628,0,0.00522876,0.108453,0.0724638,0,0.0607108,0,0.00473934,0.0472973,0.0445344,0.0222222,0.0111483,0.0442478,0.0619469,0,0,0.00363636,0.00882872,0,0.122577,0.0380952,0.0123288,0.00993049,0.0628638,0.028133,0.0155014,0.0216638,0.0278552,0.0393996,0.416667,0.0135674,0,0.0126582,0.00959233,0.00475059,0.0612245,0.169154,0.00699301,0,0.0185572,0.00664728,0.0162162,0,0.0141343,0.0142222,0.0111524,0.00497512,0.0162242,0,0.0238095,0.00804682,0.0586652,0.0740157,4028322073
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52946,2324,5765,5515,11925,11232,8496,6019,6290,4952,2645,1063,324,444,7,24,34,12,68,96,59,80,64,51,10,4,2020,22,153,189,85,388,398,313,346,264,165,52,9,0,0,0,0,0,0,0.00842105,0.0178571,0.00174825,0,0,0,0.00460829,0,0,0.029734,0.00469484,0,0.0105634,0,0,0.00433839,0.0128205,0,0.00108342,0.00684932,0.020202,0,0,0,0.00060241,0,0.0247179,0.01,0.00286123,0.00364601,0.0232288,0.0102041,0.00386847,0.00531444,0.00275482,0.0155039,0.25,0.00242522,0,0.00479616,0,0.004662,0,0.0470745,0,0,0.00484262,0.00206868,0,0,0,0.00301735,0.00123457,0,0.00144092,0,0,0.0014881,0.0104914,0.016,0.0164609,0.00578035,0.0116505,0,0.0273684,0.0535714,0.0104895,0,0.00638978,0.00584795,0.0184332,0.0243902,0.00525624,0.111111,0.084507,0,0.0648893,0,0.00423729,0.0542299,0.042735,0.0222222,0.00975081,0.0273973,0.0505051,0,0,0.00247219,0.00783133,0,0.120365,0.03,0.0171674,0.0135897,0.0627178,0.0357143,0.0174081,0.0301151,0.0289256,0.0523256,0.416667,0.0113177,0,0.0143885,0.00717703,0.00932401,0.0486111,0.182713,0.0143885,0,0.0204466,0.00703351,0.0106383,0,0.0100671,0.0181041,0.0123457,0.00242131,0.0172911,0,0.0232558,0.00967262,0.0651574,0.0784,4028322073
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52466,2235,5608,5408,11623,10879,8867,5863,6059,5020,2723,1082,350,508,8,19,43,13,80,114,67,78,70,61,20,5,2234,35,140,210,90,416,475,330,350,304,188,64,17,0,0,0,0.00591716,0,0,0.00854701,0.0166667,0.00174825,0,0.00294118,0,0.00234192,0,0,0.0375,0.00483092,0,0.0111562,0,0.004329,0.00621118,0.0134529,0,0.00331126,0.00963855,0.0247525,0,0,0,0,0,0.0291209,0,0.00280899,0.00338409,0.0321429,0.0104712,0.00452489,0.00883392,0.00284495,0.0141129,0.2,0.000822368,0,0.00232019,0,0.0045977,0,0.0558077,0,0,0.00540541,0.00250836,0,0,0,0.00330033,0.00129199,0,0.00430416,0,0,0.00300752,0.0103389,0.016129,0.0185185,0.00591716,0.0095057,0,0.0277778,0.05,0.0157343,0.00609756,0.0147059,0.00628931,0.0175644,0,0.00531915,0.129688,0.101449,0,0.071501,0,0.00865801,0.047619,0.044843,0.0263158,0.0143488,0.0361446,0.039604,0,0,0.0011976,0.00979192,0,0.133516,0.0102041,0.0140449,0.0145516,0.0869048,0.0340314,0.0235941,0.0388693,0.0369844,0.0645161,0.4,0.0115132,0,0.0139211,0.0145985,0.0114943,0.0337838,0.197597,0.00740741,0,0.0235135,0.00877926,0.00595238,0,0.0101695,0.021706,0.0103359,0.00233645,0.0215208,0,0.02,0.0120301,0.0712234,0.0758065,4028322073
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51998,2148,5451,5337,11371,10648,9083,5646,5923,5051,2803,1106,367,544,10,18,41,17,70,139,77,78,69,63,25,6,2399,44,134,218,116,407,546,344,348,333,212,71,22,0,0,0.002079,0.00555556,0,0,0.00212314,0.0178571,0.00342466,0,0.00280112,0,0.00119048,0,0,0.0481366,0.00980392,0,0.0147583,0,0.00440529,0.00806452,0.0242718,0,0.00222222,0.00510204,0.0189573,0,0,0,0.000629327,0,0.0298178,0,0.00428571,0.00476353,0.034565,0.00795756,0.00423315,0.00974314,0.0014771,0.012474,0.1,0.00163934,0,0,0,0.0111359,0.00680272,0.0592749,0,0,0.00499584,0.00299018,0,0,0,0.00342466,0.001321,0,0.00763359,0,0,0.0038373,0.00930233,0.0145161,0.018711,0.0166667,0.00738007,0,0.0254777,0.0357143,0.0171233,0.00632911,0.0112045,0.00653595,0.0178571,0,0.00271003,0.131988,0.112745,0,0.075827,0,0.0176211,0.0403226,0.0582524,0,0.0166667,0.0382653,0.042654,0,0,0.00122549,0.0106986,0,0.133076,0.0120482,0.0142857,0.0187138,0.102503,0.0477454,0.0260501,0.044287,0.0354505,0.0727651,0.6,0.0114754,0,0.0211268,0.00990099,0.0222717,0.047619,0.213549,0.0075188,0.00833333,0.0280322,0.010252,0,0.0166667,0.00668896,0.0239726,0.010568,0.00487805,0.0274809,0,0,0.0145817,0.0703488,0.0677419,4028322073
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51471,2189,5273,5206,11110,10401,9294,5457,5730,5045,2922,1120,392,612,6,28,50,24,76,138,88,83,91,79,26,7,2549,40,149,226,131,417,582,352,374,343,250,75,25,0,0,0.00214133,0.00571429,0,0,0,0,0.010101,0,0.00284091,0,0,0,0,0.0597907,0.00921659,0.00324675,0.0133333,0,0.00892857,0.0125261,0.0243902,0,0.00221976,0.00251256,0.0191388,0,0,0.00250313,0.00130039,0,0.0335008,0,0.00294118,0.00730943,0.0384154,0.0135501,0.00534224,0.0127042,0,0.0197802,0.1,0.00240964,0,0,0,0.00945626,0,0.0670008,0,0,0.00484055,0.00382979,0,0,0,0.00355015,0.00132979,0,0.00623053,0,0,0.00394011,0.011432,0.0096463,0.0235546,0.0342857,0.00567108,0,0.0191898,0.0384615,0.026936,0.00621118,0.0170455,0.0126582,0.017199,0,0.00269179,0.156951,0.101382,0.00324675,0.0815385,0,0.0267857,0.0417537,0.0536585,0,0.0155383,0.0527638,0.0430622,0,0,0.00375469,0.0110533,0,0.143495,0.0240964,0.0132353,0.0222764,0.121248,0.0542005,0.0317195,0.0444646,0.0302115,0.0813187,0.6,0.0136546,0,0.016092,0,0.0330969,0.0301205,0.217621,0.00787402,0.008,0.0296128,0.0153191,0,0.0147059,0.0103806,0.0249778,0.0119681,0.00520833,0.0327103,0,0,0.0204886,0.0697954,0.0707395,4028322073
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0.72637,0.000882994,0.000132688,S,0,26,50941,2321,5099,5109,10882,10144,9432,5333,5560,5035,3012,1136,407,713,2,35,53,23,95,170,99,93,95,101,26,11,2741,44,165,239,142,442,632,379,394,371,272,80,29,37002,0,0,0,0.00192308,0,0,0,0.00881834,0,0.00544959,0,0,0,0,0.0674847,0.00471698,0.00327869,0.0143369,0,0.0135747,0.0164609,0.025,0,0.00115741,0.00254453,0.0186916,0,0,0.00499376,0.00265957,0,0.0378347,0,0.00441826,0.00851668,0.044665,0.013624,0.00789733,0.0127971,0,0.0263736,0.111111,0.00404204,0,0,0.0026738,0.0118483,0,0.0790576,0,0,0.00588928,0.00637213,0,0,0.00347222,0.00383681,0,0.00266667,0.00626959,0,0,0.00398724,0.0119546,0.012966,0.00921659,0.0301205,0.00192308,0,0.01875,0.037037,0.0388007,0.00671141,0.0245232,0.012987,0.0184502,0,0.0056899,0.154908,0.0943396,0.00655738,0.0834613,0.00925926,0.040724,0.0473251,0.055,0,0.0185185,0.0559796,0.0420561,0,0,0.00998752,0.0106383,0,0.168219,0.0138889,0.0162003,0.0283889,0.146402,0.0544959,0.0338927,0.0530165,0.0264798,0.0901099,0.666667,0.0161681,0,0.0136054,0.0026738,0.042654,0.0229885,0.230105,0.00787402,0.0165289,0.0353357,0.0195412,0,0.0133333,0.0173611,0.0255787,0.0173333,0.00533333,0.039185,0,0,0.023126,0.0681411,0.0583468,4028322073
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,E,2023,5,1,20,0.73,0.73,N,0.73527,0.000882994,0.000132688,S,0,26,50289,2177,5078,4958,10549,9881,9489,5316,5380,4994,3055,1197,428,200,3,11,10,9,24,27,29,35,28,28,16,4,1703,28,105,152,93,290,345,262,220,238,171,66,18,36976,0,0,0,0,0,0,0,0.0053286,0,0,0,0.00125313,0,0,0.0149701,0,0,0.00609756,0,0,0.00213675,0.00478469,0,0.00115875,0.00271003,0.00492611,0,0,0.00126422,0.00202293,0,0.00712166,0,0.00148148,0.00218341,0.00904393,0.0026455,0.00240467,0.00368664,0,0.0113895,0,0.00162338,0,0,0,0.0047619,0,0.0218766,0,0,0.00119546,0.00172414,0,0,0,0.00166859,0,0,0.00331675,0,0,0,0.0042245,0.00821018,0.0091954,0.0176471,0,0,0.00634249,0.0363636,0.0301954,0.00666667,0.0187166,0.00636943,0.0112782,0,0.00592593,0.100299,0.0533333,0.00643087,0.0518293,0.019802,0.0272727,0.0299145,0.0334928,0,0.00926999,0.0243902,0.0197044,0,0,0.00758534,0.00539447,0,0.0991098,0,0.00740741,0.0196507,0.0865633,0.037037,0.0223291,0.0322581,0.0127796,0.0683371,0.444444,0.00974026,0,0.00456621,0,0.0309524,0.0229885,0.148129,0,0.00833333,0.0200239,0.0133621,0,0.0144928,0.0109489,0.0156591,0.0147651,0.008,0.026534,0.0222222,0,0.0183853,0.0368135,0.0377668,4028322073
