SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,271,9,21,19,22,44,54,46,54,25,19,7,0,1656,60,147,102,144,245,308,297,308,194,98,62,0,0,0,0.00202429,0.00549451,0,0,0.0040404,0,0,0.0123457,0,0.0176471,0.00217391,0,0,0.00325203,0,0,0.00866635,0.0619469,0.00537634,0.00229358,0.0152672,0,0.0164835,0.00230947,0,0,0,0,0,0.00925926,0.0100105,0,0,0.0028169,0.0201794,0.00223214,0.000318674,0.00846024,0,0.00909091,0,0.0026643,0,0.00235294,0,0,0,0.0219975,0,0,0.000505945,0.00163265,0.0103627,0,0.0468227,0.0028949,0,0.00246914,0,0,0,0.00276434,0.00306279,0,0.0283401,0.0384615,0,0,0.0181818,0,0.00619195,0.0679012,0.008,0.117647,0.00543478,0.0555556,0.00350877,0.0195122,0,0.00557103,0.0418873,0.176991,0.00537634,0.0137615,0.0877863,0,0.078022,0.00692841,0,0,0,0.00481348,0.000575705,0.0185185,0.0574289,0.00884956,0,0.0197183,0.107623,0.0133929,0.00541746,0.0609137,0.00143266,0.0654545,0,0.0035524,0,0.00235294,0.00250627,0.00225225,0.0283688,0.144121,0,0,0.00784215,0.00693878,0.015544,0.0133333,0.29097,0.0182505,0.00713436,0.00493827,0.00146199,0.0208333,0,0.0152039,0.020929,0.0140625,3580446899
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54003,2517,6155,6059,12650,12119,7329,6761,6676,4756,2426,1180,106,369,11,32,33,27,60,69,59,78,37,30,9,0,1652,50,149,125,126,256,273,297,331,178,124,61,6,0,0,0.00198413,0.0205128,0,0,0.004,0,0,0.0202703,0,0.0117647,0.00222965,0,0.00114548,0.00662252,0,0,0.0123274,0.0458716,0.00507614,0.00444444,0.019685,0,0.0206298,0.00451467,0,0,0,0,0.000581734,0,0.0150538,0,0,0.00514139,0.0268456,0.00228833,0.000644122,0.0109244,0,0.0165746,0,0.00178253,0,0.002457,0,0,0.00724638,0.0280303,0,0,0.001778,0.00166113,0.015,0,0.0912281,0.00375893,0,0.00254453,0,0,0,0.00275103,0.00260552,0.00303951,0.0257937,0.0512821,0.00200401,0,0.014,0,0.00472441,0.0878378,0.0078125,0.117647,0.00557414,0.0588235,0.0045819,0.0248344,0.00440529,0.00571429,0.0394477,0.155963,0.0101523,0.0133333,0.0905512,0,0.0781759,0.00902935,0,0,0,0.00483092,0.000581734,0.00970874,0.0602151,0.00854701,0,0.0228149,0.107383,0.00915332,0.0057971,0.0554622,0.00144718,0.0662983,0,0.0026738,0,0.004914,0.002457,0.00222222,0.0362319,0.137374,0,0,0.00939802,0.00872093,0.025,0.0434783,0.312281,0.0189199,0.00486618,0.00508906,0.00146413,0.0169492,0,0.0151307,0.0203231,0.0136778,3580446899
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53672,2448,6016,5887,12408,11914,7653,6466,6539,4859,2516,1116,201,399,7,37,35,22,68,78,57,77,53,30,10,4,1786,37,165,150,117,295,308,314,331,216,126,61,18,0,0,0.00203666,0.0207254,0.00206612,0,0.00204499,0,0,0.0193548,0,0.0236686,0.00223464,0,0.00117233,0.00465116,0,0,0.0129225,0.0366972,0.00478469,0.00462963,0.015873,0,0.0219298,0.00223214,0,0,0,0.00242131,0.000593472,0.00970874,0.0169677,0,0,0.00677638,0.0277778,0.00238663,0.00126984,0.0119149,0,0.0143737,0,0.00174216,0,0.00471698,0,0,0.00729927,0.0306071,0,0,0.00230474,0.00208073,0.0213904,0,0.0896552,0.00416772,0,0,0,0,0,0.00283688,0.00262881,0.00314465,0.0244399,0.0569948,0.00619835,0,0.0184049,0,0.00318979,0.0967742,0.00673401,0.112426,0.00782123,0.0625,0.00468933,0.0232558,0.00452489,0.00578035,0.0452286,0.211009,0.0287081,0.0185185,0.0992063,0,0.0833333,0.00892857,0.00436681,0,0,0.00847458,0.00237389,0.0194175,0.0651341,0,0,0.0258148,0.126157,0.0119332,0.00539683,0.0629787,0.00154321,0.0677618,0,0.00609756,0,0.0165094,0.00242718,0.00890869,0.0364964,0.139237,0,0,0.0120359,0.00957137,0.0374332,0.0405405,0.324138,0.0217227,0.00383142,0.00507614,0.00145349,0.0169492,0,0.0148936,0.0184017,0.0157233,3580446899
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53173,2385,5909,5657,12059,11583,8056,6204,6382,4917,2643,1072,257,436,2,37,39,14,78,81,67,79,61,35,16,5,1972,20,165,182,89,365,354,333,348,261,135,63,24,0,0,0.00408163,0.0167598,0.00205761,0,0.00201613,0,0,0.0265957,0,0.0240964,0.00221976,0,0.00240385,0.00300752,0,0,0.0136502,0.046729,0.00487805,0.00217391,0.0167364,0,0.0189944,0.00222222,0,0,0,0.00490196,0.000607533,0.00943396,0.0162778,0,0,0.00683371,0.0358796,0,0.0018862,0.0121739,0,0.0123203,0,0.00088968,0,0.00486618,0,0,0.00684932,0.0358037,0,0,0.00209424,0.00285132,0.0220994,0,0.0989761,0.0043758,0.0012987,0,0,0,0,0.00358166,0.00449438,0.0015456,0.0285714,0.0614525,0.00823045,0,0.0201613,0,0.00626959,0.101064,0.00657895,0.168675,0.0099889,0.0625,0.00721154,0.0210526,0.00480769,0.0060423,0.0535895,0.271028,0.0536585,0.023913,0.0920502,0,0.0826816,0.00888889,0.00458716,0,0,0.00980392,0.00303767,0.0188679,0.0737927,0,0.00141844,0.0289619,0.143519,0.0180412,0.00534423,0.0573913,0.00160256,0.0698152,0.0357143,0.0115658,0,0.026764,0,0.00675676,0.0479452,0.148222,0,0,0.0120419,0.0118126,0.0552486,0.0379747,0.358362,0.0245817,0.00519481,0.00997506,0.00148588,0.0169492,0,0.019341,0.0247191,0.0108192,3580446899
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52762,2325,5762,5560,11775,11302,8436,5955,6215,4939,2741,1100,299,506,2,32,55,13,99,94,80,78,77,42,17,6,2219,33,161,218,113,422,408,374,361,295,158,67,21,0,0,0.00419287,0.021978,0.00206612,0,0.00200803,0,0,0.027027,0.00625,0.0314465,0.00222469,0,0.00243902,0.00147493,0,0,0.0148947,0.0825688,0.0100503,0.00211416,0.0167364,0,0.0216648,0.00224719,0,0,0,0.00604595,0.00124766,0.00925926,0.0180229,0,0.00139665,0.00799733,0.0396733,0.0025641,0.00156201,0.0164986,0,0.0145228,0,0.00356506,0,0.002331,0,0.00231481,0.00617284,0.0389676,0,0,0.00268962,0.00323363,0.0282486,0,0.143357,0.00564537,0.0012837,0,0,0,0,0.0057929,0.00344234,0.00151515,0.0398323,0.0714286,0.00826446,0,0.0240964,0,0.00647249,0.102703,0.009375,0.194969,0.0111235,0.0625,0.0097561,0.0280236,0.00505051,0.00607903,0.0621469,0.293578,0.0703518,0.02537,0.0962343,0.025641,0.104903,0.011236,0.00892857,0,0,0.0145103,0.00436681,0.0185185,0.0720918,0,0.00418994,0.0343219,0.169195,0.0179487,0.00687285,0.0650779,0.00313972,0.0829876,0.0344828,0.016934,0,0.034965,0.00273224,0.00925926,0.0679012,0.153593,0,0,0.0147929,0.0165724,0.079096,0.0128205,0.454545,0.0297665,0.00256739,0.0147783,0.0015674,0.0178571,0,0.0231716,0.0258176,0.0106061,3580446899
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52256,2294,5608,5453,11504,10941,8723,5814,6032,5031,2773,1104,334,594,5,30,57,17,109,125,99,92,84,42,21,5,2482,45,159,236,139,447,504,391,384,337,177,80,23,0,0,0.00652174,0.0268817,0.00221729,0,0.00414079,0,0,0.04,0.00611621,0.0236686,0.00115207,0,0.00250627,0.00146628,0,0,0.0221535,0.116505,0.00956938,0,0.0207469,0,0.0221704,0.00225734,0,0,0,0.00487805,0.00125786,0.0181818,0.0186301,0,0.00146199,0.00976102,0.0424528,0.00255754,0.00187149,0.0179533,0,0.0127932,0,0.00362647,0,0.00224719,0,0.00447427,0.00617284,0.0441288,0,0,0.00271813,0.00443191,0.0473373,0,0.176871,0.00739204,0.00262467,0,0,0,0,0.00757002,0.00475624,0.00462963,0.0456522,0.0913978,0.0133038,0,0.0289855,0,0.00488599,0.0914286,0.0122324,0.207101,0.014977,0.0625,0.0100251,0.0234604,0.00571429,0.00606061,0.0808861,0.330097,0.0717703,0.0233051,0.0788382,0.03125,0.109685,0.0180587,0.012987,0,0,0.0195122,0.00628931,0.0272727,0.0805479,0,0.00730994,0.0414002,0.181604,0.0204604,0.00998129,0.072711,0.00310078,0.0767591,0.05,0.0199456,0,0.0382022,0.00536193,0.0134228,0.0617284,0.169668,0,0,0.016037,0.020145,0.100592,0,0.493197,0.0356633,0.00393701,0.0128205,0.00159236,0.016129,0,0.0257381,0.0243757,0.0123457,3580446899
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51836,2224,5491,5347,11294,10711,8991,5650,5868,4964,2877,1121,360,661,7,30,59,19,114,149,103,104,78,54,34,6,2706,51,157,249,169,455,594,392,434,338,210,83,31,0,0,0.00675676,0.0314136,0.00232558,0,0.00207469,0,0,0.0441989,0.00600601,0.0240964,0.00113895,0,0.00264901,0.0014771,0,0,0.0221382,0.138614,0.00966184,0,0.0176211,0,0.0236407,0.00226757,0,0,0,0.00475624,0.00192431,0.00980392,0.0192625,0,0.00149925,0.011502,0.0487211,0.00263852,0.00276498,0.017257,0,0.0169492,0,0.00357782,0,0.00684932,0,0.00856531,0.0060241,0.0509424,0,0,0.00275862,0.002826,0.0441989,0,0.205479,0.00927256,0.00413223,0,0,0,0,0.00913242,0.0054315,0.00472441,0.0495495,0.120419,0.0139535,0,0.0373444,0,0.00324675,0.138122,0.018018,0.198795,0.0125285,0.125,0.013245,0.0162482,0.00571429,0.00310559,0.0939525,0.376238,0.0966184,0.0237069,0.092511,0.0408163,0.121749,0.0204082,0.0136986,0,0,0.0214031,0.010263,0.0294118,0.0913594,0,0.00749625,0.0439783,0.20341,0.0184697,0.0135177,0.071753,0.00911854,0.0911017,0.05,0.0214669,0,0.0410959,0.00824176,0.0321199,0.060241,0.176006,0,0,0.0173793,0.0209931,0.110497,0,0.544521,0.0410082,0.0123967,0.00503778,0.00333333,0,0,0.0273973,0.0259505,0.0125984,3580446899
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51292,2206,5372,5279,10979,10509,9156,5519,5687,4981,2935,1134,392,803,10,33,72,23,134,197,119,119,92,74,37,8,2957,51,193,261,170,516,674,427,432,362,260,86,30,0,0,0.0134529,0.0494505,0,0,0,0,0.00163934,0.0333333,0.0058651,0.0331126,0.00119332,0,0.00272109,0.00148368,0,0,0.0254054,0.171717,0.00505051,0.00211864,0.0168776,0,0.0295858,0.00224215,0,0,0,0.00469484,0.00197759,0.0210526,0.0201794,0,0.00148588,0.014391,0.0642317,0.00258398,0.00432499,0.0200364,0,0.0214133,0,0.00442478,0,0.00697674,0,0.00634249,0.00574713,0.0615187,0,0,0.00339751,0.00283861,0.0740741,0,0.291803,0.0110818,0.00277393,0,0.00166667,0,0,0.00915332,0.00719424,0.00791139,0.0493274,0.148352,0.011655,0,0.02079,0,0.00819672,0.166667,0.0234604,0.198675,0.0155131,0.214286,0.0108844,0.0178042,0.00598802,0.00325733,0.105946,0.343434,0.0808081,0.0211864,0.092827,0.0769231,0.126627,0.029148,0.00925926,0,0,0.0316901,0.0125247,0.0421053,0.0975336,0,0.0104012,0.045981,0.220403,0.0232558,0.0176089,0.0701275,0.00782473,0.115632,0,0.0283186,0,0.0465116,0.011236,0.0443975,0.0517241,0.192278,0,0,0.0198188,0.0255474,0.15873,0,0.593443,0.0443272,0.0166436,0.00514139,0.00333333,0,0.0147059,0.0320366,0.0323741,0.0205696,3580446899
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0.731613,0.000882994,0.000132688,S,0,26,50755,2215,5272,5167,10733,10319,9340,5393,5502,4907,2979,1182,400,944,13,43,73,26,151,240,142,130,110,93,41,11,3219,64,200,266,188,526,750,482,452,392,305,90,34,37133,0,0.0178571,0.04,0.00231481,0,0.00395257,0,0.00315956,0.0280899,0.00306748,0.0328947,0.00241546,0,0.00274725,0.00144092,0,0,0.0297193,0.179245,0.00460829,0.00409836,0.0171674,0.0188679,0.0366864,0.0044843,0,0,0,0.00473373,0.00401606,0.0116279,0.023175,0,0.0029985,0.0220798,0.0728477,0,0.00494743,0.020165,0,0.0167364,0,0.00627803,0,0.00959233,0.00289855,0.00892857,0.00584795,0.0719499,0,0,0.00345026,0.00322971,0.078534,0,0.330128,0.0139424,0.00290276,0,0.00338983,0,0,0.0134281,0.00984615,0.00793651,0.0535714,0.182857,0.0138889,0,0.027668,0,0.00947867,0.191011,0.0306748,0.164474,0.0169082,0.142857,0.010989,0.0201729,0.00574713,0.00668896,0.113374,0.424528,0.0552995,0.0184426,0.111588,0.0754717,0.131361,0.0313901,0.00938967,0,0,0.0366864,0.0167336,0.0697674,0.099073,0,0.0164918,0.0598291,0.221192,0.0303867,0.0188621,0.0751604,0.00952381,0.125523,0,0.0304933,0,0.0479616,0.0173913,0.0491071,0.0584795,0.206986,0,0,0.0230017,0.0274526,0.17801,0,0.647436,0.0508565,0.0174165,0.00252525,0.0118644,0,0.0149254,0.0379147,0.0369231,0.0269841,3580446899
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0.730002,0.000882994,0.000132688,S,0,26,50156,2060,5193,5060,10394,10129,9369,5411,5360,4845,2988,1233,427,266,2,12,28,6,47,57,50,35,31,26,8,6,2113,36,136,165,121,362,499,304,306,247,178,68,28,36614,0,0.00222222,0,0,0,0,0,0.00474684,0.00621118,0,0,0,0,0,0,0,0,0.0100503,0.00925926,0,0.00414079,0,0,0.0133495,0.00445434,0,0,0,0.00117509,0.000690608,0,0.00837321,0,0.00146843,0.00757849,0.0190736,0,0.00123648,0.00665399,0.0016,0.00429185,0,0.00181159,0,0.00497512,0,0.00457666,0,0.0174843,0,0,0.000585652,0.00163132,0.0213904,0,0.110749,0.00416835,0,0,0.00174216,0,0,0.00634921,0.00189036,0.00156495,0.0422222,0.136364,0.00465116,0,0.0134875,0,0.0126582,0.118012,0.0152439,0.0839161,0.014742,0.05,0.00554017,0.0114778,0,0.00671141,0.0748185,0.231481,0.0221239,0.0124224,0.0779221,0.0566038,0.0740291,0.0178174,0.0191388,0,0,0.0246769,0.0117403,0.0319149,0.0669856,0,0.0146843,0.0451101,0.152589,0.0232558,0.0136012,0.0465779,0.0032,0.0751073,0,0.0190217,0,0.039801,0.00306748,0.0366133,0.0224719,0.139875,0,0,0.0143485,0.0142741,0.117647,0,0.423453,0.0333468,0.0146413,0.00263852,0.0139373,0,0,0.0269841,0.026465,0.0234742,3580446899
