SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,261,4,18,24,19,39,37,43,54,49,11,9,0,1612,45,142,147,136,285,264,300,273,221,82,51,0,0,0,0,0,0.00381679,0,0.0040404,0,0,0,0,0,0,0,0.0105263,0,0.00446429,0.00835655,0.0158883,0,0,0.016055,0,0,0,0.0184758,0,0,0,0.00962696,0,0,0.00158061,0,0.00138313,0.0159624,0.00560538,0.0111607,0.00956023,0.000846024,0.00143266,0.00545455,0,0.0124334,0.00609756,0.00235294,0.0150376,0,0,0.00505689,0.00666667,0,0,0.0118367,0,0,0,0.000251731,0.00118906,0.00493827,0.0116959,0,0,0.00138217,0.000510465,0,0,0,0.00572519,0,0.0282828,0.037037,0.00154799,0.0308642,0.02,0.0176471,0.00108696,0,0.0573099,0.00487805,0.0178571,0.0250696,0.0741454,0,0.0698925,0.103211,0,0,0,0.143187,0.00809717,0,0.00666667,0.0890493,0.00115141,0.037037,0.00948367,0.00884956,0.00276625,0.0951487,0.0302691,0.120536,0.0490758,0.00253807,0.00716332,0.00909091,0,0.0701599,0.00609756,0.0141176,0.0676692,0.0202703,0.0070922,0.05689,0.0133333,0.0254237,0.000758917,0.0579592,0,0,0,0.00138452,0.00713436,0.00987654,0.0438596,0.0208333,0,0.0145128,0.00510465,0.003125,1739165769
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54063,2530,6145,6074,12724,12123,7405,6683,6687,4705,2452,1183,101,350,9,27,25,19,55,55,62,64,63,20,12,0,1647,54,145,146,109,294,280,299,277,238,97,47,6,0,0,0.00204499,0,0.00392157,0.016129,0.0040568,0,0,0,0,0,0.00110865,0,0.0151692,0,0.00462963,0.0150602,0.0198708,0,0.0113636,0.0206422,0,0,0,0.025522,0,0,0,0.0139949,0,0,0.00210305,0,0.00271003,0.0189206,0.00914286,0.03125,0.011978,0.000857633,0.001443,0.00356506,0,0.0127157,0,0.00220751,0.0145631,0,0,0.00992619,0.0134228,0,0.000505178,0.0150897,0,0,0,0.000754717,0,0.0075188,0.0119048,0,0,0,0.00155199,0,0.00408998,0,0.00588235,0.0483871,0.0283976,0.0357143,0.00157978,0.0242424,0.019305,0.0175439,0.00221729,0,0.0583431,0.00493421,0.0231481,0.0301205,0.077993,0,0.0681818,0.0963303,0,0,0,0.143852,0.00813008,0,0.00675676,0.086514,0.0011744,0.037037,0.0105152,0.00925926,0.00813008,0.0958437,0.0342857,0.136161,0.0495306,0.0025729,0.00865801,0.00891266,0,0.0726612,0,0.013245,0.0631068,0.0197802,0.00675676,0.057521,0.0201342,0.0254237,0.00176812,0.0570962,0,0.0128205,0.00363636,0.00201258,0.00598802,0.0175439,0.0446429,0.0408163,0,0.0141343,0.00569064,0.0030303,1739165769
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53686,2484,6041,5866,12490,11868,7687,6462,6521,4797,2531,1141,189,383,7,23,26,15,59,63,67,75,67,24,13,0,1776,34,131,162,85,322,302,327,304,260,114,54,8,0,0,0.0021322,0,0.00811359,0.0175439,0.0039604,0,0,0,0,0,0.00219298,0,0.0174419,0,0.00490196,0.0149701,0.020297,0,0.0108696,0.0143885,0,0,0,0.0244444,0,0,0,0.0163522,0,0,0.00269251,0,0.00421941,0.0201149,0.00685714,0.0366133,0.0138486,0.000859107,0.00290276,0.00356506,0,0.0161871,0,0.00430108,0.0120192,0,0.00671141,0.0111027,0.0151515,0,0.000761615,0.0152013,0,0,0,0.00100238,0.00120627,0.00952381,0.0168971,0,0,0,0.00105708,0,0.00426439,0.00546448,0.0141988,0.0526316,0.0237624,0.0181818,0.00519031,0.0176471,0.0143369,0.0181818,0.00767544,0,0.0744186,0.00699301,0.0196078,0.0329341,0.0826733,0,0.0652174,0.0863309,0,0,0,0.115556,0.00840336,0,0.00653595,0.0880503,0.00118273,0.0288462,0.0150781,0.0178571,0.0168776,0.098659,0.0365714,0.146453,0.0573269,0.00343643,0.0130624,0.0124777,0,0.0683453,0,0.0193548,0.0625,0.01373,0.0134228,0.0623265,0.0833333,0.0243902,0.00228484,0.061627,0,0,0.00694444,0.00400952,0.00965018,0.0285714,0.0491551,0.0238095,0,0.0112782,0.00792812,0.00151057,1739165769
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53226,2399,5933,5653,12138,11572,8012,6262,6380,4860,2645,1090,267,460,2,33,32,17,74,82,71,87,79,34,15,1,1983,19,151,166,98,373,343,322,349,285,150,52,11,0,0,0.00428266,0,0.00821355,0.0185185,0,0,0,0,0,0,0.00226757,0,0.0208845,0.00172117,0,0.0151057,0.0250639,0,0.015873,0.0112867,0,0,0,0.0348837,0,0,0,0.0153846,0.000616143,0,0.00331858,0,0.00702247,0.0254265,0.00464037,0.0465116,0.0140575,0.000865052,0.00914634,0.00350877,0,0.0212389,0,0.00643777,0.0142518,0,0.00621118,0.0137328,0.015625,0,0.000770218,0.01868,0,0,0,0.0016381,0.00120919,0.00954654,0.02,0,0,0.00157604,0.00213789,0,0.0107066,0.00534759,0.0246407,0.0740741,0.0188285,0.0169492,0.00513699,0.0113636,0.0136986,0.0182927,0.0102041,0,0.0921376,0.0120482,0.0206186,0.0664653,0.0992327,0,0.0582011,0.0744921,0,0,0.0011274,0.137209,0.00843882,0,0.011236,0.0820513,0.00369686,0.0212766,0.0160398,0.00892857,0.0196629,0.106534,0.037123,0.148837,0.0603834,0.00432526,0.0198171,0.0140351,0,0.079646,0,0.0214592,0.064133,0.0111607,0.0248447,0.0689139,0.140625,0.0162602,0.00333761,0.0697385,0.00483092,0,0.00722022,0.00642641,0.00725514,0.0286396,0.0661538,0.0392157,0,0.00945626,0.010155,0.00159744,1739165769
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52768,2335,5817,5546,11838,11253,8371,6083,6170,4933,2729,1073,318,541,1,27,46,15,86,116,83,95,92,37,16,1,2267,21,136,214,106,402,430,372,390,335,162,55,15,0,0,0.0021645,0,0.00856531,0.0175439,0,0,0,0,0,0,0.00240385,0,0.025393,0.00169492,0,0.0123839,0.031234,0,0.0217391,0.0110132,0,0,0,0.0471698,0,0,0,0.0141207,0.000651466,0,0.00279018,0,0.0126939,0.0299577,0.0047619,0.0423529,0.0159286,0.000876424,0.0166667,0.00371747,0,0.0239931,0,0.00894855,0.0154639,0.00213675,0.0135135,0.0167736,0.0163934,0,0.00105625,0.0232558,0,0,0,0.001763,0.001221,0.0120773,0.0207006,0,0,0.00245298,0.00323974,0.00158228,0.017316,0.00520833,0.0256959,0.0877193,0.0126316,0.015873,0.00519031,0.00558659,0.00641026,0.00609756,0.015625,0,0.108827,0.0135593,0.0348259,0.0804954,0.115719,0,0.076087,0.0682819,0.00401606,0,0.0022779,0.148585,0.00896861,0.0217391,0.0113636,0.0821566,0.00456026,0.0194175,0.0172991,0.00877193,0.0409027,0.113969,0.0416667,0.185882,0.0684932,0.00701139,0.0348485,0.0167286,0,0.0942588,0.00641026,0.0246085,0.0773196,0.0128205,0.0337838,0.071781,0.163934,0.0162602,0.00448904,0.0845666,0.00465116,0,0.0107143,0.00868908,0.00854701,0.031401,0.089172,0.025641,0,0.0130826,0.0134989,0.00632911,1739165769
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52207,2302,5689,5461,11475,10995,8648,5915,5997,4976,2757,1073,371,611,5,23,44,13,85,142,95,112,110,37,15,2,2585,30,149,232,110,445,522,402,439,399,177,72,19,0,0,0.00225734,0,0.010917,0,0,0,0,0,0,0,0.00125156,0,0.0268199,0.00165563,0,0.0194175,0.0365344,0,0.010582,0.00650759,0,0,0.00114286,0.0595238,0,0,0,0.015444,0.00132188,0,0.002849,0,0.0103245,0.0337413,0.00855746,0.0409639,0.0174081,0.00174978,0.0189781,0.00561798,0,0.0241588,0,0.0209302,0.0176768,0.00218818,0.0137931,0.0190217,0.0163934,0,0.00163979,0.0293742,0,0,0,0.00216395,0.00119048,0.00735294,0.028125,0,0,0.00404531,0.00331675,0,0.0158014,0.00520833,0.0393013,0,0.0144928,0,0.00695652,0.0108108,0.00292398,0.0178571,0.0187735,0,0.131545,0.013245,0.0247525,0.106796,0.140397,0,0.0634921,0.0737527,0.00396825,0,0.00571429,0.159524,0.00452489,0.0444444,0.0125786,0.0797941,0.00727032,0.0194175,0.019943,0.00869565,0.0457227,0.129011,0.0452323,0.195181,0.0757576,0.0096238,0.0569343,0.0243446,0,0.107852,0.00625,0.0395349,0.0757576,0.0196937,0.0413793,0.0807806,0.180328,0.00819672,0.00874556,0.0940826,0,0,0.0170648,0.0124745,0.00952381,0.0318627,0.10625,0,0,0.0186084,0.0154782,0.00479233,1739165769
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51643,2235,5556,5393,11116,10806,8811,5794,5836,4987,2808,1085,400,683,10,28,46,19,95,172,101,110,116,44,19,7,2842,43,150,251,123,481,599,444,476,421,187,85,26,0,0,0.00461894,0,0.0175055,0,0,0,0.00175439,0,0,0,0.00129032,0,0.0319693,0,0,0.0292208,0.0456906,0,0.016129,0.00222717,0.00431034,0,0.00228311,0.0523691,0,0,0,0.0141388,0.00205761,0,0.00293427,0,0.0175953,0.0394106,0.00363196,0.0452261,0.0200129,0.00275482,0.0200573,0.00393701,0,0.0298246,0,0.0258216,0.0106952,0.00636943,0.00671141,0.0199409,0.0183486,0,0.00222099,0.0277176,0,0,0,0.00306905,0.00121655,0.00941176,0.039557,0,0,0.00503778,0.00227661,0.00160514,0.0230947,0,0.0459519,0.0204082,0.0101833,0,0.00701754,0.00518135,0.00573066,0.0118343,0.0232258,0,0.148338,0.0113821,0.0192308,0.146104,0.157321,0,0.0645161,0.0534521,0.00862069,0,0.00684932,0.167082,0.005,0.0434783,0.00598802,0.0899743,0.00960219,0.00970874,0.0199531,0.00900901,0.0571848,0.142563,0.0496368,0.218593,0.0803744,0.0119376,0.0730659,0.023622,0.047619,0.119298,0.00598802,0.0422535,0.0802139,0.0254777,0.0268456,0.0888725,0.137615,0.00840336,0.0113826,0.10654,0.0044843,0,0.0109489,0.0161125,0.0121655,0.0305882,0.125,0.027027,0,0.0218304,0.0165054,0.00963082,1739165769
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51135,2242,5406,5294,10852,10555,9054,5634,5625,4982,2858,1146,429,812,4,37,54,18,116,208,109,131,142,56,21,11,3092,46,170,246,130,516,688,436,491,483,213,96,39,0,0,0.00234192,0,0.0216346,0,0.00209205,0,0.00178253,0,0,0,0,0,0.0429129,0,0,0.0330033,0.0523504,0,0.0248756,0.00217865,0.00884956,0,0.0022805,0.0707071,0,0,0,0.0117493,0.00277393,0,0.00413956,0,0.0244957,0.0460177,0.00865266,0.0548303,0.022187,0.00278293,0.0214592,0.00595238,0.1,0.0400341,0,0.0341686,0.0138504,0.00840336,0.0124224,0.0242258,0.00961538,0,0.00307263,0.0314927,0,0.0108696,0,0.00377211,0.00121507,0.00941176,0.0419255,0,0,0.00772532,0.0029274,0.00495868,0.028103,0,0.0528846,0.0204082,0.0104603,0.0126582,0.0106952,0.00515464,0.00837989,0.0116959,0.0241611,0,0.159948,0.0163666,0.0140187,0.155116,0.180556,0,0.0746269,0.0413943,0.0132743,0,0.0114025,0.194444,0,0.0416667,0,0.0874674,0.0117892,0.00952381,0.0212892,0.00909091,0.0706052,0.152566,0.0469716,0.240209,0.0824089,0.0139147,0.0829757,0.0376984,0.1,0.129472,0.0060241,0.0615034,0.0886427,0.0378151,0.0372671,0.0939061,0.115385,0.00909091,0.0156425,0.116048,0.00446429,0.0108696,0.0143885,0.0212019,0.0072904,0.0282353,0.13354,0.0425532,0,0.0248927,0.0175644,0.00826446,1739165769
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0.730041,0.000882994,0.000132688,S,0,26,50615,2205,5280,5178,10593,10338,9223,5479,5470,4954,2925,1210,423,925,6,39,65,27,127,226,134,141,158,72,31,9,3435,50,192,284,169,578,764,478,521,516,263,114,32,36951,0,0.00932401,0,0.0215827,0,0,0,0.00176678,0,0.0027248,0.00561798,0,0,0.0500659,0.00314465,0.00465116,0.0383275,0.0594978,0,0.0280374,0.00424628,0.0128205,0,0.00342075,0.0794872,0,0,0,0.0139594,0.00500715,0,0.00358209,0,0.0246914,0.0566918,0.00902062,0.0704961,0.0232855,0.00281162,0.029703,0.0100604,0.1,0.0435146,0.00595238,0.0376471,0.0165289,0.00869565,0.0118343,0.0267627,0.0192308,0,0.00424088,0.0377358,0,0.00892857,0,0.0036654,0.00377834,0.00945626,0.0438185,0,0,0.00611354,0.00296736,0.0066778,0.027972,0,0.0671463,0,0.00849257,0.0135135,0.0159011,0.00515464,0.00817439,0.0280899,0.0220083,0,0.173913,0.0220126,0.0139535,0.170732,0.209607,0,0.088785,0.0382166,0.025641,0,0.018244,0.207692,0,0.0444444,0,0.0964467,0.0157368,0.00925926,0.0197015,0,0.0817901,0.170434,0.0412371,0.263708,0.0858054,0.0215558,0.106082,0.0462777,0.1,0.140586,0.0119048,0.0847059,0.077135,0.0434783,0.0414201,0.105764,0.125,0.00847458,0.0209217,0.125932,0.00454545,0.00892857,0.018315,0.023956,0.0125945,0.0330969,0.161189,0.0192308,0,0.0349345,0.0189911,0.0183639,1739165769
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,X,2023,5,1,20,0.73,0.73,N,0.734486,0.000882994,0.000132688,S,0,26,49971,2075,5207,5085,10252,10117,9331,5437,5326,4893,2984,1194,437,264,2,8,20,7,38,60,30,43,45,26,12,3,2293,34,134,177,114,382,532,293,359,323,193,70,27,36703,0,0,0,0.0047619,0,0,0,0,0,0.0026738,0,0,0,0.0119048,0,0,0.0102389,0.0159078,0,0.0141509,0.00205339,0.00425532,0,0.0022779,0.0181347,0,0,0,0.00629723,0.000720981,0,0.00242131,0,0.0171875,0.0161987,0.00131752,0.0157068,0.00680272,0.00191939,0.00578035,0.00412371,0.1,0.00852515,0,0.00941176,0,0.00453515,0,0.00738397,0.0103093,0,0.00114318,0.0126032,0,0,0,0.00119079,0,0.00253165,0.014827,0,0,0.00184162,0.00182371,0.00170068,0.0211765,0,0.05,0,0.00881057,0.0140845,0.0141844,0,0.0026738,0.0171429,0.0141643,0,0.100529,0.0122137,0.0107527,0.112628,0.138234,0,0.0660377,0.0308008,0.0212766,0,0.0170843,0.139896,0,0.025,0,0.0692695,0.0108147,0,0.0133172,0,0.0609375,0.111591,0.030303,0.185864,0.0508584,0.0191939,0.0852601,0.0247423,0.1,0.0852515,0.0116959,0.0494118,0.0612245,0.0340136,0.0178571,0.0677743,0.0824742,0.00833333,0.0157188,0.0890917,0.0097561,0.0165289,0.0106383,0.0182588,0.00755668,0.0227848,0.110379,0.0172414,0,0.0285451,0.0115502,0.0187075,1739165769
