SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,treated,tested,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,268,14,17,26,25,44,46,49,44,36,17,7,0,1739,57,132,149,142,272,326,305,304,219,109,62,0,0,0,0,0.0164835,0.0133588,0,0.0020202,0,0,0,0,0,0,0,0.00116959,0.0097561,0,0,0.0216659,0.00884956,0.0107527,0,0.00763359,0.0227273,0,0.0184758,0,0,0,0.00361011,0.00748417,0,0,0,0,0.00688576,0.00112108,0.00223214,0.00446144,0.00253807,0,0.00181818,0,0.0062167,0,0.00235294,0,0,0,0.0101138,0,0,0,0.000816327,0,0,0,0.00516048,0.00237812,0.00246914,0,0,0,0.00967519,0.0117407,0.003125,0.0121457,0.115385,0.131679,0,0.0181818,0,0.00154799,0.0123457,0.024,0,0.00108696,0,0.00350877,0.0552846,0.0178571,0.00278552,0.120847,0.0530973,0.0376344,0.00688073,0.0267176,0.0454545,0,0.106236,0.0364372,0,0,0.0180505,0.0356937,0,0.00368809,0,0.0152144,0.0469484,0.0201794,0.0200893,0.0321861,0.0109983,0.00286533,0.00545455,0,0.044405,0,0.0258824,0,0.0202703,0.0283688,0.0434893,0,0.0254237,0.00531242,0.00653061,0.0310881,0.146667,0.00668896,0.0376337,0.00713436,0.0271605,0.0102339,0.0208333,0,0.0642709,0.0566616,0.0421875,4032141487
1,2011,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,54027,2533,6152,6104,12667,12149,7313,6740,6716,4692,2458,1184,108,362,10,33,33,30,59,62,61,68,45,25,12,0,1702,52,146,140,121,287,304,285,308,227,108,55,7,0,0,0,0.0216216,0.0235756,0,0.0019802,0,0,0,0,0,0,0,0.00117647,0.00794913,0,0.00546448,0.025641,0.00862069,0.010582,0,0.0111111,0.0212766,0,0.0258216,0.00389105,0,0,0.00595948,0.00526008,0,0.00104493,0,0.00141844,0.00929785,0.00345622,0.00442478,0.00805412,0.00257954,0.00293255,0.00187617,0,0.0114537,0,0.00456621,0,0,0,0.01375,0,0.00854701,0.000256739,0.00083022,0,0,0,0.00775485,0.00238663,0.00529101,0.00308166,0,0,0.0084686,0.0144695,0.00469484,0.0123203,0.102703,0.131631,0,0.0138614,0,0.00312989,0.0122699,0.0239044,0,0.00108814,0,0.00352941,0.0572337,0.0178571,0.00819672,0.119822,0.0431034,0.047619,0.00423729,0.037037,0.0212766,0,0.0962441,0.0350195,0,0,0.0202622,0.0268849,0,0.00470219,0,0.0141844,0.0455274,0.0218894,0.0243363,0.0335052,0.00859845,0.0058651,0.00750469,0,0.046696,0,0.0182648,0.00251256,0.0221239,0.0294118,0.047,0,0.034188,0.00487805,0.00664176,0.0301508,0.13253,0.00990099,0.0372733,0.00835322,0.0238095,0.00924499,0.0175439,0,0.052223,0.056806,0.0406886,4032141487
1,2012,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53756,2457,6059,5895,12489,11977,7661,6460,6597,4749,2522,1113,188,376,9,27,31,21,68,72,65,62,45,32,10,1,1868,33,136,167,105,336,353,308,319,251,128,58,10,0,0,0,0.0235294,0.0251451,0,0.0019084,0,0,0,0,0,0,0,0.0011919,0.00624025,0,0.00552486,0.0269596,0,0.0108696,0,0.00383142,0,0,0.0257611,0.00790514,0,0,0.00692042,0.00543478,0,0.00104877,0,0.00140449,0.00879479,0.00460829,0.00219298,0.00869285,0.0017094,0.00441826,0.00184162,0,0.0121107,0,0.0021645,0,0,0,0.0156922,0,0.00813008,0.000514536,0.00083091,0,0,0,0.00798403,0.00121951,0.00241546,0.00314961,0,0,0.0100287,0.0154525,0.00978793,0.00437637,0.105882,0.133462,0,0.0171756,0.0169492,0.00166667,0.0120482,0.0246479,0,0.00109409,0.1,0.00476758,0.0577223,0.0175439,0.0110497,0.133799,0.0350877,0.0434783,0.00221239,0.0306513,0,0,0.105386,0.027668,0,0,0.0265283,0.0283816,0,0.00629261,0.00917431,0.0210674,0.0488599,0.0218894,0.0197368,0.0373471,0.0119658,0.00883652,0.0092081,0,0.0389273,0,0.017316,0.0049505,0.0226244,0.0296296,0.060491,0,0.0406504,0.00540262,0.00872455,0.0351759,0.0967742,0.013468,0.0426647,0.0097561,0.0217391,0.00944882,0.0163934,0,0.0558739,0.0573951,0.0424144,4032141487
1,2013,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,53251,2393,5948,5678,12107,11676,8059,6190,6478,4799,2612,1068,262,436,3,30,49,15,85,95,70,71,52,36,10,2,2045,25,138,195,102,374,414,328,336,273,156,49,13,0,0,0,0.0248447,0.0292969,0,0.00736648,0,0.00161551,0,0,0,0,0,0.00124844,0.00451807,0,0.00552486,0.0302419,0,0.010582,0,0.00389105,0,0.00111982,0.029703,0.011583,0,0,0.00678733,0.00549115,0,0.00262329,0,0.00143266,0.0104272,0.00477897,0.00238095,0.00963701,0.00174825,0.00295858,0,0,0.0114236,0,0.00423729,0,0,0,0.019,0,0.0229008,0.000789474,0.00125366,0,0,0,0.009525,0.00247219,0.00238095,0.0032,0,0,0.0142322,0.0169587,0.0102041,0.00678733,0.142857,0.119141,0,0.0184162,0.0166667,0.0129241,0.0118343,0.0234899,0,0,0.047619,0.00749064,0.0466867,0.00881057,0.0220994,0.143145,0.0409836,0.0634921,0.0045045,0.0272374,0,0.00335946,0.108911,0.030888,0,0,0.0350679,0.0292862,0,0.0115425,0.00892857,0.0186246,0.0501177,0.0274791,0.0190476,0.044009,0.0148601,0.0133136,0.00733945,0,0.0509666,0,0.0169492,0.0126904,0.0248869,0.0230769,0.0735,0,0.0458015,0.005,0.00961137,0.0257732,0.0425532,0.0175439,0.0453691,0.0111248,0.0214286,0.0128,0.016129,0.0175439,0.058427,0.0650085,0.0527211,4032141487
1,2014,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52741,2308,5802,5564,11706,11313,8421,5961,6376,4912,2709,1041,302,516,5,31,50,22,89,114,80,80,70,47,10,4,2274,39,142,227,117,423,469,357,350,312,193,39,14,0,0,0,0.0178571,0.0338645,0,0.00581395,0,0.00327869,0,0.00303951,0.00689655,0,0,0.00126582,0.00297619,0,0.0107527,0.0374873,0,0.0145631,0,0.004,0,0.00111732,0.0299252,0.016129,0,0,0.0116686,0.00496586,0,0.00266667,0,0.00291971,0.0116081,0.0060024,0,0.0131116,0.000877963,0.00290276,0,0,0.0146552,0,0.00443459,0,0,0,0.0207448,0,0.0384615,0.00186567,0.00169779,0,0,0,0.0110999,0.00264901,0.0074813,0.00484653,0,0,0.01673,0.019802,0.0152542,0.00665188,0.160714,0.12749,0,0.0193798,0,0.0213115,0.0127389,0.0182371,0.0137931,0,0,0.00886076,0.047619,0.00840336,0.0295699,0.159574,0.0406504,0.0728155,0.00451467,0.028,0,0.00558659,0.117207,0.0362903,0,0,0.0431739,0.0316574,0,0.016,0.00934579,0.020438,0.0539433,0.030012,0.0155844,0.0460505,0.0131694,0.0130624,0.00760456,0,0.0560345,0,0.0177384,0.0026178,0.022779,0.0129032,0.0834791,0,0.0923077,0.00666311,0.0131579,0.0322581,0.043956,0.0172414,0.0517154,0.013245,0.0224439,0.0210016,0,0,0.0661597,0.075131,0.059322,4032141487
1,2015,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,52210,2239,5669,5492,11341,11046,8763,5792,6156,4944,2756,1076,336,595,6,35,55,17,108,136,88,93,83,48,14,8,2590,42,160,246,132,483,569,375,388,360,212,48,23,0,0,0,0.0235294,0.0377358,0,0.00963391,0,0.00483871,0,0.00308642,0.013245,0,0,0.00381679,0.00155039,0.00462963,0.0106667,0.0439504,0,0.0234742,0,0,0,0,0.0325815,0.023622,0,0,0.0145455,0.00520833,0,0.00160858,0,0.00145985,0.0165232,0.00876095,0,0.0134831,0.00172265,0.00710227,0,0,0.0181034,0,0.00665188,0,0,0,0.0247748,0,0.0461538,0.00213618,0.0012766,0,0,0,0.0120162,0.00392157,0.004914,0.00847458,0,0,0.019685,0.0219846,0.015025,0.00898876,0.141176,0.138365,0,0.0289017,0.02,0.0274194,0.0060241,0.0123457,0.0331126,0.00229358,0,0.0165394,0.0403101,0.00925926,0.0373333,0.179421,0.0406504,0.0985915,0.00681818,0.017094,0,0.00582751,0.130326,0.0314961,0,0,0.049697,0.0410156,0,0.0160858,0.00934579,0.0218978,0.0605852,0.0362954,0.0134048,0.0548957,0.0129199,0.0170455,0.0117417,0,0.0612069,0,0.0155211,0.00542005,0.020362,0.017341,0.101101,0,0.107692,0.0101469,0.0157447,0.0337079,0.0422535,0.0147601,0.0584366,0.027451,0.022113,0.0271186,0,0,0.0787402,0.0843731,0.0651085,4032141487
1,2016,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51653,2176,5488,5417,11022,10826,8955,5620,5993,4963,2814,1119,341,653,6,34,54,22,104,153,94,107,96,50,16,11,2822,48,170,254,151,498,650,401,430,380,217,66,29,0,0,0,0.0361446,0.0361446,0,0.00963391,0,0.00642055,0,0.00321543,0.00671141,0,0,0.00510204,0.0015528,0.00921659,0.00795756,0.0467137,0,0.0233645,0,0,0,0,0.0250627,0.0255319,0,0,0.0227001,0.00396301,0,0.00216216,0.00869565,0.00299401,0.018018,0.0102171,0,0.0137732,0.00266667,0.00601504,0,0,0.0176523,0,0.0111111,0,0,0,0.0274413,0.00862069,0.0437956,0.00274725,0.0017331,0,0,0,0.0128482,0.00536913,0.00714286,0.00851789,0,0,0.0248,0.029003,0.0171527,0.00457666,0.168675,0.14257,0,0.0366089,0.0384615,0.0256822,0.0116959,0.0192926,0.033557,0.00241838,0,0.0229592,0.0341615,0.0230415,0.0477454,0.1912,0.0263158,0.0934579,0.00471698,0.0168776,0,0.00598802,0.142857,0.0297872,0.0212766,0,0.0740741,0.0350066,0.03125,0.0189189,0.0173913,0.0284431,0.0686071,0.0395913,0.0140449,0.0647021,0.0124444,0.0180451,0.0102249,0,0.0714916,0.00540541,0.02,0.00265957,0.0198238,0.0350877,0.109271,0.00862069,0.138686,0.0134615,0.0164645,0.021978,0.0136986,0.0111111,0.0601705,0.0295302,0.0285714,0.0408859,0,0,0.0976,0.0936556,0.0720412,4032141487
1,2017,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0,0.000882994,0.000132688,S,0,26,51138,2149,5333,5304,10710,10594,9097,5450,5847,4996,2901,1171,372,747,8,39,68,25,121,177,92,115,120,62,23,12,3064,48,192,273,152,539,722,418,453,410,254,88,28,0,0,0,0.0375,0.0348361,0,0.0154143,0,0.00491803,0,0.00634921,0.00675676,0,0,0.00774194,0.00151515,0.00956938,0.00840336,0.0536585,0,0.0241546,0.00247525,0,0,0,0.0329114,0.0217391,0,0,0.0235732,0.00270453,0.0306122,0.00380849,0.00854701,0.00643087,0.0219702,0.0112219,0,0.0180387,0.00540541,0.00763359,0,0,0.0179051,0,0.011236,0,0,0,0.035396,0,0.0647482,0.00165792,0.00259179,0,0,0,0.0128613,0.00551724,0.00471698,0.0129151,0,0,0.029838,0.0328784,0.0156522,0.00729927,0.2,0.137295,0.0266667,0.0366089,0.04,0.0213115,0.00558659,0.015873,0.0540541,0.00361446,0.0232558,0.0309677,0.0318182,0.0334928,0.0644258,0.206504,0.016,0.10628,0.00742574,0.0213675,0,0.00810185,0.151899,0.026087,0.0204082,0.00854701,0.0794045,0.0412441,0.0408163,0.0239391,0.025641,0.0321543,0.0786676,0.0523691,0.0143678,0.0705149,0.0189189,0.0183206,0.00821355,0,0.084154,0.00543478,0.0224719,0.00534759,0.014862,0.0248447,0.117822,0,0.172662,0.0151976,0.0194384,0.00518135,0.0131579,0.0148699,0.0629059,0.0358621,0.0353774,0.0553506,0,0,0.113384,0.102357,0.0713043,4032141487
1,2018,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0.731951,0.000882994,0.000132688,S,0,26,50584,2257,5151,5237,10385,10346,9243,5298,5685,5041,2965,1227,394,888,9,34,79,20,137,224,107,130,140,87,26,17,3349,56,194,310,157,591,797,423,478,467,302,102,32,37025,0,0,0.05,0.0392562,0,0.016,0,0.0066778,0,0.00311526,0.00729927,0.00123153,0,0.0104031,0.00155521,0.00961538,0.00862069,0.0640177,0,0.0325581,0.00246305,0,0,0,0.0399002,0.0254237,0,0,0.0347395,0.0035137,0.040404,0.00327869,0.00877193,0.00511073,0.029464,0.0174129,0,0.0213731,0.00722022,0.00791139,0,0,0.0179211,0,0.0114416,0.00274725,0.004329,0,0.0435111,0,0.0735294,0.0025,0.00438212,0,0,0,0.0150415,0.00421348,0,0.0131579,0,0,0.0336497,0.0367321,0.0176678,0.00493827,0.225,0.150826,0.0133333,0.048,0.0681818,0.0183639,0.00552486,0.0280374,0.0583942,0.00492611,0.0232558,0.0364109,0.0279938,0.0384615,0.0603448,0.222958,0.015873,0.102326,0.00985222,0.0217391,0,0.0114943,0.149626,0.0254237,0.0416667,0.00819672,0.102978,0.0414617,0.0505051,0.0234973,0.0175439,0.0340716,0.0930067,0.0646766,0.0140845,0.0767487,0.0252708,0.0221519,0.00811359,0,0.094086,0.0100503,0.02746,0.00274725,0.0194805,0.0191083,0.132042,0,0.213235,0.0202778,0.0197195,0.00540541,0.012987,0.0123457,0.0665197,0.0393258,0.0361174,0.0639098,0,0,0.119068,0.119063,0.0795053,4032141487
1,2019,0.73,0.5,0.33,0.17,1,0.5,2,0.55,0.45,0,20,0.5,5,2018,2,1,Y,F,2023,5,1,20,0.73,0.73,N,0.73019,0.000882994,0.000132688,S,0,26,50024,2140,5054,5094,10131,10090,9339,5276,5509,4955,3042,1282,400,237,2,9,20,8,32,64,24,34,40,24,5,6,2177,30,118,194,107,367,527,255,302,334,183,80,22,36527,0,0,0.00588235,0.00424628,0,0.00203666,0,0,0,0.00306748,0,0.00126904,0,0.00136054,0,0,0.00287356,0.0149419,0,0,0,0,0,0,0.00746269,0.00423729,0,0,0.00738007,0.00145033,0.0196078,0.000556483,0,0.00163399,0.0110675,0.00128535,0,0.00677638,0.00286533,0.00163666,0,0,0.00993677,0,0.0023753,0.00292398,0,0,0.0104008,0,0.0212766,0.000841751,0.00174292,0,0,0,0.00497969,0.00143885,0,0.0018797,0,0,0.0111206,0.00723684,0.0018018,0.00249377,0.141176,0.07431,0.0135135,0.0325866,0.0425532,0.0134228,0,0.0214724,0.0168067,0.00380711,0,0.0204082,0.0175159,0.0283019,0.0316092,0.141118,0.0222222,0.0657895,0.00973236,0.0127119,0,0.00819672,0.0995025,0.0211864,0.0465116,0,0.0713407,0.0210297,0.0686275,0.0144686,0,0.0196078,0.0649768,0.0385604,0.0143266,0.04808,0.0219675,0.0180033,0.00831601,0,0.0623306,0.0104712,0.0142518,0.00584795,0.00210084,0.00653595,0.0880264,0,0.148936,0.0137486,0.016122,0,0,0.0123457,0.0459966,0.0258993,0.0182232,0.0451128,0,0,0.0727117,0.0703947,0.0612613,4032141487
