SimulationNumber,Year,MDACoverageAttempted,MDAKillProb1,MDAFullSterProb1,MDAPartSterProb1,MDASterDur1,MDAPartSterMagnitude1,MDAMinAge1,MDAKillProb2,MDAFullSterProb2,MDAPartSterProb2,MDASterDur2,MDAPartSterMagnitude2,MDAMinAge2,MDAStartYear,MDANumRounds,MDAYearsBetweenRounds,Add_MDA,Add_Scheme,Add_Start,Add_Rounds,Add_Years_Between,Add_N_Work_or_Vil,Add_School_Coverage,Add_Work_Coverage,Team_MDA,AchievedMDACoverage,ProbOneGender,ProbBothGender,InitType,InitPrev,SimYears,Pop_total,Pop_6_7,Pop_8_12,Pop_13_17,Pop_0_9,Pop_10_19,Pop_20_29,Pop_30_39,Pop_40_49,Pop_50_59,Pop_60_69,Pop_70_79,Pop_80_plus,inf_total,inf_6_7,inf_8_12,inf_13_17,inf_0_9,inf_10_19,inf_20_29,inf_30_39,inf_40_49,inf_50_59,inf_60_69,inf_70_79,inf_80_plus,ant_total,ant_6_7,ant_8_12,ant_13_17,ant_0_9,ant_10_19,ant_20_29,ant_30_39,ant_40_49,ant_50_59,ant_60_69,ant_70_79,ant_80_plus,PrevalenceAasu,PrevalenceAfao,PrevalenceAfono,PrevalenceAgugulu,PrevalenceAlao,PrevalenceAlega,PrevalenceAlofau,PrevalenceAmaluia,PrevalenceAmanave,PrevalenceAmaua,PrevalenceAmouli,PrevalenceAnua,PrevalenceAoa,PrevalenceAoloau,PrevalenceAsili,PrevalenceAtuu,PrevalenceAua,PrevalenceAuasi,PrevalenceAumi,PrevalenceAunuu,PrevalenceAuto,PrevalenceAvaio,PrevalenceFagaalu,PrevalenceFagaitua,PrevalenceFagalii,PrevalenceFagamalo,PrevalenceFaganeanea,PrevalenceFagasa,PrevalenceFagatogo,PrevalenceFailolo,PrevalenceFaleniu,PrevalenceFatumafuti,PrevalenceFutiga,PrevalenceIliili,PrevalenceLaulii,PrevalenceLeloaloa,PrevalenceLeone,PrevalenceMalaeimi,PrevalenceMalaeloa/Aitulagi,PrevalenceMalaeloa/Ituau,PrevalenceMaloata,PrevalenceMapusagafou,PrevalenceMasausi,PrevalenceMasefau,PrevalenceMatuu,PrevalenceMesepa,PrevalenceNua,PrevalenceNuuuli,PrevalenceOnenoa,PrevalencePagai,PrevalencePago,PrevalencePavaiai,PrevalencePoloa,PrevalenceSailele,PrevalenceSeetaga,PrevalenceTafuna,PrevalenceTaputimu,PrevalenceTula,PrevalenceUtulei,PrevalenceUtumea East,PrevalenceUtumea West,PrevalenceVailoatai,PrevalenceVaitogi,PrevalenceVatia,Prev_AntigenAasu,Prev_AntigenAfao,Prev_AntigenAfono,Prev_AntigenAgugulu,Prev_AntigenAlao,Prev_AntigenAlega,Prev_AntigenAlofau,Prev_AntigenAmaluia,Prev_AntigenAmanave,Prev_AntigenAmaua,Prev_AntigenAmouli,Prev_AntigenAnua,Prev_AntigenAoa,Prev_AntigenAoloau,Prev_AntigenAsili,Prev_AntigenAtuu,Prev_AntigenAua,Prev_AntigenAuasi,Prev_AntigenAumi,Prev_AntigenAunuu,Prev_AntigenAuto,Prev_AntigenAvaio,Prev_AntigenFagaalu,Prev_AntigenFagaitua,Prev_AntigenFagalii,Prev_AntigenFagamalo,Prev_AntigenFaganeanea,Prev_AntigenFagasa,Prev_AntigenFagatogo,Prev_AntigenFailolo,Prev_AntigenFaleniu,Prev_AntigenFatumafuti,Prev_AntigenFutiga,Prev_AntigenIliili,Prev_AntigenLaulii,Prev_AntigenLeloaloa,Prev_AntigenLeone,Prev_AntigenMalaeimi,Prev_AntigenMalaeloa/Aitulagi,Prev_AntigenMalaeloa/Ituau,Prev_AntigenMaloata,Prev_AntigenMapusagafou,Prev_AntigenMasausi,Prev_AntigenMasefau,Prev_AntigenMatuu,Prev_AntigenMesepa,Prev_AntigenNua,Prev_AntigenNuuuli,Prev_AntigenOnenoa,Prev_AntigenPagai,Prev_AntigenPago,Prev_AntigenPavaiai,Prev_AntigenPoloa,Prev_AntigenSailele,Prev_AntigenSeetaga,Prev_AntigenTafuna,Prev_AntigenTaputimu,Prev_AntigenTula,Prev_AntigenUtulei,Prev_AntigenUtumea East,Prev_AntigenUtumea West,Prev_AntigenVailoatai,Prev_AntigenVaitogi,Prev_AntigenVatia,Seed
1,2010,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54359,2578,6237,6313,12893,12305,7109,6973,6835,4625,2354,1265,0,194,0,20,21,10,46,32,31,34,21,11,9,0,1263,0,99,151,45,276,239,228,210,158,66,41,0,0,0,0.0019084,0.0196078,0.0040404,0,0.00619195,0,0,0,0.00108696,0,0.00467836,0.00162602,0,0.00557103,0.00385171,0.0176991,0.00537634,0.00688073,0,0.0227273,0,0,0.0202429,0,0,0.00361011,0.00518135,0,0.0052687,0,0.00414938,0.00406886,0.00224215,0.00223214,0.00286807,0.00169205,0.012894,0.00363636,0,0.0017762,0.00609756,0.00705882,0.00250627,0.00900901,0.0070922,0.00202276,0.00666667,0.00847458,0.00252972,0.00285714,0.00518135,0.0133333,0.0133779,0.00365009,0.00118906,0.00246914,0.00146199,0,0.0188679,0.00345543,0.00459418,0.0046875,0.0101215,0.021978,0.0133588,0.0196078,0.0222222,0.0555556,0.0278638,0.0308642,0.016,0.00588235,0.026087,0.0555556,0.0210526,0.0195122,0.00892857,0.0306407,0.0240732,0.0176991,0.0322581,0.0275229,0.0267176,0.0454545,0.0153846,0.0254042,0.198381,0.0212766,0.00666667,0.022864,0.0287853,0.0185185,0.0216017,0.00884956,0.0235131,0.0209703,0.0156951,0.0133929,0.02645,0.0219966,0.0358166,0.0363636,0.125,0.0150977,0.0182927,0.0141176,0.0175439,0.0315315,0.0283688,0.0212389,0.02,0.0254237,0.0189729,0.0216327,0.0207254,0.04,0.0234114,0.0222782,0.019025,0.0246914,0.0204678,0,0.0377358,0.0269523,0.0245023,0.03125,1640816152
1,2011,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,54027,2513,6124,6058,12635,12124,7384,6734,6695,4700,2426,1217,112,220,0,16,20,3,55,47,35,37,19,12,12,0,1330,4,75,134,33,290,300,219,217,160,64,41,6,0,0,0.00383877,0.0192308,0.004,0.0178571,0.00788644,0.00632911,0,0,0.00328228,0,0.0047619,0.00164745,0,0.00815217,0.00392157,0.0173913,0,0.00688073,0,0,0.00107411,0,0.026616,0,0,0.00586854,0.00483676,0,0.00424403,0,0.0055788,0.00412829,0.00228833,0.00457666,0.00349428,0.00261324,0.0145138,0.0037037,0,0.00169062,0,0.00464037,0.0025,0.00945626,0,0.00201106,0.00666667,0,0.00309199,0.00539643,0,0.0138889,0.015873,0.00414157,0.00360577,0.00246914,0.00454545,0,0.0185185,0.00628053,0.00415369,0.00161031,0.0102881,0.0213904,0.0172745,0.0192308,0.024,0.0535714,0.0347003,0.0253165,0.0117188,0.0111732,0.0196937,0,0.0214286,0.0230643,0.00881057,0.0407609,0.0259804,0.026087,0.026178,0.0344037,0.0288809,0.0967742,0.0182599,0.0261905,0.18251,0.0612245,0.00628931,0.0269953,0.0241838,0.00900901,0.0238727,0.00917431,0.0237099,0.0234995,0.0160183,0.020595,0.0289072,0.0252613,0.0391872,0.0351852,0.1,0.0160609,0.0124224,0.0162413,0.0175,0.035461,0.0223881,0.0213675,0.02,0.0243902,0.0203556,0.0224159,0.0106952,0.0416667,0.0412698,0.0230924,0.0216346,0.0246914,0.0272727,0,0.0555556,0.0286113,0.026999,0.0305958,1640816152
1,2012,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53683,2460,6022,5876,12394,11854,7781,6497,6528,4774,2482,1163,210,328,3,15,24,5,52,123,44,44,25,19,13,3,1774,16,63,131,41,275,579,267,260,196,99,45,12,0.00218818,0.010929,0.00398406,0.0625,0.00393701,0.0188679,0.00924499,0.00617284,0.00350877,0,0.00667408,0,0.00843373,0.00172414,0.00420168,0.0108108,0.0055,0,0,0.00635593,0.00350877,0,0.00535906,0,0.0344828,0,0,0.00681818,0.00852619,0,0.00788644,0.00970874,0.00557103,0.00720839,0.0035545,0.00943396,0.00623636,0.00793651,0.0201149,0.00727273,0,0.00263158,0,0.007109,0.00524934,0.0222222,0,0.00278763,0.0134228,0,0.00422275,0.00632644,0,0,0.0218069,0.00577889,0.00243605,0.00240964,0.00913242,0,0.0185185,0.00691563,0.00519751,0,0.0109409,0.0218579,0.0159363,0.109375,0.0255906,0.0754717,0.0477658,0.0246914,0.0175439,0.0172414,0.025584,0,0.0325301,0.0310345,0.00840336,0.0783784,0.0325,0,0.0259067,0.029661,0.0315789,0.129032,0.022508,0.0255814,0.168582,0.0588235,0.0123457,0.0397727,0.0389769,0,0.0294427,0.0194175,0.0362117,0.0337484,0.0260664,0.0283019,0.0405363,0.0432099,0.0675287,0.0418182,0.0625,0.0245614,0.0188679,0.0260664,0.0262467,0.0469136,0.0217391,0.0250887,0.033557,0.037037,0.0285036,0.0316322,0.0157068,0.0394737,0.0654206,0.0309045,0.0292326,0.0313253,0.0395738,0,0.0740741,0.0408022,0.0322245,0.0285714,1640816152
1,2013,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,53236,2397,5934,5678,12097,11569,8153,6225,6371,4852,2596,1095,278,511,2,19,34,15,58,205,67,73,53,27,9,4,2385,22,84,133,85,291,813,360,351,266,156,49,14,0.00431965,0.0216216,0.00209205,0.105263,0.008,0.0175439,0.0108359,0.0117647,0.00911854,0,0.00896861,0,0.0151899,0.00508475,0.0131004,0.0163488,0.0105105,0,0,0.00443459,0.00357143,0.0322581,0.00749465,0.00235294,0.0503876,0,0,0.00956938,0.0105394,0,0.0156495,0.0192308,0.0108254,0.011236,0.004914,0.0166667,0.0117909,0.00991885,0.030303,0.0135922,0,0.00427716,0.00621118,0.01373,0.00867052,0.0253165,0,0.00433231,0.012987,0,0.00585729,0.00820026,0,0.025974,0.0278638,0.00857071,0.00997506,0.00478469,0.011994,0,0.0545455,0.0107373,0.00791975,0.003367,0.0237581,0.0378378,0.0209205,0.263158,0.046,0.105263,0.0572755,0.0294118,0.0273556,0.0111111,0.0347534,0,0.0493671,0.0372881,0.0174672,0.0980926,0.042042,0,0.0283019,0.0354767,0.0392857,0.0645161,0.0364026,0.0352941,0.193798,0.0869565,0.0122699,0.0550239,0.0483571,0,0.0500782,0.0384615,0.0460081,0.0495704,0.031941,0.052381,0.0481198,0.0532011,0.105339,0.0543689,0,0.0307956,0.0496894,0.0457666,0.0404624,0.0708861,0.0218978,0.0323649,0.0454545,0.0307692,0.036475,0.0440224,0.0153061,0.0649351,0.0804954,0.0444921,0.042394,0.0334928,0.0524738,0.0166667,0.127273,0.0529707,0.0406547,0.037037,1640816152
1,2014,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0,0.002,0.00041,A,0,26,52763,2336,5788,5564,11785,11265,8480,6004,6240,4861,2718,1071,339,763,8,21,48,25,82,263,106,115,85,58,24,5,3196,35,110,174,123,347,1018,483,500,383,229,87,26,0.00847458,0.0327869,0.00623701,0.137931,0.00961538,0,0.0156495,0.017341,0.0207715,0,0.0112233,0,0.0242967,0.00506757,0.0184332,0.0410959,0.0141058,0,0.00483092,0.00845666,0.00361011,0.030303,0.00747065,0.00235294,0.0629921,0,0,0.013382,0.0138452,0.00961538,0.0199353,0.0175439,0.019802,0.0201816,0.00369458,0.0334928,0.0182342,0.0180505,0.046729,0.0140845,0,0.00620567,0.0122699,0.0251142,0.0150602,0.0303797,0,0.00887874,0.0208333,0,0.0097035,0.0114796,0,0.0298507,0.0383481,0.012734,0.0144928,0.00941176,0.0166163,0,0.115385,0.0143575,0.011333,0.00526316,0.0381356,0.0983607,0.033264,0.37931,0.0519231,0.0576923,0.0907668,0.0462428,0.0474777,0.0108108,0.043771,0,0.0780051,0.0422297,0.0460829,0.164384,0.0544081,0,0.0386473,0.0422833,0.0577617,0.121212,0.0501601,0.0329412,0.192913,0.106383,0.0174419,0.0620438,0.0641913,0.0384615,0.0695043,0.0614035,0.0650636,0.0733266,0.0344828,0.0861244,0.0703775,0.0722022,0.141745,0.0583501,0,0.0336879,0.0736196,0.0684932,0.063253,0.0860759,0.0454545,0.0431253,0.0694444,0.0285714,0.0479784,0.0548469,0.0283019,0.0746269,0.120944,0.0599771,0.0632411,0.04,0.0800604,0.0238095,0.25,0.068916,0.0507285,0.0368421,1640816152
1,2015,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.601737,0.002,0.00041,A,0,26,52277,2284,5629,5466,11473,10952,8800,5893,6070,4837,2795,1083,374,1106,16,26,55,35,107,349,171,177,131,91,34,11,4313,60,160,225,176,445,1307,661,688,536,352,112,36,0.01875,0.035503,0.00625,0.155172,0.00972763,0.0285714,0.0204724,0.0227273,0.0323529,0.00584795,0.016568,0,0.0343511,0.0117647,0.0223214,0.0662983,0.0186528,0.010101,0.0097561,0.0172786,0.0109091,0.0833333,0.00987925,0.00728155,0.0810811,0.0208333,0,0.0190114,0.0183661,0.0192308,0.0241302,0.0172414,0.0275862,0.0297901,0.00750939,0.0598086,0.026975,0.0243463,0.0758514,0.0238095,0,0.0112945,0.0174419,0.0400891,0.0154799,0.0440098,0.00666667,0.0153846,0.0202703,0.00724638,0.0133734,0.0184154,0.00462963,0.0405405,0.0540541,0.0179166,0.0225464,0.00934579,0.0229358,0.0243902,0.166667,0.0205966,0.0143885,0.00702988,0.0645833,0.142012,0.0395833,0.448276,0.0525292,0.0714286,0.103937,0.0625,0.0882353,0.0116959,0.0662722,0,0.100509,0.0521008,0.0848214,0.220994,0.0777202,0.030303,0.0341463,0.0647948,0.0763636,0.194444,0.0603732,0.0436893,0.216216,0.125,0.0271739,0.086185,0.0804307,0.0769231,0.0925926,0.0689655,0.103448,0.0968179,0.0538173,0.114833,0.0963391,0.103697,0.19969,0.0952381,0,0.0443093,0.0813953,0.0957684,0.0712074,0.114914,0.0733333,0.064146,0.0810811,0.0289855,0.0657751,0.0770878,0.0324074,0.121622,0.192192,0.0810084,0.100796,0.0490654,0.0963303,0.0243902,0.47619,0.0894886,0.0641948,0.0439367,1640816152
1,2016,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.600617,0.002,0.00041,A,0,26,51845,2201,5497,5339,11209,10727,9063,5723,5847,4863,2912,1103,398,691,4,13,24,23,46,213,106,125,89,58,21,10,3962,47,152,200,154,439,1155,609,610,523,327,106,39,0.00419287,0.0236686,0,0.163934,0.0095057,0,0.0160514,0.0115607,0.0197183,0,0.0138568,0,0.0221066,0.00494234,0.0182648,0.0532213,0.0175719,0.00943396,0.00520833,0.0105932,0.0114068,0.0810811,0.00219298,0.00719424,0.0431373,0.0178571,0,0.0126743,0.0123779,0,0.0115009,0.0163934,0.0196906,0.0187842,0.00512821,0.0189125,0.017141,0.0183318,0.0365854,0.0197802,0,0.00867303,0.011236,0.0220264,0.00914634,0.0268949,0.00632911,0.0100958,0.0198675,0,0.00801769,0.0120378,0.0103627,0.027027,0.0288184,0.0107111,0.0106525,0.00699301,0.00943396,0,0.136364,0.0115607,0.0121247,0.00345423,0.0503145,0.112426,0.055794,0.409836,0.0380228,0.0571429,0.0882825,0.0635838,0.0901408,0.00757576,0.0635104,0.0769231,0.0936281,0.0444811,0.086758,0.240896,0.0857295,0.0471698,0.0625,0.0529661,0.0494297,0.216216,0.0515351,0.0359712,0.14902,0.107143,0.0166667,0.0785805,0.0710098,0.0865385,0.0828062,0.0983607,0.0843882,0.0870902,0.0461538,0.113475,0.089586,0.091659,0.181402,0.0923077,0,0.0442324,0.0898876,0.0947137,0.0609756,0.119804,0.0506329,0.0582449,0.0529801,0.0291971,0.0613768,0.0739467,0.0414508,0.121622,0.181556,0.0762679,0.0972037,0.041958,0.081761,0,0.295455,0.0736994,0.0652425,0.0310881,1640816152
1,2017,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.599704,0.002,0.00041,A,0,26,51367,2174,5368,5249,10971,10514,9188,5582,5718,4881,2948,1141,424,407,4,9,16,15,34,96,68,80,53,40,18,3,3287,38,113,191,134,357,872,525,544,468,279,90,18,0.0040568,0.0189873,0,0.0555556,0.00787402,0,0.0115702,0.00584795,0.0188172,0,0.00590319,0,0.0160214,0,0.00478469,0.0333333,0.00916936,0,0.0106952,0.00886918,0.00374532,0.027027,0,0.00249377,0.0275591,0.0181818,0,0.00518807,0.0060241,0,0.0071048,0.008,0.00429799,0.0116919,0.00260078,0.0234742,0.00826709,0.0104265,0.0186916,0.0133038,0,0.00510638,0,0.0154867,0.0030581,0.00759494,0,0.00753638,0.00724638,0,0.00316001,0.00915831,0,0.025,0.0243161,0.00632013,0.00678426,0.00445434,0.00655738,0,0.12766,0.0101597,0.00822079,0.00356506,0.0344828,0.120253,0.0406852,0.277778,0.0295276,0.0273973,0.0809917,0.0701754,0.077957,0.00793651,0.0602125,0.037037,0.0801068,0.0379747,0.0574163,0.202778,0.0787487,0.0530973,0.0588235,0.0421286,0.0411985,0.135135,0.0427807,0.032419,0.122047,0.0363636,0.0174419,0.0635538,0.0662651,0.0471698,0.0633511,0.064,0.0702006,0.0701513,0.0351105,0.103286,0.0785374,0.0654028,0.143302,0.0776053,0,0.04,0.0613497,0.079646,0.0428135,0.0759494,0.0299401,0.0519751,0.0217391,0.0163934,0.0465384,0.0641082,0.0462963,0.1125,0.164134,0.0625564,0.0719132,0.0289532,0.0655738,0.0196078,0.319149,0.0667634,0.0651791,0.0392157,1640816152
1,2018,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.604417,0.002,0.00041,A,0,26,50763,2204,5217,5190,10642,10325,9311,5442,5559,4880,3005,1158,441,247,5,2,7,14,14,68,35,42,38,22,11,3,2568,32,89,142,106,262,671,408,427,379,214,82,19,0.00849257,0.00632911,0.00223214,0.0263158,0,0,0.00515464,0,0.00271003,0,0.00740741,0,0.0166667,0,0.00966184,0.0222841,0.00821468,0,0.00478469,0.00451467,0.00796813,0.025641,0,0,0.0122449,0.0178571,0,0.00771208,0.003367,0,0.00242424,0.0155039,0.00141443,0.0056798,0.00266667,0.0185185,0.00484496,0.00392542,0.00649351,0.0111607,0,0.00172414,0,0.0045045,0,0.00502513,0,0.00576671,0,0,0.00175131,0.00561798,0,0,0.0242424,0.00320102,0.00561798,0,0.0100167,0,0.102041,0.0060015,0.00363416,0.00173913,0.0276008,0.0949367,0.0223214,0.197368,0.0243902,0.0298507,0.0549828,0.0532544,0.0487805,0.00719424,0.0530864,0,0.0902778,0.0278638,0.0531401,0.16156,0.0728368,0.0336134,0.0334928,0.0293454,0.0358566,0.0512821,0.0258342,0.0265252,0.0979592,0.0357143,0.0123457,0.0437018,0.0478114,0.045977,0.0478788,0.0697674,0.0480905,0.058218,0.0226667,0.0810185,0.0600775,0.0529931,0.0974026,0.0714286,0,0.0327586,0.0402685,0.0608108,0.0207715,0.0552764,0.0121212,0.03827,0.0218978,0.016129,0.0388208,0.0505618,0.0236967,0.0987654,0.154545,0.0495519,0.0463483,0.0265487,0.0634391,0.0188679,0.346939,0.0570143,0.053301,0.0313043,1640816152
1,2019,0.6,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2015,5,1,N,W,2021,5,1,10,0.6,0.7,N,0.599817,0.002,0.00041,A,0,26,50187,2091,5120,5103,10322,10127,9418,5371,5358,4874,3052,1214,451,145,2,3,5,5,11,37,24,25,21,14,8,0,1892,18,73,106,68,201,460,313,318,288,159,69,16,0.00431965,0,0.00221729,0.0263158,0,0,0,0,0.00266667,0,0.0071599,0,0.0112994,0,0.00507614,0.0119048,0.00388673,0,0.00483092,0.00469484,0.00390625,0,0,0,0.00823045,0.0212766,0,0.00403769,0.000701262,0,0.00121581,0,0.00141243,0.00318697,0,0.0117647,0.00228162,0.000982318,0.00484653,0.00219298,0,0.00435161,0,0.00945626,0,0.0025974,0,0.0042261,0.00724638,0,0.00178465,0.00176523,0,0,0.0120482,0.00243278,0,0,0.00357143,0,0.0238095,0.00232019,0.00248139,0.00533808,0.0194384,0.0280899,0.0243902,0.157895,0.0198675,0.0508475,0.0385289,0.0273973,0.0373333,0.00680272,0.0560859,0,0.0734463,0.0222222,0.0558376,0.122024,0.05608,0.0173913,0.0338164,0.0399061,0.0234375,0.075,0.0122768,0.0244565,0.0617284,0.0425532,0.00641026,0.0282638,0.0308555,0.0394737,0.0340426,0.0300752,0.0480226,0.0396601,0.0144737,0.0658824,0.0430248,0.040275,0.0662359,0.0416667,0,0.0234987,0.0275862,0.0449173,0.0143266,0.0441558,0,0.0330164,0.0362319,0.00763359,0.0291493,0.0339806,0.0194175,0.0561798,0.108434,0.0361076,0.0332851,0.0220264,0.0446429,0.0222222,0.285714,0.0394432,0.042804,0.0355872,1640816152
