Coverage,KillProb1,FullSterProb1,PartSterProb1,SterDuration1,PartSterMagnitude1,MinAge1,KillProb2,FullSterProb2,PartSterProb2,SterDuration2,PartSterMagnitude2,MinAge2, StartYear, NumRounds, YearsBetweenRounds,NumSims,ProbOneSex,ProbBothSex,InitType,InitPrev,SimYears
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,2,0.002,0.00041,C,0.3,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0.00041,C,0.1,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0.00041,C,0.03,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0.00041,C,0.01,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0.00041,C,0.003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0.00041,C,0.001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0.00041,C,0.0003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0.00041,C,0.0001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,25,0.002,0.00041,C,0.00005,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,2,0,0.00041,C,0.3,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0,0.00041,C,0.1,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0,0.00041,C,0.03,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0,0.00041,C,0.01,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0,0.00041,C,0.003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0,0.00041,C,0.001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0,0.00041,C,0.0003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0,0.00041,C,0.0001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,2,0.002,0,C,0.3,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0,C,0.1,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0,C,0.03,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0,C,0.01,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0,C,0.003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0,C,0.001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0,C,0.0003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.002,0,C,0.0001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,25,0.002,0,C,0.00005,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,2,0.0023,0,C,0.3,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0023,0,C,0.1,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0023,0,C,0.03,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0023,0,C,0.01,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0023,0,C,0.003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0023,0,C,0.001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0023,0,C,0.0003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0023,0,C,0.0001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,25,0.0023,0,C,0.00005,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,2,0.0026,0,C,0.3,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0026,0,C,0.1,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0026,0,C,0.03,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0026,0,C,0.01,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0026,0,C,0.003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0026,0,C,0.001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0026,0,C,0.0003,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,10,0.0026,0,C,0.0001,26
0,0,0,0,0,0,1000,0,0,0,0,0,1000,2009,1,1,25,0.0026,0,C,0.00005,26
0.55,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,3,1,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,3,1,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,3,1,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,4,1,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,4,1,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,4,1,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,5,1,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,5,1,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0,0,0,0,0,1000,2018,5,1,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,2,1,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,2,1,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,2,1,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,3,1,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,3,1,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,3,1,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,4,1,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,4,1,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,4,1,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,5,1,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,5,1,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,5,1,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,2,2,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,2,2,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,2,2,0,0.002,0.00041,A,0,26
0.55,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,3,2,0,0.002,0.00041,A,0,26
0.65,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,3,2,0,0.002,0.00041,A,0,26
0.75,0.5,0.33,0.17,1,0.5,2,0.5,0.46,0.04,3,0.5,5,2018,3,2,0,0.002,0.00041,A,0,26
0.55,0.55,0,0,0,0,2,0,0,0,0,0,1000,2018,2,1,0,0.002,0.00041,A,0,26
