Year,ASFR 15-19,ASFR 20-24,ASFR 25-29,ASFR 30-34,ASFR 35-39,ASFR 40-44,ASFR 45-49
2010,1.09E-04,4.39E-04,5.91E-04,5.11E-04,3.04E-04,6.99E-05,0
2011,1.27E-04,5.09E-04,5.51E-04,4.80E-04,2.91E-04,5.45E-05,6.30863E-06
2012,1.24E-04,4.05E-04,5.11E-04,4.65E-04,2.54E-04,7.27E-05,1.64433E-06
2013,1.38E-04,3.80E-04,4.74E-04,4.66E-04,2.79E-04,7.36E-05,0
2014,1.28E-04,3.32E-04,5.10E-04,3.90E-04,2.57E-04,7.47E-05,4.93595E-06
2015,1.21E-04,3.73E-04,4.87E-04,3.65E-04,2.57E-04,8.49E-05,4.93595E-06
2016,1.12E-04,3.55E-04,4.74E-04,3.56E-04,2.43E-04,8.03E-05,4.93595E-06
2017,1.03E-04,3.37E-04,4.60E-04,3.48E-04,2.29E-04,7.58E-05,4.93595E-06
2018,9.48E-05,3.18E-04,4.47E-04,3.40E-04,2.15E-04,7.13E-05,5.21043E-06
2019,8.60E-05,3.00E-04,4.34E-04,3.32E-04,2.01E-04,6.68E-05,5.21043E-06
2020,7.75E-05,2.82E-04,4.21E-04,3.24E-04,1.87E-04,6.23E-05,5.21043E-06
2021,7.19E-05,2.70E-04,4.12E-04,3.19E-04,1.78E-04,5.93E-05,5.21043E-06
2022,6.63E-05,2.59E-04,4.04E-04,3.13E-04,1.69E-04,5.65E-05,5.21043E-06
2023,6.09E-05,2.47E-04,3.95E-04,3.08E-04,1.60E-04,5.34E-05,5.21043E-06
2024,5.53E-05,2.36E-04,3.87E-04,3.03E-04,1.51E-04,5.06E-05,5.21043E-06
2025,4.98E-05,2.24E-04,3.78E-04,2.98E-04,1.42E-04,4.75E-05,5.48494E-06
2026,4.73E-05,2.19E-04,3.74E-04,2.95E-04,1.38E-04,4.61E-05,5.48494E-06
2027,4.45E-05,2.13E-04,3.70E-04,2.93E-04,1.34E-04,4.47E-05,5.48494E-06
2028,4.20E-05,2.08E-04,3.66E-04,2.90E-04,1.29E-04,4.34E-05,5.48494E-06
2029,3.92E-05,2.03E-04,3.62E-04,2.88E-04,1.25E-04,4.20E-05,5.48494E-06
2030,3.67E-05,1.97E-04,3.58E-04,2.85E-04,1.21E-04,4.06E-05,5.48494E-06
2031,3.56E-05,1.95E-04,3.56E-04,2.84E-04,1.19E-04,4.00E-05,5.48494E-06
2032,3.42E-05,1.92E-04,3.54E-04,2.83E-04,1.17E-04,3.95E-05,5.48494E-06
2033,3.31E-05,1.90E-04,3.52E-04,2.82E-04,1.15E-04,3.86E-05,5.48494E-06
2034,3.17E-05,1.87E-04,3.51E-04,2.80E-04,1.13E-04,3.81E-05,5.48494E-06
2035,3.06E-05,1.84E-04,3.49E-04,2.80E-04,1.11E-04,3.75E-05,5.48494E-06
2036,3.03E-05,1.84E-04,3.48E-04,2.79E-04,1.10E-04,3.72E-05,5.48494E-06
2037,3.00E-05,1.83E-04,3.48E-04,2.79E-04,1.10E-04,3.72E-05,5.48494E-06
2038,2.97E-05,1.83E-04,3.47E-04,2.79E-04,1.10E-04,3.70E-05,5.48494E-06
2039,2.95E-05,1.82E-04,3.47E-04,2.78E-04,1.09E-04,3.67E-05,5.48494E-06
2040,2.92E-05,1.81E-04,3.46E-04,2.78E-04,1.09E-04,3.67E-05,5.48494E-06
2041,2.89E-05,1.81E-04,3.46E-04,2.78E-04,1.08E-04,3.67E-05,5.48494E-06
2042,2.86E-05,1.81E-04,3.46E-04,2.78E-04,1.08E-04,3.64E-05,5.48494E-06
2043,2.86E-05,1.81E-04,3.46E-04,2.77E-04,1.08E-04,3.64E-05,5.48494E-06
2044,2.84E-05,1.80E-04,3.45E-04,2.77E-04,1.08E-04,3.64E-05,5.48494E-06
2045,2.84E-05,1.80E-04,3.45E-04,2.77E-04,1.07E-04,3.61E-05,5.48494E-06
2046,2.81E-05,1.79E-04,3.45E-04,2.77E-04,1.07E-04,3.61E-05,5.48494E-06
2047,2.81E-05,1.79E-04,3.45E-04,2.77E-04,1.07E-04,3.61E-05,5.48494E-06
2048,2.78E-05,1.79E-04,3.44E-04,2.77E-04,1.07E-04,3.61E-05,5.48494E-06
2049,2.78E-05,1.79E-04,3.44E-04,2.77E-04,1.06E-04,3.58E-05,5.48494E-06
2050,2.75E-05,1.78E-04,3.44E-04,2.77E-04,1.06E-04,3.58E-05,5.48494E-06
